time,FPS
1680031745,160
1680031746,161
1680031747,161
1680031748,158
1680031749,161
1680031750,163
1680031751,164
1680031752,160
1680031753,162
1680031754,163
1680031755,162
1680031756,162
1680031757,162
1680031758,164
1680031759,168
1680031760,172
1680031761,173
1680031762,171
1680031763,156
1680031764,155
1680031765,160
1680031766,151
1680031767,146
1680031768,146
1680031769,153
1680031770,157
1680031771,153
1680031772,146
1680031773,148
1680031774,145
1680031775,145
1680031776,148
1680031777,150
1680031778,149
1680031779,155
1680031780,160
1680031781,159
1680031782,149
1680031783,154
1680031784,154
1680031785,164
1680031786,165
1680031787,165
1680031788,166
1680031789,165
1680031790,157
1680031791,155
1680031792,148
1680031793,151
1680031794,154
1680031795,152
1680031796,152
1680031797,155
1680031798,159
1680031799,152
1680031800,158
1680031801,157
1680031802,158
1680031803,163
1680031804,160
1680031805,158
1680031806,153
1680031807,151
1680031808,148
1680031809,150
1680031810,155
1680031811,156
1680031812,157
1680031813,153
1680031814,160
1680031815,163
1680031816,159
1680031817,159
1680031818,160
1680031819,161
1680031820,158
1680031821,159
1680031822,160
1680031823,166
1680031824,163
1680031825,157
1680031826,154
1680031827,149
1680031828,149
1680031829,150
1680031830,150
1680031831,151
1680031832,152
1680031833,154
1680031834,153
1680031835,147
1680031836,147
1680031837,148
1680031838,150
1680031839,149
1680031840,167
1680031841,162
1680031842,161
1680031843,156
1680031844,157
1680031845,156
1680031846,150
1680031847,139
1680031848,142
1680031849,144
1680031850,146
1680031851,144
1680031852,141
1680031853,140
1680031854,140
1680031855,139
1680031856,140
1680031857,138
1680031858,141
1680031859,143
1680031860,144
1680031861,140
1680031862,141
1680031863,137
1680031864,134
1680031865,133
1680031866,135
1680031867,130
1680031868,132
1680031869,133
1680031870,134
1680031871,134
1680031872,137
1680031873,141
1680031874,143
1680031875,134
1680031876,138
1680031877,139
1680031878,140
1680031879,140
1680031880,82
