time,FPS
1675882215,159
1675882216,159
1675882217,160
1675882218,160
1675882219,160
1675882220,161
1675882221,163
1675882222,159
1675882223,162
1675882224,161
1675882225,161
1675882226,162
1675882227,159
1675882228,158
1675882229,164
1675882230,168
1675882231,170
1675882232,173
1675882233,173
1675882234,152
1675882235,153
1675882236,160
1675882237,150
1675882238,145
1675882239,143
1675882240,155
1675882241,155
1675882242,152
1675882243,146
1675882244,143
1675882245,145
1675882246,147
1675882247,147
1675882248,149
1675882249,147
1675882250,154
1675882251,159
1675882252,155
1675882253,153
1675882254,153
1675882255,156
1675882256,161
1675882257,163
1675882258,160
1675882259,165
1675882260,162
1675882261,154
1675882262,154
1675882263,146
1675882264,148
1675882265,151
1675882266,152
1675882267,152
1675882268,153
1675882269,155
1675882270,152
1675882271,155
1675882272,152
1675882273,154
1675882274,158
1675882275,158
1675882276,156
1675882277,150
1675882278,149
1675882279,148
1675882280,148
1675882281,153
1675882282,154
1675882283,155
1675882284,152
1675882285,158
1675882286,160
1675882287,156
1675882288,156
1675882289,158
1675882290,157
1675882291,156
1675882292,155
1675882293,158
1675882294,161
1675882295,158
1675882296,154
1675882297,154
1675882298,153
1675882299,149
1675882300,146
1675882301,146
1675882302,147
1675882303,148
1675882304,148
1675882305,150
1675882306,149
1675882307,145
1675882308,144
1675882309,145
1675882310,146
1675882311,146
1675882312,160
1675882313,163
1675882314,158
1675882315,159
1675882316,157
1675882317,156
1675882318,155
1675882319,147
1675882320,141
1675882321,141
1675882322,144
1675882323,147
1675882324,145
1675882325,141
1675882326,141
1675882327,142
1675882328,140
1675882329,138
1675882330,138
1675882331,139
1675882332,143
1675882333,144
1675882334,140
1675882335,141
1675882336,136
1675882337,133
1675882338,133
1675882339,132
1675882340,128
1675882341,129
1675882342,131
1675882343,134
1675882344,135
1675882345,141
1675882346,145
1675882347,145
1675882348,138
1675882349,140
1675882350,143
1675882351,143
1675882352,140
