time,FPS
1678755453,142
1678755454,144
1678755455,142
1678755456,141
1678755457,141
1678755458,142
1678755459,143
1678755460,144
1678755461,143
1678755462,140
1678755463,143
1678755464,139
1678755465,138
1678755466,141
1678755467,144
1678755468,140
1678755469,137
1678755470,130
1678755471,120
1678755472,118
1678755473,114
1678755474,121
1678755475,118
1678755476,115
1678755477,116
1678755478,121
1678755479,117
1678755480,118
1678755481,121
1678755482,121
1678755483,119
1678755484,121
1678755485,119
1678755486,117
1678755487,124
1678755488,122
1678755489,130
1678755490,137
1678755491,131
1678755492,132
1678755493,135
1678755494,139
1678755495,139
1678755496,135
1678755497,134
1678755498,137
1678755499,138
1678755500,132
1678755501,135
1678755502,140
1678755503,134
1678755504,120
1678755505,123
1678755506,124
1678755507,128
1678755508,128
1678755509,123
1678755510,122
1678755511,119
1678755512,120
1678755513,134
1678755514,136
1678755515,134
1678755516,141
1678755517,135
1678755518,140
1678755519,137
1678755520,142
1678755521,140
1678755522,138
1678755523,144
1678755524,142
1678755525,144
1678755526,140
1678755527,141
1678755528,143
1678755529,142
1678755530,143
1678755531,141
1678755532,141
1678755533,143
1678755534,142
1678755535,141
1678755536,140
1678755537,140
1678755538,141
1678755539,141
1678755540,143
1678755541,132
1678755542,103
1678755543,130
1678755544,143
1678755545,143
1678755546,140
1678755547,139
1678755548,142
1678755549,142
1678755550,143
1678755551,141
1678755552,135
1678755553,143
1678755554,140
1678755555,136
1678755556,143
1678755557,143
1678755558,140
1678755559,134
1678755560,137
1678755561,138
1678755562,138
1678755563,136
1678755564,135
1678755565,137
1678755566,133
1678755567,130
1678755568,135
1678755569,134
1678755570,135
1678755571,134
1678755572,140
1678755573,136
1678755574,136
1678755575,134
1678755576,131
1678755577,130
1678755578,132
1678755579,121
1678755580,125
1678755581,125
1678755582,130
