time,FPS
1675129263,159
1675129264,159
1675129265,159
1675129266,159
1675129267,159
1675129268,162
1675129269,160
1675129270,159
1675129271,161
1675129272,161
1675129273,163
1675129274,160
1675129275,160
1675129276,160
1675129277,167
1675129278,165
1675129279,170
1675129280,175
1675129281,164
1675129282,152
1675129283,159
1675129284,157
1675129285,150
1675129286,145
1675129287,149
1675129288,155
1675129289,156
1675129290,145
1675129291,145
1675129292,147
1675129293,147
1675129294,147
1675129295,148
1675129296,151
1675129297,149
1675129298,159
1675129299,158
1675129300,156
1675129301,153
1675129302,154
1675129303,161
1675129304,161
1675129305,161
1675129306,160
1675129307,164
1675129308,156
1675129309,153
1675129310,148
1675129311,145
1675129312,151
1675129313,151
1675129314,153
1675129315,152
1675129316,154
1675129317,154
1675129318,154
1675129319,156
1675129320,156
1675129321,160
1675129322,158
1675129323,157
1675129324,151
1675129325,148
1675129326,148
1675129327,146
1675129328,149
1675129329,153
1675129330,153
1675129331,151
1675129332,153
1675129333,160
1675129334,160
1675129335,156
1675129336,157
1675129337,159
1675129338,159
1675129339,159
1675129340,162
1675129341,161
1675129342,169
1675129343,163
1675129344,163
1675129345,160
1675129346,156
1675129347,152
1675129348,148
1675129349,147
1675129350,149
1675129351,151
1675129352,150
1675129353,147
1675129354,145
1675129355,147
1675129356,147
1675129357,147
1675129358,152
1675129359,165
1675129360,159
1675129361,159
1675129362,158
1675129363,156
1675129364,156
1675129365,150
1675129366,142
1675129367,141
1675129368,145
1675129369,145
1675129370,146
1675129371,143
1675129372,141
1675129373,143
1675129374,141
1675129375,139
1675129376,137
1675129377,140
1675129378,142
1675129379,144
1675129380,139
1675129381,142
1675129382,137
1675129383,132
1675129384,132
1675129385,133
1675129386,127
1675129387,128
1675129388,130
1675129389,135
1675129390,135
1675129391,142
1675129392,145
1675129393,146
1675129394,136
1675129395,144
1675129396,138
1675129397,145
1675129398,144
1675129399,145
1675129400,144
