time,FPS
1680109799,228
1680109800,229
1680109801,232
1680109802,229
1680109803,227
1680109804,229
1680109805,231
1680109806,231
1680109807,232
1680109808,229
1680109809,230
1680109810,228
1680109811,229
1680109812,228
1680109813,237
1680109814,234
1680109815,238
1680109816,236
1680109817,227
1680109818,219
1680109819,215
1680109820,216
1680109821,211
1680109822,212
1680109823,212
1680109824,213
1680109825,219
1680109826,215
1680109827,213
1680109828,212
1680109829,214
1680109830,211
1680109831,214
1680109832,218
1680109833,216
1680109834,222
1680109835,226
1680109836,227
1680109837,224
1680109838,226
1680109839,230
1680109840,234
1680109841,233
1680109842,223
1680109843,231
1680109844,225
1680109845,226
1680109846,215
1680109847,218
1680109848,223
1680109849,220
1680109850,223
1680109851,224
1680109852,225
1680109853,225
1680109854,223
1680109855,224
1680109856,223
1680109857,230
1680109858,227
1680109859,229
1680109860,221
1680109861,223
1680109862,223
1680109863,224
1680109864,225
1680109865,228
1680109866,224
1680109867,221
1680109868,225
1680109869,234
1680109870,228
1680109871,231
1680109872,231
1680109873,233
1680109874,231
1680109875,232
1680109876,231
1680109877,232
1680109878,234
1680109879,233
1680109880,235
1680109881,228
1680109882,225
1680109883,223
1680109884,221
1680109885,222
1680109886,222
1680109887,224
1680109888,226
1680109889,227
1680109890,227
1680109891,223
1680109892,220
1680109893,224
1680109894,223
1680109895,223
1680109896,229
1680109897,238
1680109898,233
1680109899,235
1680109900,233
1680109901,234
1680109902,232
1680109903,227
1680109904,217
1680109905,215
1680109906,218
1680109907,222
1680109908,220
1680109909,216
1680109910,214
1680109911,214
1680109912,213
1680109913,211
1680109914,209
1680109915,210
1680109916,207
1680109917,214
1680109918,209
1680109919,207
1680109920,210
1680109921,204
1680109922,196
1680109923,204
1680109924,194
1680109925,187
1680109926,194
1680109927,195
1680109928,196
1680109929,200
1680109930,204
1680109931,202
1680109932,201
1680109933,203
