time,FPS
1675790254,98
1675790255,97
1675790256,97
1675790257,99
1675790258,100
1675790259,96
1675790260,96
1675790261,95
1675790262,96
1675790263,96
1675790264,96
1675790265,95
1675790266,96
1675790267,96
1675790268,95
1675790269,106
1675790270,110
1675790271,111
1675790272,104
1675790273,94
1675790274,96
1675790275,96
1675790276,93
1675790277,88
1675790278,87
1675790279,90
1675790280,94
1675790281,96
1675790282,92
1675790283,93
1675790284,93
1675790285,92
1675790286,93
1675790287,94
1675790288,94
1675790289,94
1675790290,99
1675790291,99
1675790292,96
1675790293,95
1675790294,97
1675790295,100
1675790296,101
1675790297,103
1675790298,104
1675790299,102
1675790300,101
1675790301,100
1675790302,93
1675790303,94
1675790304,95
1675790305,93
1675790306,93
1675790307,90
1675790308,92
1675790309,93
1675790310,94
1675790311,91
1675790312,91
1675790313,98
1675790314,98
1675790315,99
1675790316,94
1675790317,94
1675790318,94
1675790319,94
1675790320,96
1675790321,96
1675790322,95
1675790323,97
1675790324,97
1675790325,97
1675790326,98
1675790327,95
1675790328,94
1675790329,93
1675790330,95
1675790331,96
1675790332,96
1675790333,91
1675790334,97
1675790335,98
1675790336,93
1675790337,96
1675790338,91
1675790339,89
1675790340,88
1675790341,88
1675790342,88
1675790343,89
1675790344,91
1675790345,93
1675790346,95
1675790347,94
1675790348,89
1675790349,90
1675790350,92
1675790351,91
1675790352,94
1675790353,99
1675790354,99
1675790355,97
1675790356,95
1675790357,95
1675790358,94
1675790359,93
1675790360,93
1675790361,89
1675790362,87
1675790363,85
1675790364,86
1675790365,86
1675790366,86
1675790367,84
1675790368,85
1675790369,85
1675790370,85
1675790371,84
1675790372,85
1675790373,85
1675790374,87
1675790375,88
1675790376,87
1675790377,87
1675790378,85
1675790379,84
1675790380,85
1675790381,85
1675790382,83
1675790383,85
1675790384,85
1675790385,91
1675790386,95
