time,FPS
1677098186,159
1677098187,160
1677098188,161
1677098189,160
1677098190,160
1677098191,162
1677098192,161
1677098193,162
1677098194,163
1677098195,162
1677098196,161
1677098197,162
1677098198,161
1677098199,162
1677098200,167
1677098201,168
1677098202,170
1677098203,174
1677098204,167
1677098205,153
1677098206,157
1677098207,159
1677098208,150
1677098209,144
1677098210,150
1677098211,152
1677098212,157
1677098213,150
1677098214,146
1677098215,145
1677098216,148
1677098217,147
1677098218,148
1677098219,151
1677098220,148
1677098221,158
1677098222,160
1677098223,158
1677098224,153
1677098225,154
1677098226,159
1677098227,164
1677098228,162
1677098229,162
1677098230,161
1677098231,160
1677098232,156
1677098233,150
1677098234,145
1677098235,151
1677098236,152
1677098237,152
1677098238,151
1677098239,154
1677098240,156
1677098241,151
1677098242,155
1677098243,154
1677098244,155
1677098245,161
1677098246,158
1677098247,157
1677098248,148
1677098249,150
1677098250,149
1677098251,152
1677098252,155
1677098253,156
1677098254,155
1677098255,154
1677098256,161
1677098257,159
1677098258,158
1677098259,155
1677098260,160
1677098261,162
1677098262,159
1677098263,161
1677098264,164
1677098265,162
1677098266,167
1677098267,156
1677098268,153
1677098269,143
1677098270,145
1677098271,145
1677098272,147
1677098273,149
1677098274,151
1677098275,151
1677098276,152
1677098277,145
1677098278,146
1677098279,148
1677098280,147
1677098281,146
1677098282,160
1677098283,167
1677098284,163
1677098285,162
1677098286,162
1677098287,160
1677098288,159
1677098289,144
1677098290,143
1677098291,144
1677098292,148
1677098293,147
1677098294,143
1677098295,142
1677098296,142
1677098297,142
1677098298,140
1677098299,139
1677098300,140
1677098301,141
1677098302,145
1677098303,142
1677098304,140
1677098305,140
1677098306,134
1677098307,133
1677098308,135
1677098309,133
1677098310,134
1677098311,135
1677098312,134
1677098313,137
1677098314,138
1677098315,142
1677098316,144
1677098317,141
1677098318,140
1677098319,140
1677098320,146
1677098321,145
1677098322,146
1677098323,145
1677098324,141
