time,FPS
1679428059,161
1679428060,160
1679428061,157
1679428062,161
1679428063,160
1679428064,162
1679428065,162
1679428066,156
1679428067,164
1679428068,160
1679428069,165
1679428070,161
1679428071,163
1679428072,161
1679428073,166
1679428074,171
1679428075,174
1679428076,172
1679428077,161
1679428078,153
1679428079,160
1679428080,154
1679428081,148
1679428082,146
1679428083,153
1679428084,155
1679428085,153
1679428086,148
1679428087,147
1679428088,142
1679428089,146
1679428090,150
1679428091,151
1679428092,152
1679428093,154
1679428094,159
1679428095,159
1679428096,153
1679428097,153
1679428098,157
1679428099,163
1679428100,165
1679428101,163
1679428102,166
1679428103,164
1679428104,154
1679428105,153
1679428106,149
1679428107,149
1679428108,155
1679428109,153
1679428110,152
1679428111,153
1679428112,157
1679428113,155
1679428114,157
1679428115,156
1679428116,156
1679428117,162
1679428118,158
1679428119,156
1679428120,152
1679428121,152
1679428122,150
1679428123,150
1679428124,155
1679428125,157
1679428126,156
1679428127,152
1679428128,159
1679428129,158
1679428130,157
1679428131,153
1679428132,156
1679428133,156
1679428134,154
1679428135,158
1679428136,158
1679428137,160
1679428138,163
1679428139,160
1679428140,152
1679428141,149
1679428142,146
1679428143,145
1679428144,148
1679428145,147
1679428146,150
1679428147,150
1679428148,150
1679428149,144
1679428150,145
1679428151,146
1679428152,146
1679428153,143
1679428154,148
1679428155,150
1679428156,165
1679428157,159
1679428158,165
1679428159,163
1679428160,165
1679428161,162
1679428162,149
1679428163,142
1679428164,143
1679428165,143
1679428166,145
1679428167,144
1679428168,144
1679428169,142
1679428170,140
1679428171,141
1679428172,141
1679428173,140
1679428174,140
1679428175,141
1679428176,146
1679428177,143
1679428178,140
1679428179,140
1679428180,135
1679428181,133
1679428182,132
1679428183,131
1679428184,130
1679428185,129
1679428186,129
1679428187,133
1679428188,137
1679428189,139
1679428190,140
1679428191,139
1679428192,133
1679428193,136
