time,FPS
1677203883,160
1677203884,160
1677203885,159
1677203886,161
1677203887,163
1677203888,164
1677203889,163
1677203890,163
1677203891,163
1677203892,163
1677203893,163
1677203894,163
1677203895,159
1677203896,163
1677203897,167
1677203898,170
1677203899,173
1677203900,177
1677203901,158
1677203902,152
1677203903,161
1677203904,152
1677203905,148
1677203906,146
1677203907,152
1677203908,156
1677203909,156
1677203910,145
1677203911,146
1677203912,147
1677203913,146
1677203914,149
1677203915,149
1677203916,151
1677203917,151
1677203918,159
1677203919,158
1677203920,154
1677203921,154
1677203922,154
1677203923,163
1677203924,164
1677203925,157
1677203926,166
1677203927,164
1677203928,156
1677203929,156
1677203930,148
1677203931,148
1677203932,152
1677203933,151
1677203934,153
1677203935,152
1677203936,153
1677203937,153
1677203938,151
1677203939,151
1677203940,153
1677203941,160
1677203942,156
1677203943,159
1677203944,151
1677203945,151
1677203946,150
1677203947,149
1677203948,152
1677203949,155
1677203950,155
1677203951,153
1677203952,154
1677203953,162
1677203954,159
1677203955,158
1677203956,158
1677203957,160
1677203958,160
1677203959,159
1677203960,160
1677203961,158
1677203962,159
1677203963,160
1677203964,157
1677203965,150
1677203966,150
1677203967,148
1677203968,148
1677203969,147
1677203970,148
1677203971,148
1677203972,149
1677203973,150
1677203974,151
1677203975,152
1677203976,148
1677203977,145
1677203978,146
1677203979,146
1677203980,146
1677203981,155
1677203982,167
1677203983,160
1677203984,160
1677203985,160
1677203986,157
1677203987,156
1677203988,149
1677203989,141
1677203990,141
1677203991,143
1677203992,145
1677203993,144
1677203994,141
1677203995,141
1677203996,142
1677203997,141
1677203998,138
1677203999,138
1677204000,139
1677204001,142
1677204002,143
1677204003,138
1677204004,140
1677204005,138
1677204006,134
1677204007,133
1677204008,135
1677204009,128
1677204010,129
1677204011,131
1677204012,134
1677204013,135
1677204014,142
1677204015,144
1677204016,146
1677204017,139
1677204018,144
1677204019,140
1677204020,143
1677204021,144
