time,FPS
1679693254,202
1679693255,202
1679693256,201
1679693257,203
1679693258,206
1679693259,205
1679693260,206
1679693261,204
1679693262,204
1679693263,206
1679693264,205
1679693265,205
1679693266,205
1679693267,207
1679693268,212
1679693269,219
1679693270,219
1679693271,210
1679693272,194
1679693273,196
1679693274,195
1679693275,182
1679693276,188
1679693277,192
1679693278,193
1679693279,195
1679693280,189
1679693281,185
1679693282,182
1679693283,186
1679693284,184
1679693285,188
1679693286,192
1679693287,187
1679693288,196
1679693289,197
1679693290,197
1679693291,195
1679693292,194
1679693293,203
1679693294,197
1679693295,210
1679693296,211
1679693297,211
1679693298,206
1679693299,198
1679693300,196
1679693301,186
1679693302,189
1679693303,191
1679693304,192
1679693305,190
1679693306,188
1679693307,197
1679693308,195
1679693309,199
1679693310,193
1679693311,193
1679693312,202
1679693313,198
1679693314,196
1679693315,188
1679693316,189
1679693317,190
1679693318,188
1679693319,193
1679693320,197
1679693321,196
1679693322,190
1679693323,200
1679693324,199
1679693325,196
1679693326,197
1679693327,195
1679693328,197
1679693329,196
1679693330,197
1679693331,199
1679693332,207
1679693333,200
1679693334,195
1679693335,188
1679693336,184
1679693337,180
1679693338,183
1679693339,180
1679693340,186
1679693341,188
1679693342,189
1679693343,190
1679693344,180
1679693345,182
1679693346,183
1679693347,184
1679693348,182
1679693349,193
1679693350,206
1679693351,205
1679693352,201
1679693353,200
1679693354,199
1679693355,198
1679693356,185
1679693357,180
1679693358,176
1679693359,182
1679693360,184
1679693361,180
1679693362,174
1679693363,177
1679693364,175
1679693365,176
1679693366,174
1679693367,173
1679693368,174
1679693369,180
1679693370,178
1679693371,171
1679693372,175
1679693373,174
1679693374,170
1679693375,173
1679693376,171
1679693377,165
1679693378,165
1679693379,167
1679693380,170
1679693381,177
1679693382,178
1679693383,182
1679693384,182
1679693385,173
1679693386,174
1679693387,174
1679693388,176
