time,FPS
1679095195,159
1679095196,161
1679095197,160
1679095198,161
1679095199,162
1679095200,160
1679095201,161
1679095202,164
1679095203,163
1679095204,163
1679095205,159
1679095206,160
1679095207,160
1679095208,167
1679095209,166
1679095210,172
1679095211,172
1679095212,165
1679095213,152
1679095214,155
1679095215,159
1679095216,149
1679095217,144
1679095218,150
1679095219,154
1679095220,156
1679095221,150
1679095222,146
1679095223,146
1679095224,146
1679095225,147
1679095226,148
1679095227,150
1679095228,149
1679095229,158
1679095230,158
1679095231,153
1679095232,153
1679095233,154
1679095234,161
1679095235,167
1679095236,165
1679095237,164
1679095238,165
1679095239,157
1679095240,154
1679095241,151
1679095242,148
1679095243,152
1679095244,153
1679095245,155
1679095246,152
1679095247,156
1679095248,156
1679095249,151
1679095250,155
1679095251,155
1679095252,156
1679095253,160
1679095254,158
1679095255,154
1679095256,150
1679095257,148
1679095258,149
1679095259,152
1679095260,156
1679095261,157
1679095262,154
1679095263,154
1679095264,163
1679095265,158
1679095266,158
1679095267,159
1679095268,159
1679095269,160
1679095270,156
1679095271,159
1679095272,157
1679095273,169
1679095274,164
1679095275,158
1679095276,153
1679095277,148
1679095278,145
1679095279,146
1679095280,148
1679095281,148
1679095282,149
1679095283,150
1679095284,150
1679095285,144
1679095286,143
1679095287,145
1679095288,147
1679095289,148
1679095290,161
1679095291,167
1679095292,160
1679095293,160
1679095294,161
1679095295,157
1679095296,152
1679095297,143
1679095298,143
1679095299,144
1679095300,147
1679095301,147
1679095302,145
1679095303,144
1679095304,144
1679095305,143
1679095306,142
1679095307,140
1679095308,141
1679095309,144
1679095310,147
1679095311,141
1679095312,143
1679095313,141
1679095314,136
1679095315,136
1679095316,138
1679095317,133
1679095318,134
1679095319,135
1679095320,137
1679095321,139
1679095322,142
1679095323,138
1679095324,140
1679095325,136
1679095326,139
1679095327,137
1679095328,140
