time,FPS
1676063771,159
1676063772,160
1676063773,159
1676063774,159
1676063775,158
1676063776,161
1676063777,162
1676063778,162
1676063779,162
1676063780,160
1676063781,163
1676063782,160
1676063783,160
1676063784,160
1676063785,166
1676063786,169
1676063787,171
1676063788,174
1676063789,163
1676063790,151
1676063791,158
1676063792,159
1676063793,150
1676063794,145
1676063795,147
1676063796,153
1676063797,154
1676063798,153
1676063799,147
1676063800,146
1676063801,142
1676063802,146
1676063803,148
1676063804,148
1676063805,150
1676063806,154
1676063807,159
1676063808,159
1676063809,155
1676063810,149
1676063811,157
1676063812,163
1676063813,164
1676063814,164
1676063815,164
1676063816,162
1676063817,153
1676063818,154
1676063819,147
1676063820,148
1676063821,152
1676063822,152
1676063823,153
1676063824,151
1676063825,154
1676063826,155
1676063827,154
1676063828,153
1676063829,155
1676063830,161
1676063831,158
1676063832,156
1676063833,150
1676063834,148
1676063835,149
1676063836,148
1676063837,155
1676063838,155
1676063839,156
1676063840,154
1676063841,160
1676063842,162
1676063843,160
1676063844,158
1676063845,159
1676063846,158
1676063847,158
1676063848,159
1676063849,160
1676063850,166
1676063851,167
1676063852,166
1676063853,160
1676063854,157
1676063855,149
1676063856,146
1676063857,147
1676063858,148
1676063859,149
1676063860,150
1676063861,150
1676063862,143
1676063863,147
1676063864,145
1676063865,148
1676063866,146
1676063867,147
1676063868,169
1676063869,166
1676063870,164
1676063871,160
1676063872,160
1676063873,159
1676063874,145
1676063875,142
1676063876,144
1676063877,148
1676063878,147
1676063879,147
1676063880,142
1676063881,141
1676063882,141
1676063883,140
1676063884,138
1676063885,139
1676063886,140
1676063887,146
1676063888,141
1676063889,139
1676063890,140
1676063891,135
1676063892,131
1676063893,134
1676063894,132
1676063895,132
1676063896,132
1676063897,132
1676063898,135
1676063899,140
1676063900,144
1676063901,144
1676063902,143
1676063903,138
1676063904,140
1676063905,142
1676063906,143
