time,FPS
1674853231,160
1674853232,160
1674853233,160
1674853234,160
1674853235,157
1674853236,162
1674853237,161
1674853238,160
1674853239,162
1674853240,162
1674853241,161
1674853242,161
1674853243,159
1674853244,158
1674853245,167
1674853246,167
1674853247,173
1674853248,174
1674853249,164
1674853250,151
1674853251,157
1674853252,156
1674853253,148
1674853254,144
1674853255,150
1674853256,154
1674853257,155
1674853258,148
1674853259,147
1674853260,142
1674853261,148
1674853262,149
1674853263,148
1674853264,153
1674853265,150
1674853266,158
1674853267,157
1674853268,156
1674853269,152
1674853270,152
1674853271,158
1674853272,165
1674853273,165
1674853274,162
1674853275,165
1674853276,158
1674853277,155
1674853278,151
1674853279,147
1674853280,151
1674853281,150
1674853282,152
1674853283,150
1674853284,154
1674853285,155
1674853286,151
1674853287,154
1674853288,152
1674853289,156
1674853290,159
1674853291,157
1674853292,154
1674853293,150
1674853294,151
1674853295,150
1674853296,152
1674853297,155
1674853298,156
1674853299,154
1674853300,153
1674853301,158
1674853302,159
1674853303,156
1674853304,156
1674853305,156
1674853306,157
1674853307,158
1674853308,164
1674853309,161
1674853310,160
1674853311,155
1674853312,149
1674853313,147
1674853314,144
1674853315,144
1674853316,144
1674853317,146
1674853318,147
1674853319,150
1674853320,151
1674853321,148
1674853322,145
1674853323,146
1674853324,147
1674853325,145
1674853326,148
1674853327,165
1674853328,162
1674853329,159
1674853330,159
1674853331,156
1674853332,160
1674853333,158
1674853334,154
1674853335,146
1674853336,142
1674853337,145
1674853338,147
1674853339,145
1674853340,142
1674853341,139
1674853342,140
1674853343,138
1674853344,138
1674853345,139
1674853346,139
1674853347,141
1674853348,146
1674853349,142
1674853350,141
1674853351,140
1674853352,134
1674853353,132
1674853354,134
1674853355,133
1674853356,133
1674853357,134
1674853358,136
1674853359,137
1674853360,141
1674853361,144
1674853362,146
1674853363,143
1674853364,140
1674853365,141
1674853366,141
1674853367,145
1674853368,144
