time,FPS
1680631302,59
1680631303,60
1680631304,60
1680631305,60
1680631306,61
1680631307,61
1680631308,61
1680631309,61
1680631310,61
1680631311,61
1680631312,61
1680631313,61
1680631314,59
1680631315,60
1680631316,58
1680631317,61
1680631318,64
1680631319,65
1680631320,66
1680631321,56
1680631322,55
1680631323,59
1680631324,56
1680631325,54
1680631326,54
1680631327,55
1680631328,55
1680631329,53
1680631330,49
1680631331,51
1680631332,51
1680631333,52
1680631334,52
1680631335,54
1680631336,53
1680631337,53
1680631338,55
1680631339,55
1680631340,54
1680631341,54
1680631342,56
1680631343,56
1680631344,57
1680631345,59
1680631346,59
1680631347,59
1680631348,57
1680631349,55
1680631350,52
1680631351,52
1680631352,52
1680631353,53
1680631354,51
1680631355,51
1680631356,52
1680631357,51
1680631358,53
1680631359,52
1680631360,53
1680631361,55
1680631362,54
1680631363,53
1680631364,51
1680631365,50
1680631366,52
1680631367,51
1680631368,52
1680631369,53
1680631370,53
1680631371,52
1680631372,53
1680631373,53
1680631374,52
1680631375,53
1680631376,53
1680631377,53
1680631378,52
1680631379,51
1680631380,51
1680631381,50
1680631382,52
1680631383,51
1680631384,52
1680631385,49
1680631386,48
1680631387,47
1680631388,47
1680631389,48
1680631390,48
1680631391,48
1680631392,49
1680631393,50
1680631394,50
1680631395,50
1680631396,47
1680631397,48
1680631398,48
1680631399,48
1680631400,51
1680631401,55
1680631402,53
1680631403,54
1680631404,54
1680631405,52
1680631406,52
1680631407,51
1680631408,49
1680631409,49
1680631410,49
1680631411,49
1680631412,49
1680631413,48
1680631414,47
1680631415,48
1680631416,48
1680631417,47
1680631418,46
1680631419,48
1680631420,48
1680631421,51
1680631422,52
1680631423,51
1680631424,50
1680631425,49
1680631426,49
1680631427,48
1680631428,49
1680631429,49
1680631430,50
1680631431,51
1680631432,53
1680631433,56
1680631434,57
1680631435,57
1680631436,57
1680631437,50
1680631438,52
