time,FPS
1675903291,160
1675903292,162
1675903293,161
1675903294,159
1675903295,159
1675903296,164
1675903297,163
1675903298,164
1675903299,160
1675903300,163
1675903301,164
1675903302,164
1675903303,161
1675903304,159
1675903305,161
1675903306,168
1675903307,172
1675903308,174
1675903309,173
1675903310,149
1675903311,154
1675903312,161
1675903313,150
1675903314,145
1675903315,144
1675903316,155
1675903317,155
1675903318,152
1675903319,145
1675903320,147
1675903321,147
1675903322,149
1675903323,147
1675903324,152
1675903325,149
1675903326,154
1675903327,161
1675903328,155
1675903329,154
1675903330,153
1675903331,159
1675903332,165
1675903333,166
1675903334,160
1675903335,165
1675903336,160
1675903337,155
1675903338,154
1675903339,147
1675903340,150
1675903341,152
1675903342,151
1675903343,152
1675903344,151
1675903345,157
1675903346,153
1675903347,156
1675903348,156
1675903349,157
1675903350,165
1675903351,155
1675903352,157
1675903353,152
1675903354,151
1675903355,150
1675903356,149
1675903357,156
1675903358,154
1675903359,156
1675903360,153
1675903361,160
1675903362,163
1675903363,161
1675903364,160
1675903365,161
1675903366,159
1675903367,160
1675903368,157
1675903369,159
1675903370,158
1675903371,162
1675903372,158
1675903373,153
1675903374,152
1675903375,149
1675903376,148
1675903377,146
1675903378,147
1675903379,147
1675903380,149
1675903381,150
1675903382,150
1675903383,152
1675903384,148
1675903385,148
1675903386,149
1675903387,150
1675903388,150
1675903389,153
1675903390,170
1675903391,163
1675903392,162
1675903393,159
1675903394,159
1675903395,159
1675903396,154
1675903397,147
1675903398,144
1675903399,145
1675903400,148
1675903401,147
1675903402,146
1675903403,143
1675903404,142
1675903405,142
1675903406,141
1675903407,139
1675903408,141
1675903409,140
1675903410,143
1675903411,142
1675903412,140
1675903413,139
1675903414,134
1675903415,132
1675903416,134
1675903417,132
1675903418,133
1675903419,134
1675903420,135
1675903421,134
1675903422,139
1675903423,144
1675903424,147
1675903425,140
1675903426,142
1675903427,140
1675903428,143
1675903429,143
1675903430,144
