time,FPS
1675733721,160
1675733722,160
1675733723,161
1675733724,155
1675733725,159
1675733726,162
1675733727,162
1675733728,163
1675733729,161
1675733730,164
1675733731,164
1675733732,161
1675733733,160
1675733734,161
1675733735,166
1675733736,169
1675733737,173
1675733738,173
1675733739,162
1675733740,153
1675733741,159
1675733742,155
1675733743,147
1675733744,144
1675733745,152
1675733746,155
1675733747,155
1675733748,147
1675733749,147
1675733750,148
1675733751,147
1675733752,149
1675733753,150
1675733754,152
1675733755,151
1675733756,157
1675733757,155
1675733758,153
1675733759,153
1675733760,155
1675733761,159
1675733762,162
1675733763,161
1675733764,162
1675733765,165
1675733766,159
1675733767,155
1675733768,147
1675733769,148
1675733770,153
1675733771,153
1675733772,154
1675733773,150
1675733774,154
1675733775,154
1675733776,154
1675733777,156
1675733778,154
1675733779,158
1675733780,159
1675733781,157
1675733782,151
1675733783,147
1675733784,148
1675733785,146
1675733786,149
1675733787,152
1675733788,154
1675733789,153
1675733790,153
1675733791,163
1675733792,156
1675733793,154
1675733794,157
1675733795,156
1675733796,159
1675733797,150
1675733798,153
1675733799,152
1675733800,162
1675733801,160
1675733802,154
1675733803,150
1675733804,147
1675733805,147
1675733806,147
1675733807,149
1675733808,150
1675733809,152
1675733810,153
1675733811,153
1675733812,145
1675733813,147
1675733814,146
1675733815,148
1675733816,148
1675733817,162
1675733818,159
1675733819,160
1675733820,154
1675733821,158
1675733822,156
1675733823,152
1675733824,147
1675733825,143
1675733826,141
1675733827,146
1675733828,148
1675733829,146
1675733830,143
1675733831,143
1675733832,141
1675733833,141
1675733834,138
1675733835,139
1675733836,142
1675733837,144
1675733838,142
1675733839,140
1675733840,141
1675733841,136
1675733842,132
1675733843,134
1675733844,135
1675733845,127
1675733846,127
1675733847,127
1675733848,129
1675733849,131
1675733850,135
1675733851,139
1675733852,137
1675733853,135
1675733854,137
