time,FPS
1680644470,176
1680644471,171
1680644472,173
1680644473,171
1680644474,171
1680644475,169
1680644476,171
1680644477,171
1680644478,174
1680644479,172
1680644480,174
1680644481,171
1680644482,169
1680644483,178
1680644484,178
1680644485,172
1680644486,170
1680644487,162
1680644488,145
1680644489,140
1680644490,142
1680644491,145
1680644492,139
1680644493,137
1680644494,143
1680644495,145
1680644496,145
1680644497,144
1680644498,149
1680644499,155
1680644500,150
1680644501,152
1680644502,150
1680644503,161
1680644504,158
1680644505,161
1680644506,164
1680644507,164
1680644508,163
1680644509,169
1680644510,171
1680644511,170
1680644512,163
1680644513,168
1680644514,167
1680644515,165
1680644516,169
1680644517,169
1680644518,170
1680644519,166
1680644520,151
1680644521,153
1680644522,151
1680644523,151
1680644524,153
1680644525,151
1680644526,155
1680644527,155
1680644528,154
1680644529,166
1680644530,167
1680644531,163
1680644532,168
1680644533,161
1680644534,167
1680644535,167
1680644536,170
1680644537,175
1680644538,173
1680644539,180
1680644540,170
1680644541,167
1680644542,170
1680644543,178
1680644544,172
1680644545,167
1680644546,167
1680644547,175
1680644548,186
1680644549,185
1680644550,178
1680644551,183
1680644552,182
1680644553,175
1680644554,178
1680644555,179
1680644556,186
1680644557,188
1680644558,191
1680644559,193
1680644560,195
1680644561,188
1680644562,194
1680644563,195
1680644564,195
1680644565,186
1680644566,183
1680644567,190
1680644568,190
1680644569,181
1680644570,195
1680644571,196
1680644572,192
1680644573,197
1680644574,193
1680644575,191
1680644576,194
1680644577,195
1680644578,197
1680644579,190
1680644580,192
1680644581,194
1680644582,191
1680644583,194
1680644584,198
1680644585,199
1680644586,199
1680644587,197
1680644588,195
1680644589,198
1680644590,199
1680644591,196
1680644592,196
1680644593,192
1680644594,184
1680644595,187
1680644596,190
1680644597,189
1680644598,192
1680644599,197
1680644600,200
1680644601,195
1680644602,196
1680644603,199
1680644604,200
1680644605,200
1680644606,199
