time,FPS
1680301378,189
1680301379,185
1680301380,188
1680301381,184
1680301382,182
1680301383,182
1680301384,184
1680301385,183
1680301386,184
1680301387,184
1680301388,186
1680301389,185
1680301390,184
1680301391,186
1680301392,196
1680301393,184
1680301394,182
1680301395,179
1680301396,163
1680301397,154
1680301398,154
1680301399,159
1680301400,154
1680301401,151
1680301402,149
1680301403,152
1680301404,157
1680301405,156
1680301406,161
1680301407,161
1680301408,159
1680301409,160
1680301410,160
1680301411,165
1680301412,170
1680301413,167
1680301414,174
1680301415,175
1680301416,177
1680301417,180
1680301418,184
1680301419,187
1680301420,180
1680301421,178
1680301422,182
1680301423,181
1680301424,183
1680301425,176
1680301426,183
1680301427,181
1680301428,167
1680301429,163
1680301430,158
1680301431,159
1680301432,163
1680301433,165
1680301434,164
1680301435,166
1680301436,164
1680301437,170
1680301438,182
1680301439,173
1680301440,180
1680301441,181
1680301442,178
1680301443,181
1680301444,190
1680301445,188
1680301446,189
1680301447,192
1680301448,191
1680301449,179
1680301450,181
1680301451,187
1680301452,188
1680301453,187
1680301454,184
1680301455,187
1680301456,191
1680301457,192
1680301458,195
1680301459,195
1680301460,196
1680301461,188
1680301462,190
1680301463,192
1680301464,193
1680301465,200
1680301466,203
1680301467,203
1680301468,199
1680301469,203
1680301470,199
1680301471,210
1680301472,209
1680301473,207
1680301474,203
1680301475,194
1680301476,201
1680301477,187
1680301478,203
1680301479,201
1680301480,200
1680301481,200
1680301482,197
1680301483,197
1680301484,198
1680301485,202
1680301486,200
1680301487,197
1680301488,194
1680301489,196
1680301490,199
1680301491,199
1680301492,202
1680301493,202
1680301494,204
1680301495,199
1680301496,197
1680301497,201
1680301498,197
1680301499,198
1680301500,200
1680301501,190
1680301502,189
1680301503,190
1680301504,192
1680301505,195
1680301506,197
1680301507,201
1680301508,200
1680301509,192
1680301510,198
1680301511,199
1680301512,199
1680301513,200
1680301514,199
