time,FPS
1680302179,185
1680302180,183
1680302181,185
1680302182,184
1680302183,183
1680302184,182
1680302185,185
1680302186,185
1680302187,186
1680302188,184
1680302189,185
1680302190,184
1680302191,181
1680302192,181
1680302193,192
1680302194,184
1680302195,179
1680302196,174
1680302197,163
1680302198,149
1680302199,154
1680302200,154
1680302201,151
1680302202,147
1680302203,151
1680302204,151
1680302205,154
1680302206,151
1680302207,159
1680302208,163
1680302209,163
1680302210,159
1680302211,160
1680302212,166
1680302213,173
1680302214,169
1680302215,173
1680302216,180
1680302217,179
1680302218,180
1680302219,188
1680302220,183
1680302221,186
1680302222,178
1680302223,180
1680302224,181
1680302225,181
1680302226,176
1680302227,183
1680302228,183
1680302229,174
1680302230,164
1680302231,164
1680302232,163
1680302233,166
1680302234,168
1680302235,165
1680302236,167
1680302237,168
1680302238,170
1680302239,179
1680302240,175
1680302241,181
1680302242,186
1680302243,177
1680302244,181
1680302245,182
1680302246,186
1680302247,188
1680302248,186
1680302249,192
1680302250,178
1680302251,180
1680302252,186
1680302253,190
1680302254,184
1680302255,179
1680302256,185
1680302257,193
1680302258,194
1680302259,196
1680302260,192
1680302261,182
1680302262,187
1680302263,191
1680302264,199
1680302265,199
1680302266,198
1680302267,200
1680302268,205
1680302269,206
1680302270,196
1680302271,206
1680302272,211
1680302273,212
1680302274,207
1680302275,207
1680302276,198
1680302277,204
1680302278,193
1680302279,206
1680302280,200
1680302281,194
1680302282,196
1680302283,191
1680302284,200
1680302285,197
1680302286,198
1680302287,197
1680302288,199
1680302289,200
1680302290,196
1680302291,197
1680302292,194
1680302293,194
1680302294,199
1680302295,197
1680302296,199
1680302297,202
1680302298,204
1680302299,194
1680302300,201
1680302301,201
1680302302,199
1680302303,198
1680302304,199
1680302305,190
1680302306,188
1680302307,192
1680302308,194
1680302309,196
1680302310,199
1680302311,202
1680302312,201
1680302313,196
1680302314,198
1680302315,200
