time,FPS
1679684992,195
1679684993,194
1679684994,194
1679684995,197
1679684996,197
1679684997,199
1679684998,199
1679684999,199
1679685000,199
1679685001,198
1679685002,197
1679685003,197
1679685004,197
1679685005,200
1679685006,206
1679685007,201
1679685008,199
1679685009,192
1679685010,179
1679685011,172
1679685012,171
1679685013,174
1679685014,171
1679685015,169
1679685016,175
1679685017,174
1679685018,180
1679685019,180
1679685020,182
1679685021,182
1679685022,182
1679685023,181
1679685024,176
1679685025,187
1679685026,187
1679685027,194
1679685028,196
1679685029,195
1679685030,189
1679685031,194
1679685032,199
1679685033,204
1679685034,198
1679685035,198
1679685036,203
1679685037,200
1679685038,197
1679685039,190
1679685040,188
1679685041,191
1679685042,184
1679685043,188
1679685044,183
1679685045,187
1679685046,189
1679685047,186
1679685048,190
1679685049,186
1679685050,188
1679685051,193
1679685052,195
1679685053,183
1679685054,185
1679685055,191
1679685056,188
1679685057,189
1679685058,193
1679685059,193
1679685060,193
1679685061,186
1679685062,196
1679685063,196
1679685064,193
1679685065,198
1679685066,197
1679685067,195
1679685068,190
1679685069,198
1679685070,196
1679685071,201
1679685072,199
1679685073,198
1679685074,192
1679685075,190
1679685076,181
1679685077,185
1679685078,187
1679685079,188
1679685080,190
1679685081,189
1679685082,185
1679685083,182
1679685084,179
1679685085,185
1679685086,185
1679685087,188
1679685088,196
1679685089,197
1679685090,186
1679685091,195
1679685092,193
1679685093,190
1679685094,183
1679685095,180
1679685096,174
1679685097,181
1679685098,184
1679685099,176
1679685100,176
1679685101,173
1679685102,177
1679685103,172
1679685104,173
1679685105,172
1679685106,174
1679685107,177
1679685108,179
1679685109,171
1679685110,175
1679685111,172
1679685112,170
1679685113,170
1679685114,168
1679685115,162
1679685116,166
1679685117,165
1679685118,174
1679685119,179
1679685120,183
1679685121,175
1679685122,180
1679685123,164
1679685124,175
1679685125,171
1679685126,172
1679685127,172
1679685128,167
