time,FPS
1675805372,24
1675805373,49
1675805374,44
1675805375,31
1675805376,48
1675805377,46
1675805378,47
1675805379,49
1675805380,51
1675805381,49
1675805382,45
1675805383,43
1675805384,47
1675805385,43
1675805386,43
1675805387,42
1675805388,48
1675805389,43
1675805390,44
1675805391,44
1675805392,50
1675805393,45
1675805394,45
1675805395,54
1675805396,55
1675805397,53
1675805398,53
1675805399,53
1675805400,55
1675805401,48
1675805402,54
1675805403,52
1675805404,53
1675805405,53
1675805406,54
1675805407,52
1675805408,51
1675805409,52
1675805410,54
1675805411,54
1675805412,51
1675805413,53
1675805414,52
1675805415,53
1675805416,55
1675805417,48
1675805418,58
1675805419,58
1675805420,57
1675805421,57
1675805422,57
1675805423,58
1675805424,57
1675805425,57
1675805426,55
1675805427,43
1675805428,41
1675805429,43
1675805430,43
1675805431,45
1675805432,47
1675805433,44
1675805434,44
1675805435,42
1675805436,42
1675805437,41
1675805438,43
1675805439,48
1675805440,45
1675805441,46
1675805442,46
1675805443,44
1675805444,45
1675805445,47
1675805446,46
1675805447,45
1675805448,43
1675805449,49
1675805450,42
1675805451,43
1675805452,43
1675805453,46
1675805454,42
1675805455,47
1675805456,47
1675805457,44
1675805458,43
1675805459,47
1675805460,48
1675805461,49
1675805462,46
1675805463,43
1675805464,49
1675805465,45
1675805466,48
1675805467,47
1675805468,46
1675805469,49
1675805470,50
1675805471,52
1675805472,48
1675805473,45
1675805474,48
1675805475,177
1675805476,252
1675805477,251
1675805478,249
1675805479,168
1675805480,124
1675805481,125
1675805482,128
1675805483,129
1675805484,130
1675805485,129
1675805486,129
1675805487,124
1675805488,126
1675805489,129
1675805490,127
1675805491,128
1675805492,124
1675805493,125
1675805494,124
1675805495,129
1675805496,131
1675805497,131
1675805498,127
1675805499,127
1675805500,132
1675805501,132
1675805502,132
1675805503,132
1675805504,182
1675805505,255
1675805506,255
1675805507,255
1675805508,142
1675805509,146
1675805510,156
1675805511,153
1675805512,157
1675805513,157
1675805514,156
1675805515,157
1675805516,157
1675805517,156
1675805518,157
1675805519,154
1675805520,155
1675805521,157
1675805522,154
1675805523,153
1675805524,154
1675805525,154
1675805526,154
1675805527,155
1675805528,155
1675805529,157
1675805530,151
1675805531,156
1675805532,150
1675805533,222
1675805534,255
1675805535,255
1675805536,226
1675805537,132
1675805538,137
1675805539,137
1675805540,137
1675805541,136
1675805542,133
1675805543,135
1675805544,136
1675805545,137
1675805546,141
1675805547,142
1675805548,146
1675805549,151
1675805550,155
1675805551,155
1675805552,156
1675805553,156
1675805554,157
1675805555,157
1675805556,159
1675805557,159
1675805558,160
1675805559,161
1675805560,160
1675805561,177
1675805562,255
1675805563,254
1675805564,254
1675805565,256
1675805566,255
1675805567,256
1675805568,115
1675805569,131
1675805570,134
1675805571,132
1675805572,132
1675805573,129
1675805574,127
1675805575,124
1675805576,122
1675805577,123
1675805578,123
1675805579,125
1675805580,123
1675805581,126
1675805582,126
1675805583,125
1675805584,127
1675805585,125
1675805586,125
1675805587,125
1675805588,128
1675805589,128
1675805590,127
1675805591,129
1675805592,128
1675805593,229
1675805594,254
1675805595,256
1675805596,255
1675805597,255
1675805598,255
1675805599,251
1675805600,111
1675805601,161
1675805602,162
1675805603,159
1675805604,159
1675805605,160
1675805606,161
1675805607,164
1675805608,165
1675805609,164
1675805610,163
1675805611,164
1675805612,163
1675805613,161
1675805614,163
1675805615,168
1675805616,167
1675805617,172
1675805618,175
1675805619,165
1675805620,154
1675805621,160
1675805622,159
1675805623,150
1675805624,146
1675805625,153
1675805626,157
1675805627,159
1675805628,149
1675805629,148
1675805630,148
1675805631,147
1675805632,149
1675805633,147
1675805634,153
1675805635,149
1675805636,160
1675805637,155
1675805638,158
1675805639,155
1675805640,156
1675805641,162
1675805642,164
1675805643,163
1675805644,166
1675805645,165
1675805646,161
1675805647,155
1675805648,153
1675805649,148
1675805650,154
1675805651,154
1675805652,157
1675805653,152
1675805654,156
1675805655,154
1675805656,155
1675805657,154
1675805658,154
1675805659,157
1675805660,158
1675805661,157
1675805662,152
1675805663,145
1675805664,148
1675805665,146
1675805666,148
1675805667,154
1675805668,154
1675805669,152
1675805670,152
1675805671,160
1675805672,158
1675805673,159
1675805674,155
1675805675,156
1675805676,156
1675805677,155
1675805678,158
1675805679,157
1675805680,167
1675805681,159
1675805682,156
1675805683,152
1675805684,148
1675805685,147
1675805686,148
1675805687,149
1675805688,150
1675805689,150
1675805690,152
1675805691,150
1675805692,143
1675805693,145
1675805694,146
1675805695,146
1675805696,147
1675805697,165
1675805698,158
1675805699,152
1675805700,152
1675805701,156
1675805702,155
1675805703,153
1675805704,144
1675805705,143
1675805706,145
1675805707,149
1675805708,148
1675805709,144
1675805710,145
1675805711,144
1675805712,142
1675805713,142
1675805714,140
1675805715,142
1675805716,144
1675805717,148
1675805718,141
1675805719,143
1675805720,139
1675805721,135
1675805722,134
1675805723,136
1675805724,126
1675805725,132
1675805726,129
1675805727,134
1675805728,137
1675805729,140
1675805730,141
1675805731,143
1675805732,134
1675805733,136
1675805734,139
1675805735,139
1675805736,140
1675805737,140
1675805738,140
1675805739,69
