time,FPS
1680039063,40
1680039064,45
1680039065,23
1680039066,53
1680039067,49
1680039068,53
1680039069,47
1680039070,49
1680039071,48
1680039072,50
1680039073,48
1680039074,51
1680039075,49
1680039076,47
1680039077,47
1680039078,43
1680039079,42
1680039080,44
1680039081,40
1680039082,43
1680039083,41
1680039084,43
1680039085,45
1680039086,43
1680039087,45
1680039088,48
1680039089,44
1680039090,48
1680039091,43
1680039092,42
1680039093,46
1680039094,45
1680039095,44
1680039096,43
1680039097,50
1680039098,43
1680039099,44
1680039100,47
1680039101,42
1680039102,45
1680039103,47
1680039104,46
1680039105,42
1680039106,44
1680039107,46
1680039108,54
1680039109,54
1680039110,52
1680039111,52
1680039112,53
1680039113,53
1680039114,53
1680039115,54
1680039116,52
1680039117,46
1680039118,48
1680039119,43
1680039120,45
1680039121,46
1680039122,46
1680039123,48
1680039124,46
1680039125,45
1680039126,45
1680039127,40
1680039128,44
1680039129,45
1680039130,45
1680039131,46
1680039132,46
1680039133,44
1680039134,44
1680039135,44
1680039136,44
1680039137,45
1680039138,45
1680039139,45
1680039140,46
1680039141,45
1680039142,44
1680039143,44
1680039144,43
1680039145,46
1680039146,46
1680039147,43
1680039148,44
1680039149,44
1680039150,43
1680039151,44
1680039152,48
1680039153,41
1680039154,48
1680039155,45
1680039156,43
1680039157,41
1680039158,41
1680039159,46
1680039160,44
1680039161,47
1680039162,48
1680039163,48
1680039164,44
1680039165,166
1680039166,255
1680039167,254
1680039168,253
1680039169,234
1680039170,126
1680039171,144
1680039172,150
1680039173,150
1680039174,151
1680039175,145
1680039176,152
1680039177,153
1680039178,155
1680039179,153
1680039180,150
1680039181,154
1680039182,146
1680039183,150
1680039184,156
1680039185,152
1680039186,155
1680039187,157
1680039188,156
1680039189,154
1680039190,153
1680039191,154
1680039192,152
1680039193,155
1680039194,171
1680039195,255
1680039196,255
1680039197,256
1680039198,255
1680039199,166
1680039200,194
1680039201,201
1680039202,201
1680039203,196
1680039204,201
1680039205,199
1680039206,201
1680039207,193
1680039208,191
1680039209,195
1680039210,188
1680039211,193
1680039212,191
1680039213,192
1680039214,190
1680039215,192
1680039216,190
1680039217,195
1680039218,198
1680039219,199
1680039220,198
1680039221,194
1680039222,194
1680039223,193
1680039224,224
1680039225,255
1680039226,255
1680039227,256
1680039228,171
1680039229,178
1680039230,174
1680039231,174
1680039232,171
1680039233,172
1680039234,173
1680039235,177
1680039236,179
1680039237,181
1680039238,183
1680039239,188
1680039240,192
1680039241,195
1680039242,196
1680039243,199
1680039244,200
1680039245,200
1680039246,197
1680039247,201
1680039248,200
1680039249,203
1680039250,203
1680039251,204
1680039252,203
1680039253,246
1680039254,256
1680039255,255
1680039256,256
1680039257,253
1680039258,254
1680039259,198
1680039260,157
1680039261,165
1680039262,165
1680039263,163
1680039264,162
1680039265,158
1680039266,156
1680039267,153
1680039268,151
1680039269,151
1680039270,157
1680039271,158
1680039272,159
1680039273,162
1680039274,160
1680039275,164
1680039276,162
1680039277,164
1680039278,162
1680039279,161
1680039280,164
1680039281,166
1680039282,168
1680039283,166
1680039284,198
1680039285,255
1680039286,255
1680039287,255
1680039288,254
1680039289,255
1680039290,254
1680039291,197
1680039292,183
1680039293,204
1680039294,203
1680039295,201
1680039296,203
1680039297,204
1680039298,204
1680039299,203
1680039300,203
1680039301,204
1680039302,203
1680039303,204
1680039304,203
1680039305,204
1680039306,208
1680039307,213
1680039308,211
1680039309,212
1680039310,203
1680039311,187
1680039312,192
1680039313,194
1680039314,179
1680039315,188
1680039316,189
1680039317,197
1680039318,194
1680039319,188
1680039320,184
1680039321,180
1680039322,185
1680039323,185
1680039324,183
1680039325,192
1680039326,187
1680039327,189
1680039328,198
1680039329,197
1680039330,193
1680039331,193
1680039332,202
1680039333,206
1680039334,199
1680039335,210
1680039336,208
1680039337,207
1680039338,201
1680039339,194
1680039340,187
1680039341,190
1680039342,190
1680039343,194
1680039344,190
1680039345,193
1680039346,194
1680039347,194
1680039348,198
1680039349,192
1680039350,196
1680039351,201
1680039352,201
1680039353,193
1680039354,190
1680039355,184
1680039356,189
1680039357,190
1680039358,195
1680039359,194
1680039360,196
1680039361,192
1680039362,203
1680039363,201
1680039364,200
1680039365,193
1680039366,199
1680039367,197
1680039368,200
1680039369,196
1680039370,202
1680039371,203
1680039372,197
1680039373,199
1680039374,194
1680039375,193
1680039376,191
1680039377,188
1680039378,187
1680039379,189
1680039380,190
1680039381,190
1680039382,192
1680039383,191
1680039384,182
1680039385,184
1680039386,181
1680039387,185
1680039388,187
1680039389,206
1680039390,199
1680039391,204
1680039392,200
1680039393,200
1680039394,197
1680039395,195
1680039396,184
1680039397,180
1680039398,181
1680039399,185
1680039400,182
1680039401,177
1680039402,177
1680039403,177
1680039404,176
1680039405,177
1680039406,174
1680039407,176
1680039408,178
1680039409,183
1680039410,181
1680039411,177
1680039412,181
1680039413,172
1680039414,174
1680039415,173
1680039416,168
1680039417,166
1680039418,167
1680039419,171
1680039420,175
1680039421,182
1680039422,182
1680039423,184
1680039424,177
1680039425,176
1680039426,173
1680039427,181
1680039428,176
1680039429,83
