time,FPS
1675474057,16
1675474058,41
1675474059,40
1675474060,24
1675474061,52
1675474062,51
1675474063,53
1675474064,50
1675474065,52
1675474066,52
1675474067,54
1675474068,52
1675474069,50
1675474070,49
1675474071,45
1675474072,46
1675474073,43
1675474074,42
1675474075,43
1675474076,41
1675474077,41
1675474078,41
1675474079,46
1675474080,50
1675474081,50
1675474082,52
1675474083,50
1675474084,53
1675474085,51
1675474086,52
1675474087,52
1675474088,51
1675474089,52
1675474090,50
1675474091,53
1675474092,53
1675474093,53
1675474094,50
1675474095,53
1675474096,51
1675474097,49
1675474098,51
1675474099,56
1675474100,57
1675474101,53
1675474102,55
1675474103,54
1675474104,55
1675474105,53
1675474106,54
1675474107,50
1675474108,38
1675474109,41
1675474110,45
1675474111,44
1675474112,41
1675474113,44
1675474114,45
1675474115,47
1675474116,43
1675474117,44
1675474118,44
1675474119,46
1675474120,52
1675474121,44
1675474122,60
1675474123,58
1675474124,55
1675474125,49
1675474126,55
1675474127,59
1675474128,58
1675474129,60
1675474130,57
1675474131,58
1675474132,56
1675474133,57
1675474134,58
1675474135,56
1675474136,54
1675474137,55
1675474138,55
1675474139,59
1675474140,59
1675474141,58
1675474142,57
1675474143,61
1675474144,58
1675474145,55
1675474146,60
1675474147,58
1675474148,55
1675474149,58
1675474150,55
1675474151,56
1675474152,54
1675474153,59
1675474154,58
1675474155,58
1675474156,248
1675474157,252
1675474158,252
1675474159,253
1675474160,198
1675474161,120
1675474162,124
1675474163,127
1675474164,127
1675474165,126
1675474166,127
1675474167,124
1675474168,125
1675474169,125
1675474170,126
1675474171,126
1675474172,126
1675474173,127
1675474174,125
1675474175,128
1675474176,130
1675474177,130
1675474178,130
1675474179,129
1675474180,130
1675474181,126
1675474182,126
1675474183,130
1675474184,131
1675474185,166
1675474186,255
1675474187,255
1675474188,253
1675474189,233
1675474190,113
1675474191,152
1675474192,151
1675474193,151
1675474194,150
1675474195,150
1675474196,148
1675474197,153
1675474198,152
1675474199,153
1675474200,153
1675474201,150
1675474202,152
1675474203,152
1675474204,147
1675474205,149
1675474206,146
1675474207,150
1675474208,152
1675474209,150
1675474210,149
1675474211,151
1675474212,154
1675474213,155
1675474214,171
1675474215,253
1675474216,254
1675474217,254
1675474218,256
1675474219,131
1675474220,118
1675474221,119
1675474222,119
1675474223,117
1675474224,119
1675474225,120
1675474226,121
1675474227,126
1675474228,134
1675474229,138
1675474230,143
1675474231,149
1675474232,151
1675474233,153
1675474234,153
1675474235,154
1675474236,154
1675474237,156
1675474238,157
1675474239,158
1675474240,159
1675474241,159
1675474242,159
1675474243,159
1675474244,248
1675474245,253
1675474246,252
1675474247,253
1675474248,254
1675474249,256
1675474250,253
1675474251,252
1675474252,107
1675474253,109
1675474254,110
1675474255,110
1675474256,108
1675474257,107
1675474258,105
1675474259,103
1675474260,101
1675474261,98
1675474262,101
1675474263,102
1675474264,102
1675474265,104
1675474266,104
1675474267,103
1675474268,104
1675474269,102
1675474270,102
1675474271,100
1675474272,104
1675474273,105
1675474274,107
1675474275,108
1675474276,109
1675474277,209
1675474278,254
1675474279,255
1675474280,254
1675474281,254
1675474282,256
1675474283,250
1675474284,254
1675474285,255
1675474286,188
1675474287,155
1675474288,155
1675474289,157
1675474290,156
1675474291,159
1675474292,159
1675474293,160
1675474294,160
1675474295,159
1675474296,158
1675474297,158
1675474298,158
1675474299,157
1675474300,160
1675474301,167
1675474302,166
1675474303,167
1675474304,162
1675474305,148
1675474306,144
1675474307,140
1675474308,141
1675474309,137
1675474310,132
1675474311,133
1675474312,137
1675474313,140
1675474314,143
1675474315,138
1675474316,141
1675474317,145
1675474318,142
1675474319,145
1675474320,146
1675474321,150
1675474322,153
1675474323,158
1675474324,159
1675474325,153
1675474326,152
1675474327,158
1675474328,163
1675474329,161
1675474330,160
1675474331,163
1675474332,161
1675474333,157
1675474334,151
1675474335,148
1675474336,150
1675474337,154
1675474338,148
1675474339,150
1675474340,148
1675474341,151
1675474342,153
1675474343,150
1675474344,151
1675474345,150
1675474346,151
1675474347,155
1675474348,155
1675474349,149
1675474350,151
1675474351,147
1675474352,149
1675474353,150
1675474354,150
1675474355,153
1675474356,150
1675474357,158
1675474358,157
1675474359,155
1675474360,156
1675474361,154
1675474362,157
1675474363,154
1675474364,157
1675474365,158
1675474366,157
1675474367,159
1675474368,159
1675474369,155
1675474370,148
1675474371,146
1675474372,146
1675474373,149
1675474374,149
1675474375,149
1675474376,152
1675474377,148
1675474378,145
1675474379,147
1675474380,147
1675474381,146
1675474382,148
1675474383,157
1675474384,159
1675474385,160
1675474386,147
1675474387,156
1675474388,155
1675474389,153
1675474390,144
1675474391,140
1675474392,141
1675474393,146
1675474394,146
1675474395,145
1675474396,139
1675474397,142
1675474398,141
1675474399,140
1675474400,140
1675474401,140
1675474402,141
1675474403,146
1675474404,144
1675474405,140
1675474406,141
1675474407,134
1675474408,134
1675474409,134
1675474410,132
1675474411,131
1675474412,130
1675474413,130
1675474414,133
1675474415,139
1675474416,142
1675474417,139
1675474418,139
1675474419,136
1675474420,33
