time,FPS
1677191407,38
1677191408,46
1677191409,28
1677191410,52
1677191411,44
1677191412,43
1677191413,45
1677191414,46
1677191415,48
1677191416,47
1677191417,43
1677191418,46
1677191419,47
1677191420,50
1677191421,46
1677191422,38
1677191423,43
1677191424,43
1677191425,45
1677191426,41
1677191427,43
1677191428,38
1677191429,47
1677191430,47
1677191431,46
1677191432,43
1677191433,47
1677191434,37
1677191435,45
1677191436,44
1677191437,41
1677191438,43
1677191439,45
1677191440,47
1677191441,46
1677191442,40
1677191443,39
1677191444,43
1677191445,44
1677191446,43
1677191447,56
1677191448,55
1677191449,55
1677191450,52
1677191451,55
1677191452,55
1677191453,53
1677191454,53
1677191455,54
1677191456,46
1677191457,41
1677191458,41
1677191459,44
1677191460,42
1677191461,41
1677191462,47
1677191463,46
1677191464,44
1677191465,45
1677191466,45
1677191467,44
1677191468,47
1677191469,48
1677191470,54
1677191471,47
1677191472,47
1677191473,50
1677191474,41
1677191475,48
1677191476,48
1677191477,47
1677191478,45
1677191479,48
1677191480,48
1677191481,47
1677191482,41
1677191483,41
1677191484,45
1677191485,47
1677191486,46
1677191487,46
1677191488,44
1677191489,43
1677191490,44
1677191491,40
1677191492,43
1677191493,48
1677191494,39
1677191495,45
1677191496,45
1677191497,46
1677191498,46
1677191499,46
1677191500,42
1677191501,45
1677191502,40
1677191503,46
1677191504,148
1677191505,256
1677191506,255
1677191507,253
1677191508,172
1677191509,109
1677191510,111
1677191511,109
1677191512,112
1677191513,116
1677191514,117
1677191515,114
1677191516,117
1677191517,117
1677191518,118
1677191519,118
1677191520,117
1677191521,118
1677191522,117
1677191523,116
1677191524,116
1677191525,117
1677191526,116
1677191527,121
1677191528,122
1677191529,118
1677191530,124
1677191531,124
1677191532,124
1677191533,170
1677191534,255
1677191535,256
1677191536,256
1677191537,165
1677191538,148
1677191539,155
1677191540,158
1677191541,157
1677191542,156
1677191543,156
1677191544,156
1677191545,157
1677191546,157
1677191547,156
1677191548,155
1677191549,152
1677191550,157
1677191551,151
1677191552,153
1677191553,152
1677191554,157
1677191555,158
1677191556,156
1677191557,154
1677191558,156
1677191559,160
1677191560,161
1677191561,163
1677191562,211
1677191563,255
1677191564,256
1677191565,255
1677191566,142
1677191567,140
1677191568,138
1677191569,137
1677191570,136
1677191571,136
1677191572,135
1677191573,135
1677191574,135
1677191575,137
1677191576,139
1677191577,142
1677191578,145
1677191579,149
1677191580,151
1677191581,151
1677191582,152
1677191583,153
1677191584,153
1677191585,154
1677191586,155
1677191587,155
1677191588,156
1677191589,157
1677191590,154
1677191591,233
1677191592,255
1677191593,255
1677191594,256
1677191595,254
1677191596,256
1677191597,177
1677191598,122
1677191599,132
1677191600,133
1677191601,132
1677191602,131
1677191603,131
1677191604,125
1677191605,124
1677191606,123
1677191607,125
1677191608,126
1677191609,125
1677191610,127
1677191611,128
1677191612,126
1677191613,122
1677191614,127
1677191615,126
1677191616,127
1677191617,124
1677191618,128
1677191619,127
1677191620,129
1677191621,129
1677191622,177
1677191623,256
1677191624,254
1677191625,256
1677191626,255
1677191627,256
1677191628,255
1677191629,143
1677191630,160
1677191631,161
1677191632,161
1677191633,156
1677191634,163
1677191635,163
1677191636,163
1677191637,163
1677191638,163
1677191639,161
1677191640,164
1677191641,158
1677191642,161
1677191643,165
1677191644,165
1677191645,169
1677191646,174
1677191647,177
1677191648,156
1677191649,154
1677191650,163
1677191651,153
1677191652,148
1677191653,147
1677191654,154
1677191655,155
1677191656,153
1677191657,146
1677191658,146
1677191659,147
1677191660,145
1677191661,150
1677191662,149
1677191663,149
1677191664,156
1677191665,161
1677191666,157
1677191667,153
1677191668,154
1677191669,158
1677191670,164
1677191671,165
1677191672,160
1677191673,161
1677191674,162
1677191675,158
1677191676,154
1677191677,147
1677191678,149
1677191679,153
1677191680,151
1677191681,152
1677191682,152
1677191683,157
1677191684,156
1677191685,157
1677191686,155
1677191687,158
1677191688,163
1677191689,159
1677191690,159
1677191691,150
1677191692,150
1677191693,149
1677191694,149
1677191695,155
1677191696,156
1677191697,156
1677191698,154
1677191699,161
1677191700,162
1677191701,156
1677191702,156
1677191703,156
1677191704,156
1677191705,160
1677191706,154
1677191707,163
1677191708,162
1677191709,161
1677191710,162
1677191711,158
1677191712,156
1677191713,152
1677191714,151
1677191715,147
1677191716,147
1677191717,148
1677191718,150
1677191719,151
1677191720,152
1677191721,147
1677191722,145
1677191723,147
1677191724,148
1677191725,146
1677191726,159
1677191727,169
1677191728,161
1677191729,159
1677191730,158
1677191731,160
1677191732,158
1677191733,156
1677191734,148
1677191735,142
1677191736,141
1677191737,146
1677191738,147
1677191739,144
1677191740,144
1677191741,141
1677191742,142
1677191743,140
1677191744,139
1677191745,138
1677191746,140
1677191747,143
1677191748,146
1677191749,140
1677191750,141
1677191751,137
1677191752,134
1677191753,133
1677191754,135
1677191755,128
1677191756,129
1677191757,130
1677191758,132
1677191759,136
1677191760,140
1677191761,140
1677191762,146
1677191763,138
1677191764,145
1677191765,139
1677191766,140
1677191767,142
1677191768,87
