time,FPS
1680297571,33
1680297572,43
1680297573,27
1680297574,49
1680297575,50
1680297576,52
1680297577,49
1680297578,49
1680297579,53
1680297580,52
1680297581,52
1680297582,50
1680297583,49
1680297584,43
1680297585,43
1680297586,41
1680297587,43
1680297588,40
1680297589,38
1680297590,40
1680297591,42
1680297592,40
1680297593,48
1680297594,50
1680297595,52
1680297596,50
1680297597,52
1680297598,50
1680297599,51
1680297600,53
1680297601,52
1680297602,52
1680297603,49
1680297604,51
1680297605,53
1680297606,50
1680297607,50
1680297608,53
1680297609,51
1680297610,52
1680297611,51
1680297612,52
1680297613,52
1680297614,51
1680297615,58
1680297616,58
1680297617,58
1680297618,56
1680297619,57
1680297620,58
1680297621,57
1680297622,56
1680297623,57
1680297624,44
1680297625,39
1680297626,43
1680297627,40
1680297628,42
1680297629,47
1680297630,45
1680297631,41
1680297632,39
1680297633,44
1680297634,45
1680297635,41
1680297636,41
1680297637,43
1680297638,47
1680297639,41
1680297640,47
1680297641,45
1680297642,46
1680297643,42
1680297644,45
1680297645,43
1680297646,41
1680297647,44
1680297648,44
1680297649,46
1680297650,44
1680297651,47
1680297652,49
1680297653,48
1680297654,49
1680297655,49
1680297656,44
1680297657,47
1680297658,45
1680297659,43
1680297660,45
1680297661,45
1680297662,48
1680297663,46
1680297664,50
1680297665,48
1680297666,45
1680297667,50
1680297668,49
1680297669,45
1680297670,50
1680297671,46
1680297672,149
1680297673,252
1680297674,253
1680297675,254
1680297676,172
1680297677,164
1680297678,164
1680297679,164
1680297680,166
1680297681,169
1680297682,167
1680297683,168
1680297684,163
1680297685,162
1680297686,161
1680297687,164
1680297688,166
1680297689,160
1680297690,164
1680297691,165
1680297692,166
1680297693,165
1680297694,168
1680297695,166
1680297696,161
1680297697,169
1680297698,165
1680297699,169
1680297700,166
1680297701,215
1680297702,255
1680297703,255
1680297704,253
1680297705,147
1680297706,193
1680297707,190
1680297708,192
1680297709,191
1680297710,190
1680297711,189
1680297712,190
1680297713,191
1680297714,191
1680297715,190
1680297716,184
1680297717,190
1680297718,190
1680297719,187
1680297720,185
1680297721,184
1680297722,188
1680297723,189
1680297724,190
1680297725,190
1680297726,189
1680297727,189
1680297728,189
1680297729,190
1680297730,255
1680297731,256
1680297732,252
1680297733,193
1680297734,157
1680297735,140
1680297736,142
1680297737,141
1680297738,140
1680297739,142
1680297740,142
1680297741,150
1680297742,159
1680297743,168
1680297744,176
1680297745,185
1680297746,188
1680297747,190
1680297748,194
1680297749,194
1680297750,195
1680297751,196
1680297752,196
1680297753,197
1680297754,198
1680297755,198
1680297756,195
1680297757,196
1680297758,232
1680297759,255
1680297760,255
1680297761,255
1680297762,253
1680297763,229
1680297764,116
1680297765,145
1680297766,144
1680297767,143
1680297768,142
1680297769,141
1680297770,139
1680297771,132
1680297772,133
1680297773,132
1680297774,133
1680297775,134
1680297776,136
1680297777,137
1680297778,135
1680297779,137
1680297780,135
1680297781,134
1680297782,135
1680297783,132
1680297784,138
1680297785,140
1680297786,143
1680297787,144
1680297788,162
1680297789,255
1680297790,254
1680297791,255
1680297792,255
1680297793,255
1680297794,254
1680297795,230
1680297796,171
1680297797,199
1680297798,197
1680297799,201
1680297800,200
1680297801,200
1680297802,201
1680297803,200
1680297804,201
1680297805,199
1680297806,201
1680297807,200
1680297808,198
1680297809,203
1680297810,203
1680297811,207
1680297812,205
1680297813,201
1680297814,184
1680297815,177
1680297816,173
1680297817,173
1680297818,170
1680297819,171
1680297820,177
1680297821,179
1680297822,181
1680297823,179
1680297824,182
1680297825,181
1680297826,184
1680297827,181
1680297828,182
1680297829,190
1680297830,185
1680297831,196
1680297832,198
1680297833,195
1680297834,190
1680297835,195
1680297836,203
1680297837,205
1680297838,196
1680297839,201
1680297840,203
1680297841,200
1680297842,198
1680297843,193
1680297844,187
1680297845,180
1680297846,186
1680297847,190
1680297848,183
1680297849,187
1680297850,188
1680297851,188
1680297852,175
1680297853,186
1680297854,189
1680297855,189
1680297856,195
1680297857,186
1680297858,186
1680297859,190
1680297860,184
1680297861,190
1680297862,189
1680297863,195
1680297864,193
1680297865,186
1680297866,195
1680297867,191
1680297868,192
1680297869,195
1680297870,195
1680297871,196
1680297872,194
1680297873,193
1680297874,202
1680297875,204
1680297876,199
1680297877,200
1680297878,191
1680297879,188
1680297880,180
1680297881,181
1680297882,184
1680297883,187
1680297884,184
1680297885,190
1680297886,194
1680297887,192
1680297888,184
1680297889,188
1680297890,188
1680297891,191
1680297892,186
1680297893,198
1680297894,199
1680297895,196
1680297896,196
1680297897,199
1680297898,196
1680297899,184
1680297900,195
1680297901,193
1680297902,185
1680297903,180
1680297904,172
1680297905,178
1680297906,179
1680297907,179
1680297908,174
1680297909,170
1680297910,176
1680297911,169
1680297912,173
1680297913,170
1680297914,174
1680297915,177
1680297916,179
1680297917,176
1680297918,175
1680297919,173
1680297920,170
1680297921,169
1680297922,171
1680297923,161
1680297924,160
1680297925,165
1680297926,168
1680297927,179
1680297928,183
1680297929,184
1680297930,186
1680297931,169
1680297932,169
1680297933,167
1680297934,170
1680297935,167
1680297936,92
