time,FPS
1680034581,13
1680034582,47
1680034583,34
1680034584,34
1680034585,47
1680034586,41
1680034587,49
1680034588,45
1680034589,43
1680034590,44
1680034591,43
1680034592,42
1680034593,45
1680034594,44
1680034595,41
1680034596,49
1680034597,43
1680034598,42
1680034599,40
1680034600,43
1680034601,42
1680034602,39
1680034603,43
1680034604,46
1680034605,45
1680034606,39
1680034607,44
1680034608,44
1680034609,44
1680034610,44
1680034611,44
1680034612,42
1680034613,41
1680034614,43
1680034615,43
1680034616,42
1680034617,42
1680034618,47
1680034619,46
1680034620,42
1680034621,39
1680034622,42
1680034623,43
1680034624,41
1680034625,44
1680034626,47
1680034627,54
1680034628,54
1680034629,52
1680034630,53
1680034631,53
1680034632,53
1680034633,54
1680034634,54
1680034635,53
1680034636,45
1680034637,46
1680034638,45
1680034639,41
1680034640,44
1680034641,42
1680034642,45
1680034643,49
1680034644,46
1680034645,41
1680034646,43
1680034647,43
1680034648,44
1680034649,43
1680034650,43
1680034651,43
1680034652,47
1680034653,42
1680034654,42
1680034655,43
1680034656,44
1680034657,48
1680034658,43
1680034659,45
1680034660,41
1680034661,41
1680034662,48
1680034663,45
1680034664,48
1680034665,42
1680034666,45
1680034667,44
1680034668,41
1680034669,43
1680034670,45
1680034671,43
1680034672,44
1680034673,45
1680034674,45
1680034675,43
1680034676,45
1680034677,42
1680034678,46
1680034679,43
1680034680,45
1680034681,43
1680034682,42
1680034683,44
1680034684,180
1680034685,250
1680034686,250
1680034687,254
1680034688,227
1680034689,155
1680034690,191
1680034691,191
1680034692,191
1680034693,190
1680034694,189
1680034695,183
1680034696,181
1680034697,173
1680034698,161
1680034699,181
1680034700,179
1680034701,179
1680034702,182
1680034703,183
1680034704,183
1680034705,181
1680034706,185
1680034707,185
1680034708,185
1680034709,181
1680034710,187
1680034711,189
1680034712,187
1680034713,196
1680034714,255
1680034715,255
1680034716,256
1680034717,255
1680034718,175
1680034719,207
1680034720,182
1680034721,199
1680034722,176
1680034723,174
1680034724,219
1680034725,220
1680034726,196
1680034727,219
1680034728,220
1680034729,208
1680034730,172
1680034731,201
1680034732,221
1680034733,196
1680034734,219
1680034735,155
1680034736,199
1680034737,199
1680034738,178
1680034739,220
1680034740,222
1680034741,221
1680034742,221
1680034743,197
1680034744,250
1680034745,255
1680034746,255
1680034747,253
1680034748,182
1680034749,176
1680034750,155
1680034751,154
1680034752,173
1680034753,177
1680034754,179
1680034755,181
1680034756,186
1680034757,195
1680034758,200
1680034759,203
1680034760,200
1680034761,214
1680034762,217
1680034763,209
1680034764,217
1680034765,217
1680034766,219
1680034767,218
1680034768,220
1680034769,221
1680034770,222
1680034771,223
1680034772,221
1680034773,243
1680034774,249
1680034775,252
1680034776,255
1680034777,255
1680034778,256
1680034779,254
1680034780,130
1680034781,176
1680034782,172
1680034783,169
1680034784,171
1680034785,165
1680034786,161
1680034787,155
1680034788,153
1680034789,153
1680034790,155
1680034791,158
1680034792,162
1680034793,162
1680034794,160
1680034795,165
1680034796,166
1680034797,166
1680034798,166
1680034799,162
1680034800,171
1680034801,174
1680034802,177
1680034803,176
1680034804,175
1680034805,255
1680034806,246
1680034807,255
1680034808,256
1680034809,255
1680034810,256
1680034811,252
1680034812,176
1680034813,214
1680034814,216
1680034815,214
1680034816,210
1680034817,209
1680034818,212
1680034819,215
1680034820,214
1680034821,212
1680034822,212
1680034823,213
1680034824,213
1680034825,215
1680034826,223
1680034827,225
1680034828,223
1680034829,212
1680034830,216
1680034831,204
1680034832,202
1680034833,205
1680034834,200
1680034835,193
1680034836,195
1680034837,196
1680034838,202
1680034839,204
1680034840,200
1680034841,200
1680034842,203
1680034843,203
1680034844,202
1680034845,204
1680034846,211
1680034847,210
1680034848,220
1680034849,220
1680034850,222
1680034851,216
1680034852,222
1680034853,224
1680034854,226
1680034855,223
1680034856,224
1680034857,224
1680034858,221
1680034859,221
1680034860,217
1680034861,217
1680034862,220
1680034863,213
1680034864,219
1680034865,219
1680034866,218
1680034867,221
1680034868,217
1680034869,215
1680034870,222
1680034871,221
1680034872,226
1680034873,221
1680034874,216
1680034875,212
1680034876,219
1680034877,217
1680034878,222
1680034879,226
1680034880,224
1680034881,220
1680034882,233
1680034883,226
1680034884,229
1680034885,230
1680034886,229
1680034887,227
1680034888,231
1680034889,227
1680034890,228
1680034891,228
1680034892,231
1680034893,233
1680034894,223
1680034895,223
1680034896,221
1680034897,221
1680034898,221
1680034899,220
1680034900,223
1680034901,222
1680034902,225
1680034903,225
1680034904,220
1680034905,216
1680034906,221
1680034907,221
1680034908,218
1680034909,225
1680034910,237
1680034911,234
1680034912,234
1680034913,233
1680034914,229
1680034915,228
1680034916,219
1680034917,212
1680034918,213
1680034919,217
1680034920,220
1680034921,217
1680034922,212
1680034923,214
1680034924,212
1680034925,209
1680034926,212
1680034927,210
1680034928,203
1680034929,214
1680034930,212
1680034931,204
1680034932,211
1680034933,202
1680034934,201
1680034935,204
1680034936,200
1680034937,182
1680034938,196
1680034939,195
1680034940,197
1680034941,199
1680034942,203
1680034943,210
1680034944,202
1680034945,201
1680034946,207
1680034947,204
1680034948,206
1680034949,17
