time,FPS
1680386278,18
1680386279,46
1680386280,28
1680386281,46
1680386282,51
1680386283,51
1680386284,50
1680386285,50
1680386286,52
1680386287,51
1680386288,52
1680386289,51
1680386290,50
1680386291,46
1680386292,44
1680386293,42
1680386294,41
1680386295,44
1680386296,42
1680386297,42
1680386298,46
1680386299,49
1680386300,45
1680386301,57
1680386302,54
1680386303,50
1680386304,51
1680386305,53
1680386306,53
1680386307,51
1680386308,52
1680386309,51
1680386310,50
1680386311,54
1680386312,52
1680386313,54
1680386314,51
1680386315,52
1680386316,52
1680386317,54
1680386318,51
1680386319,52
1680386320,55
1680386321,50
1680386322,51
1680386323,59
1680386324,59
1680386325,55
1680386326,59
1680386327,58
1680386328,58
1680386329,58
1680386330,56
1680386331,52
1680386332,39
1680386333,41
1680386334,42
1680386335,40
1680386336,39
1680386337,46
1680386338,41
1680386339,43
1680386340,44
1680386341,43
1680386342,44
1680386343,44
1680386344,46
1680386345,47
1680386346,48
1680386347,46
1680386348,48
1680386349,45
1680386350,49
1680386351,48
1680386352,45
1680386353,51
1680386354,49
1680386355,48
1680386356,47
1680386357,49
1680386358,48
1680386359,47
1680386360,49
1680386361,49
1680386362,45
1680386363,46
1680386364,51
1680386365,50
1680386366,49
1680386367,47
1680386368,51
1680386369,48
1680386370,54
1680386371,49
1680386372,50
1680386373,46
1680386374,45
1680386375,47
1680386376,49
1680386377,49
1680386378,47
1680386379,48
1680386380,211
1680386381,253
1680386382,255
1680386383,255
1680386384,135
1680386385,95
1680386386,96
1680386387,96
1680386388,96
1680386389,94
1680386390,95
1680386391,97
1680386392,99
1680386393,99
1680386394,99
1680386395,99
1680386396,99
1680386397,99
1680386398,100
1680386399,100
1680386400,100
1680386401,101
1680386402,101
1680386403,99
1680386404,99
1680386405,101
1680386406,99
1680386407,98
1680386408,101
1680386409,196
1680386410,252
1680386411,256
1680386412,255
1680386413,104
1680386414,132
1680386415,132
1680386416,130
1680386417,129
1680386418,130
1680386419,130
1680386420,130
1680386421,130
1680386422,129
1680386423,128
1680386424,122
1680386425,124
1680386426,127
1680386427,123
1680386428,122
1680386429,124
1680386430,125
1680386431,126
1680386432,127
1680386433,126
1680386434,125
1680386435,126
1680386436,127
1680386437,127
1680386438,247
1680386439,255
1680386440,256
1680386441,147
1680386442,125
1680386443,128
1680386444,126
1680386445,125
1680386446,126
1680386447,123
1680386448,123
1680386449,125
1680386450,126
1680386451,127
1680386452,130
1680386453,133
1680386454,135
1680386455,136
1680386456,138
1680386457,137
1680386458,138
1680386459,138
1680386460,138
1680386461,139
1680386462,140
1680386463,140
1680386464,141
1680386465,141
1680386466,215
1680386467,255
1680386468,255
1680386469,255
1680386470,240
1680386471,255
1680386472,172
1680386473,108
1680386474,117
1680386475,116
1680386476,113
1680386477,113
1680386478,113
1680386479,111
1680386480,111
1680386481,111
1680386482,111
1680386483,114
1680386484,115
1680386485,114
1680386486,117
1680386487,117
1680386488,117
1680386489,118
1680386490,118
1680386491,119
1680386492,117
1680386493,118
1680386494,120
1680386495,119
1680386496,120
1680386497,162
1680386498,255
1680386499,255
1680386500,255
1680386501,255
1680386502,254
1680386503,255
1680386504,157
1680386505,134
1680386506,133
1680386507,134
1680386508,134
1680386509,132
1680386510,137
1680386511,136
1680386512,135
1680386513,135
1680386514,135
1680386515,136
1680386516,135
1680386517,135
1680386518,135
1680386519,135
1680386520,139
1680386521,145
1680386522,147
1680386523,149
1680386524,132
1680386525,130
1680386526,136
1680386527,127
1680386528,124
1680386529,125
1680386530,128
1680386531,130
1680386532,126
1680386533,121
1680386534,121
1680386535,122
1680386536,122
1680386537,123
1680386538,126
1680386539,124
1680386540,127
1680386541,129
1680386542,130
1680386543,126
1680386544,128
1680386545,131
1680386546,134
1680386547,137
1680386548,136
1680386549,139
1680386550,139
1680386551,131
1680386552,130
1680386553,124
1680386554,124
1680386555,127
1680386556,127
1680386557,127
1680386558,126
1680386559,126
1680386560,126
1680386561,126
1680386562,124
1680386563,126
1680386564,127
1680386565,130
1680386566,128
1680386567,122
1680386568,123
1680386569,122
1680386570,122
1680386571,126
1680386572,127
1680386573,127
1680386574,124
1680386575,128
1680386576,129
1680386577,126
1680386578,126
1680386579,126
1680386580,128
1680386581,129
1680386582,125
1680386583,126
1680386584,123
1680386585,126
1680386586,128
1680386587,130
1680386588,124
1680386589,123
1680386590,121
1680386591,119
1680386592,119
1680386593,120
1680386594,122
1680386595,122
1680386596,126
1680386597,125
1680386598,121
1680386599,117
1680386600,118
1680386601,119
1680386602,121
1680386603,127
1680386604,133
1680386605,128
1680386606,124
1680386607,125
1680386608,125
1680386609,124
1680386610,122
1680386611,117
1680386612,116
1680386613,118
1680386614,119
1680386615,117
1680386616,114
1680386617,115
1680386618,115
1680386619,114
1680386620,113
1680386621,111
1680386622,113
1680386623,116
1680386624,120
1680386625,117
1680386626,117
1680386627,114
1680386628,112
1680386629,113
1680386630,114
1680386631,110
1680386632,110
1680386633,111
1680386634,117
1680386635,121
1680386636,126
1680386637,126
1680386638,127
1680386639,116
1680386640,115
1680386641,115
1680386642,116
1680386643,116
1680386644,90
