time,FPS
1676332152,11
1676332153,48
1676332154,27
1676332155,47
1676332156,43
1676332157,45
1676332158,44
1676332159,48
1676332160,42
1676332161,43
1676332162,45
1676332163,42
1676332164,41
1676332165,46
1676332166,46
1676332167,44
1676332168,47
1676332169,41
1676332170,45
1676332171,42
1676332172,44
1676332173,47
1676332174,45
1676332175,49
1676332176,48
1676332177,43
1676332178,42
1676332179,45
1676332180,42
1676332181,42
1676332182,48
1676332183,45
1676332184,45
1676332185,41
1676332186,44
1676332187,44
1676332188,47
1676332189,41
1676332190,44
1676332191,42
1676332192,42
1676332193,41
1676332194,45
1676332195,47
1676332196,42
1676332197,46
1676332198,53
1676332199,55
1676332200,55
1676332201,53
1676332202,53
1676332203,54
1676332204,54
1676332205,54
1676332206,54
1676332207,43
1676332208,46
1676332209,45
1676332210,44
1676332211,47
1676332212,40
1676332213,42
1676332214,44
1676332215,40
1676332216,41
1676332217,45
1676332218,44
1676332219,48
1676332220,50
1676332221,47
1676332222,49
1676332223,50
1676332224,45
1676332225,44
1676332226,46
1676332227,47
1676332228,45
1676332229,47
1676332230,45
1676332231,45
1676332232,44
1676332233,49
1676332234,48
1676332235,43
1676332236,46
1676332237,47
1676332238,47
1676332239,49
1676332240,41
1676332241,45
1676332242,48
1676332243,45
1676332244,43
1676332245,40
1676332246,43
1676332247,46
1676332248,47
1676332249,44
1676332250,48
1676332251,39
1676332252,44
1676332253,45
1676332254,47
1676332255,89
1676332256,254
1676332257,253
1676332258,252
1676332259,221
1676332260,105
1676332261,125
1676332262,128
1676332263,130
1676332264,130
1676332265,131
1676332266,126
1676332267,130
1676332268,129
1676332269,128
1676332270,128
1676332271,126
1676332272,124
1676332273,127
1676332274,128
1676332275,128
1676332276,129
1676332277,130
1676332278,129
1676332279,126
1676332280,127
1676332281,132
1676332282,132
1676332283,133
1676332284,156
1676332285,255
1676332286,256
1676332287,256
1676332288,255
1676332289,116
1676332290,158
1676332291,153
1676332292,154
1676332293,155
1676332294,154
1676332295,153
1676332296,153
1676332297,155
1676332298,152
1676332299,154
1676332300,153
1676332301,154
1676332302,155
1676332303,152
1676332304,152
1676332305,152
1676332306,154
1676332307,154
1676332308,155
1676332309,156
1676332310,156
1676332311,157
1676332312,158
1676332313,159
1676332314,249
1676332315,255
1676332316,256
1676332317,158
1676332318,140
1676332319,137
1676332320,136
1676332321,135
1676332322,135
1676332323,135
1676332324,134
1676332325,134
1676332326,137
1676332327,138
1676332328,141
1676332329,145
1676332330,150
1676332331,151
1676332332,152
1676332333,153
1676332334,153
1676332335,150
1676332336,153
1676332337,154
1676332338,156
1676332339,156
1676332340,157
1676332341,156
1676332342,218
1676332343,256
1676332344,255
1676332345,255
1676332346,255
1676332347,254
1676332348,127
1676332349,128
1676332350,132
1676332351,129
1676332352,128
1676332353,129
1676332354,126
1676332355,123
1676332356,122
1676332357,123
1676332358,123
1676332359,124
1676332360,126
1676332361,126
1676332362,126
1676332363,126
1676332364,128
1676332365,127
1676332366,125
1676332367,125
1676332368,128
1676332369,129
1676332370,127
1676332371,130
1676332372,129
1676332373,223
1676332374,255
1676332375,252
1676332376,256
1676332377,255
1676332378,256
1676332379,228
1676332380,134
1676332381,158
1676332382,159
1676332383,158
1676332384,158
1676332385,160
1676332386,159
1676332387,162
1676332388,158
1676332389,162
1676332390,161
1676332391,161
1676332392,159
1676332393,158
1676332394,164
1676332395,166
1676332396,171
1676332397,174
1676332398,170
1676332399,154
1676332400,156
1676332401,160
1676332402,150
1676332403,146
1676332404,147
1676332405,151
1676332406,153
1676332407,150
1676332408,144
1676332409,143
1676332410,146
1676332411,146
1676332412,147
1676332413,151
1676332414,149
1676332415,156
1676332416,159
1676332417,154
1676332418,151
1676332419,153
1676332420,158
1676332421,161
1676332422,160
1676332423,161
1676332424,164
1676332425,159
1676332426,156
1676332427,153
1676332428,145
1676332429,150
1676332430,150
1676332431,151
1676332432,149
1676332433,152
1676332434,156
1676332435,153
1676332436,155
1676332437,154
1676332438,154
1676332439,162
1676332440,154
1676332441,155
1676332442,146
1676332443,149
1676332444,148
1676332445,148
1676332446,155
1676332447,153
1676332448,155
1676332449,153
1676332450,161
1676332451,160
1676332452,158
1676332453,158
1676332454,158
1676332455,160
1676332456,160
1676332457,157
1676332458,157
1676332459,157
1676332460,158
1676332461,162
1676332462,155
1676332463,148
1676332464,146
1676332465,145
1676332466,145
1676332467,144
1676332468,145
1676332469,147
1676332470,149
1676332471,151
1676332472,151
1676332473,146
1676332474,146
1676332475,148
1676332476,148
1676332477,149
1676332478,165
1676332479,164
1676332480,160
1676332481,160
1676332482,159
1676332483,157
1676332484,157
1676332485,148
1676332486,142
1676332487,141
1676332488,143
1676332489,144
1676332490,143
1676332491,141
1676332492,139
1676332493,139
1676332494,138
1676332495,138
1676332496,137
1676332497,138
1676332498,141
1676332499,143
1676332500,138
1676332501,140
1676332502,135
1676332503,131
1676332504,132
1676332505,132
1676332506,131
1676332507,133
1676332508,132
1676332509,135
1676332510,137
1676332511,142
1676332512,143
1676332513,145
1676332514,137
1676332515,139
1676332516,143
1676332517,145
1676332518,144
1676332519,145
1676332520,67
