time,FPS
1678739693,39
1678739694,42
1678739695,25
1678739696,49
1678739697,45
1678739698,42
1678739699,44
1678739700,46
1678739701,47
1678739702,49
1678739703,44
1678739704,47
1678739705,45
1678739706,46
1678739707,42
1678739708,44
1678739709,43
1678739710,43
1678739711,45
1678739712,45
1678739713,45
1678739714,41
1678739715,49
1678739716,53
1678739717,53
1678739718,55
1678739719,51
1678739720,52
1678739721,52
1678739722,54
1678739723,54
1678739724,53
1678739725,51
1678739726,51
1678739727,50
1678739728,53
1678739729,53
1678739730,49
1678739731,52
1678739732,51
1678739733,49
1678739734,50
1678739735,50
1678739736,49
1678739737,49
1678739738,45
1678739739,57
1678739740,58
1678739741,57
1678739742,55
1678739743,56
1678739744,58
1678739745,56
1678739746,58
1678739747,57
1678739748,42
1678739749,39
1678739750,40
1678739751,40
1678739752,40
1678739753,42
1678739754,45
1678739755,39
1678739756,40
1678739757,42
1678739758,41
1678739759,42
1678739760,47
1678739761,52
1678739762,46
1678739763,45
1678739764,46
1678739765,44
1678739766,41
1678739767,47
1678739768,45
1678739769,45
1678739770,53
1678739771,49
1678739772,52
1678739773,50
1678739774,46
1678739775,49
1678739776,45
1678739777,46
1678739778,48
1678739779,45
1678739780,46
1678739781,49
1678739782,51
1678739783,48
1678739784,46
1678739785,52
1678739786,49
1678739787,42
1678739788,42
1678739789,44
1678739790,41
1678739791,45
1678739792,45
1678739793,48
1678739794,48
1678739795,48
1678739796,85
1678739797,144
1678739798,144
1678739799,144
1678739800,117
1678739801,121
1678739802,119
1678739803,126
1678739804,126
1678739805,125
1678739806,126
1678739807,125
1678739808,126
1678739809,118
1678739810,123
1678739811,125
1678739812,125
1678739813,123
1678739814,124
1678739815,124
1678739816,124
1678739817,124
1678739818,126
1678739819,125
1678739820,121
1678739821,126
1678739822,127
1678739823,128
1678739824,128
1678739825,134
1678739826,144
1678739827,144
1678739828,144
1678739829,109
1678739830,140
1678739831,144
1678739832,144
1678739833,144
1678739834,145
1678739835,143
1678739836,143
1678739837,145
1678739838,144
1678739839,144
1678739840,144
1678739841,143
1678739842,145
1678739843,143
1678739844,145
1678739845,143
1678739846,145
1678739847,144
1678739848,144
1678739849,143
1678739850,145
1678739851,144
1678739852,143
1678739853,145
1678739854,142
1678739855,144
1678739856,144
1678739857,120
1678739858,135
1678739859,132
1678739860,132
1678739861,130
1678739862,131
1678739863,128
1678739864,130
1678739865,129
1678739866,132
1678739867,133
1678739868,136
1678739869,140
1678739870,144
1678739871,144
1678739872,144
1678739873,144
1678739874,144
1678739875,144
1678739876,144
1678739877,144
1678739878,143
1678739879,144
1678739880,144
1678739881,145
1678739882,140
1678739883,144
1678739884,144
1678739885,144
1678739886,143
1678739887,144
1678739888,139
1678739889,103
1678739890,128
1678739891,128
1678739892,128
1678739893,127
1678739894,126
1678739895,122
1678739896,122
1678739897,121
1678739898,121
1678739899,124
1678739900,124
1678739901,124
1678739902,124
1678739903,126
1678739904,125
1678739905,126
1678739906,126
1678739907,126
1678739908,125
1678739909,126
1678739910,127
1678739911,127
1678739912,126
1678739913,128
1678739914,144
1678739915,143
1678739916,144
1678739917,145
1678739918,143
1678739919,143
1678739920,123
1678739921,143
1678739922,144
1678739923,145
1678739924,143
1678739925,145
1678739926,144
1678739927,144
1678739928,144
1678739929,144
1678739930,144
1678739931,143
1678739932,145
1678739933,144
1678739934,144
1678739935,144
1678739936,144
1678739937,144
1678739938,143
1678739939,145
1678739940,143
1678739941,144
1678739942,145
1678739943,143
1678739944,144
1678739945,144
1678739946,144
1678739947,144
1678739948,143
1678739949,143
1678739950,140
1678739951,141
1678739952,144
1678739953,145
1678739954,144
1678739955,144
1678739956,144
1678739957,143
1678739958,145
1678739959,144
1678739960,144
1678739961,144
1678739962,144
1678739963,144
1678739964,144
1678739965,144
1678739966,144
1678739967,144
1678739968,144
1678739969,144
1678739970,144
1678739971,144
1678739972,144
1678739973,144
1678739974,144
1678739975,144
1678739976,144
1678739977,143
1678739978,145
1678739979,144
1678739980,144
1678739981,144
1678739982,142
1678739983,142
1678739984,142
1678739985,143
1678739986,144
1678739987,144
1678739988,144
1678739989,144
1678739990,144
1678739991,144
1678739992,144
1678739993,144
1678739994,144
1678739995,144
1678739996,144
1678739997,144
1678739998,144
1678739999,144
1678740000,144
1678740001,144
1678740002,144
1678740003,144
1678740004,144
1678740005,144
1678740006,141
1678740007,144
1678740008,143
1678740009,145
1678740010,143
1678740011,144
1678740012,144
1678740013,144
1678740014,143
1678740015,144
1678740016,144
1678740017,145
1678740018,144
1678740019,143
1678740020,144
1678740021,144
1678740022,143
1678740023,144
1678740024,144
1678740025,144
1678740026,139
1678740027,139
1678740028,141
1678740029,145
1678740030,143
1678740031,139
1678740032,139
1678740033,139
1678740034,138
1678740035,137
1678740036,135
1678740037,138
1678740038,138
1678740039,142
1678740040,137
1678740041,138
1678740042,136
1678740043,131
1678740044,131
1678740045,133
1678740046,124
1678740047,127
1678740048,126
1678740049,132
1678740050,133
1678740051,137
1678740052,138
1678740053,139
1678740054,131
1678740055,135
1678740056,134
1678740057,134
1678740058,136
1678740059,135
1678740060,136
1678740061,9
