time,FPS
1676077890,29
1676077891,46
1676077892,26
1676077893,50
1676077894,43
1676077895,45
1676077896,41
1676077897,45
1676077898,44
1676077899,45
1676077900,41
1676077901,44
1676077902,43
1676077903,44
1676077904,44
1676077905,41
1676077906,38
1676077907,41
1676077908,44
1676077909,41
1676077910,40
1676077911,44
1676077912,49
1676077913,52
1676077914,51
1676077915,50
1676077916,50
1676077917,53
1676077918,52
1676077919,48
1676077920,52
1676077921,52
1676077922,51
1676077923,49
1676077924,54
1676077925,52
1676077926,53
1676077927,51
1676077928,50
1676077929,51
1676077930,52
1676077931,53
1676077932,51
1676077933,52
1676077934,51
1676077935,53
1676077936,59
1676077937,59
1676077938,55
1676077939,58
1676077940,58
1676077941,58
1676077942,57
1676077943,57
1676077944,51
1676077945,41
1676077946,40
1676077947,40
1676077948,40
1676077949,40
1676077950,44
1676077951,44
1676077952,42
1676077953,41
1676077954,45
1676077955,43
1676077956,45
1676077957,48
1676077958,47
1676077959,47
1676077960,48
1676077961,46
1676077962,48
1676077963,45
1676077964,47
1676077965,49
1676077966,54
1676077967,53
1676077968,48
1676077969,48
1676077970,47
1676077971,49
1676077972,48
1676077973,54
1676077974,43
1676077975,47
1676077976,51
1676077977,48
1676077978,47
1676077979,44
1676077980,50
1676077981,48
1676077982,47
1676077983,45
1676077984,48
1676077985,46
1676077986,47
1676077987,46
1676077988,51
1676077989,46
1676077990,48
1676077991,44
1676077992,44
1676077993,206
1676077994,251
1676077995,250
1676077996,255
1676077997,127
1676077998,122
1676077999,127
1676078000,129
1676078001,129
1676078002,130
1676078003,128
1676078004,126
1676078005,131
1676078006,129
1676078007,128
1676078008,128
1676078009,128
1676078010,127
1676078011,127
1676078012,126
1676078013,124
1676078014,128
1676078015,129
1676078016,129
1676078017,130
1676078018,129
1676078019,127
1676078020,130
1676078021,131
1676078022,236
1676078023,255
1676078024,255
1676078025,227
1676078026,115
1676078027,156
1676078028,150
1676078029,153
1676078030,153
1676078031,151
1676078032,152
1676078033,152
1676078034,150
1676078035,152
1676078036,150
1676078037,148
1676078038,152
1676078039,151
1676078040,148
1676078041,149
1676078042,149
1676078043,150
1676078044,151
1676078045,150
1676078046,150
1676078047,152
1676078048,152
1676078049,155
1676078050,171
1676078051,256
1676078052,254
1676078053,256
1676078054,141
1676078055,140
1676078056,136
1676078057,136
1676078058,137
1676078059,137
1676078060,135
1676078061,136
1676078062,137
1676078063,139
1676078064,141
1676078065,145
1676078066,149
1676078067,153
1676078068,155
1676078069,156
1676078070,156
1676078071,157
1676078072,157
1676078073,159
1676078074,159
1676078075,160
1676078076,161
1676078077,161
1676078078,161
1676078079,236
1676078080,256
1676078081,254
1676078082,255
1676078083,255
1676078084,256
1676078085,126
1676078086,129
1676078087,132
1676078088,133
1676078089,131
1676078090,130
1676078091,129
1676078092,127
1676078093,124
1676078094,125
1676078095,127
1676078096,128
1676078097,127
1676078098,129
1676078099,129
1676078100,129
1676078101,129
1676078102,130
1676078103,128
1676078104,129
1676078105,129
1676078106,130
1676078107,132
1676078108,132
1676078109,130
1676078110,223
1676078111,255
1676078112,254
1676078113,255
1676078114,255
1676078115,255
1676078116,254
1676078117,139
1676078118,159
1676078119,160
1676078120,160
1676078121,157
1676078122,159
1676078123,163
1676078124,163
1676078125,163
1676078126,164
1676078127,163
1676078128,164
1676078129,159
1676078130,160
1676078131,163
1676078132,166
1676078133,172
1676078134,175
1676078135,173
1676078136,157
1676078137,155
1676078138,164
1676078139,152
1676078140,149
1676078141,149
1676078142,156
1676078143,155
1676078144,153
1676078145,146
1676078146,146
1676078147,146
1676078148,148
1676078149,148
1676078150,151
1676078151,149
1676078152,151
1676078153,154
1676078154,158
1676078155,152
1676078156,153
1676078157,156
1676078158,163
1676078159,164
1676078160,163
1676078161,164
1676078162,160
1676078163,155
1676078164,155
1676078165,148
1676078166,148
1676078167,154
1676078168,151
1676078169,153
1676078170,155
1676078171,155
1676078172,152
1676078173,153
1676078174,153
1676078175,155
1676078176,157
1676078177,155
1676078178,156
1676078179,148
1676078180,148
1676078181,146
1676078182,148
1676078183,152
1676078184,154
1676078185,153
1676078186,152
1676078187,158
1676078188,161
1676078189,160
1676078190,157
1676078191,158
1676078192,159
1676078193,161
1676078194,159
1676078195,157
1676078196,155
1676078197,157
1676078198,161
1676078199,160
1676078200,153
1676078201,148
1676078202,148
1676078203,147
1676078204,147
1676078205,148
1676078206,150
1676078207,152
1676078208,153
1676078209,154
1676078210,150
1676078211,147
1676078212,148
1676078213,149
1676078214,150
1676078215,161
1676078216,166
1676078217,160
1676078218,154
1676078219,158
1676078220,156
1676078221,155
1676078222,151
1676078223,144
1676078224,143
1676078225,145
1676078226,149
1676078227,146
1676078228,145
1676078229,143
1676078230,143
1676078231,141
1676078232,141
1676078233,139
1676078234,141
1676078235,143
1676078236,146
1676078237,141
1676078238,142
1676078239,139
1676078240,134
1676078241,133
1676078242,135
1676078243,127
1676078244,128
1676078245,131
1676078246,132
1676078247,135
1676078248,139
1676078249,140
1676078250,140
1676078251,135
1676078252,137
1676078253,139
1676078254,139
1676078255,140
1676078256,140
1676078257,96
