time,FPS
1676326325,7
1676326326,44
1676326327,38
1676326328,38
1676326329,46
1676326330,46
1676326331,47
1676326332,46
1676326333,45
1676326334,50
1676326335,47
1676326336,43
1676326337,45
1676326338,47
1676326339,44
1676326340,43
1676326341,44
1676326342,49
1676326343,43
1676326344,46
1676326345,41
1676326346,41
1676326347,46
1676326348,51
1676326349,53
1676326350,52
1676326351,51
1676326352,52
1676326353,52
1676326354,50
1676326355,54
1676326356,53
1676326357,52
1676326358,54
1676326359,52
1676326360,50
1676326361,50
1676326362,53
1676326363,51
1676326364,49
1676326365,51
1676326366,53
1676326367,52
1676326368,52
1676326369,51
1676326370,54
1676326371,54
1676326372,59
1676326373,59
1676326374,56
1676326375,58
1676326376,58
1676326377,58
1676326378,57
1676326379,58
1676326380,42
1676326381,42
1676326382,39
1676326383,43
1676326384,44
1676326385,46
1676326386,44
1676326387,43
1676326388,42
1676326389,42
1676326390,41
1676326391,45
1676326392,42
1676326393,44
1676326394,43
1676326395,44
1676326396,43
1676326397,45
1676326398,45
1676326399,46
1676326400,48
1676326401,45
1676326402,44
1676326403,47
1676326404,45
1676326405,49
1676326406,46
1676326407,47
1676326408,44
1676326409,47
1676326410,46
1676326411,45
1676326412,45
1676326413,47
1676326414,48
1676326415,47
1676326416,45
1676326417,46
1676326418,45
1676326419,51
1676326420,46
1676326421,47
1676326422,47
1676326423,46
1676326424,47
1676326425,45
1676326426,48
1676326427,51
1676326428,95
1676326429,248
1676326430,252
1676326431,254
1676326432,204
1676326433,105
1676326434,115
1676326435,121
1676326436,121
1676326437,122
1676326438,121
1676326439,119
1676326440,122
1676326441,122
1676326442,121
1676326443,120
1676326444,119
1676326445,119
1676326446,117
1676326447,116
1676326448,118
1676326449,114
1676326450,116
1676326451,119
1676326452,120
1676326453,120
1676326454,121
1676326455,121
1676326456,121
1676326457,150
1676326458,256
1676326459,254
1676326460,254
1676326461,144
1676326462,147
1676326463,151
1676326464,149
1676326465,153
1676326466,153
1676326467,152
1676326468,153
1676326469,153
1676326470,152
1676326471,153
1676326472,150
1676326473,150
1676326474,153
1676326475,149
1676326476,146
1676326477,148
1676326478,144
1676326479,150
1676326480,151
1676326481,152
1676326482,153
1676326483,153
1676326484,153
1676326485,155
1676326486,224
1676326487,255
1676326488,256
1676326489,217
1676326490,140
1676326491,138
1676326492,139
1676326493,137
1676326494,136
1676326495,136
1676326496,135
1676326497,138
1676326498,138
1676326499,141
1676326500,143
1676326501,148
1676326502,152
1676326503,155
1676326504,157
1676326505,157
1676326506,158
1676326507,159
1676326508,158
1676326509,161
1676326510,160
1676326511,162
1676326512,162
1676326513,162
1676326514,184
1676326515,254
1676326516,255
1676326517,254
1676326518,256
1676326519,255
1676326520,255
1676326521,104
1676326522,131
1676326523,132
1676326524,131
1676326525,131
1676326526,129
1676326527,126
1676326528,124
1676326529,123
1676326530,122
1676326531,124
1676326532,124
1676326533,126
1676326534,126
1676326535,125
1676326536,125
1676326537,126
1676326538,126
1676326539,126
1676326540,125
1676326541,127
1676326542,127
1676326543,128
1676326544,128
1676326545,125
1676326546,240
1676326547,255
1676326548,255
1676326549,256
1676326550,255
1676326551,255
1676326552,253
1676326553,145
1676326554,159
1676326555,160
1676326556,161
1676326557,161
1676326558,160
1676326559,158
1676326560,164
1676326561,163
1676326562,162
1676326563,159
1676326564,164
1676326565,159
1676326566,158
1676326567,160
1676326568,165
1676326569,169
1676326570,174
1676326571,175
1676326572,160
1676326573,154
1676326574,162
1676326575,153
1676326576,148
1676326577,145
1676326578,154
1676326579,158
1676326580,156
1676326581,148
1676326582,146
1676326583,143
1676326584,147
1676326585,149
1676326586,149
1676326587,151
1676326588,151
1676326589,158
1676326590,159
1676326591,151
1676326592,154
1676326593,155
1676326594,161
1676326595,166
1676326596,161
1676326597,164
1676326598,163
1676326599,158
1676326600,152
1676326601,149
1676326602,148
1676326603,153
1676326604,153
1676326605,155
1676326606,153
1676326607,156
1676326608,154
1676326609,155
1676326610,154
1676326611,155
1676326612,162
1676326613,161
1676326614,161
1676326615,156
1676326616,150
1676326617,151
1676326618,150
1676326619,152
1676326620,155
1676326621,156
1676326622,154
1676326623,153
1676326624,159
1676326625,157
1676326626,155
1676326627,157
1676326628,156
1676326629,158
1676326630,154
1676326631,158
1676326632,156
1676326633,163
1676326634,157
1676326635,154
1676326636,151
1676326637,146
1676326638,144
1676326639,145
1676326640,148
1676326641,148
1676326642,151
1676326643,150
1676326644,148
1676326645,143
1676326646,144
1676326647,146
1676326648,147
1676326649,148
1676326650,166
1676326651,158
1676326652,159
1676326653,159
1676326654,158
1676326655,157
1676326656,151
1676326657,143
1676326658,142
1676326659,145
1676326660,148
1676326661,147
1676326662,144
1676326663,145
1676326664,144
1676326665,143
1676326666,143
1676326667,141
1676326668,142
1676326669,145
1676326670,148
1676326671,141
1676326672,142
1676326673,140
1676326674,135
1676326675,134
1676326676,136
1676326677,126
1676326678,128
1676326679,133
1676326680,135
1676326681,139
1676326682,142
1676326683,142
1676326684,144
1676326685,135
1676326686,140
1676326687,136
1676326688,142
1676326689,142
1676326690,142
1676326691,143
1676326692,142
1676326693,16
