time,FPS
1675128202,12
1675128203,44
1675128204,25
1675128205,51
1675128206,48
1675128207,48
1675128208,47
1675128209,49
1675128210,53
1675128211,41
1675128212,47
1675128213,40
1675128214,46
1675128215,49
1675128216,44
1675128217,44
1675128218,45
1675128219,47
1675128220,40
1675128221,45
1675128222,42
1675128223,46
1675128224,44
1675128225,48
1675128226,50
1675128227,52
1675128228,51
1675128229,46
1675128230,45
1675128231,45
1675128232,43
1675128233,47
1675128234,46
1675128235,48
1675128236,48
1675128237,43
1675128238,42
1675128239,41
1675128240,44
1675128241,43
1675128242,47
1675128243,47
1675128244,44
1675128245,46
1675128246,42
1675128247,44
1675128248,46
1675128249,54
1675128250,55
1675128251,55
1675128252,52
1675128253,54
1675128254,52
1675128255,53
1675128256,52
1675128257,54
1675128258,47
1675128259,45
1675128260,42
1675128261,44
1675128262,44
1675128263,38
1675128264,43
1675128265,41
1675128266,46
1675128267,42
1675128268,45
1675128269,43
1675128270,45
1675128271,43
1675128272,47
1675128273,48
1675128274,41
1675128275,46
1675128276,45
1675128277,44
1675128278,41
1675128279,44
1675128280,42
1675128281,43
1675128282,42
1675128283,43
1675128284,47
1675128285,44
1675128286,42
1675128287,42
1675128288,44
1675128289,43
1675128290,42
1675128291,40
1675128292,41
1675128293,43
1675128294,46
1675128295,42
1675128296,45
1675128297,44
1675128298,42
1675128299,41
1675128300,42
1675128301,40
1675128302,44
1675128303,44
1675128304,44
1675128305,45
1675128306,104
1675128307,252
1675128308,253
1675128309,254
1675128310,231
1675128311,111
1675128312,125
1675128313,127
1675128314,131
1675128315,131
1675128316,131
1675128317,126
1675128318,130
1675128319,131
1675128320,130
1675128321,130
1675128322,129
1675128323,128
1675128324,128
1675128325,128
1675128326,128
1675128327,126
1675128328,127
1675128329,130
1675128330,130
1675128331,131
1675128332,132
1675128333,131
1675128334,132
1675128335,149
1675128336,256
1675128337,254
1675128338,256
1675128339,178
1675128340,142
1675128341,154
1675128342,154
1675128343,154
1675128344,154
1675128345,153
1675128346,153
1675128347,154
1675128348,154
1675128349,153
1675128350,152
1675128351,151
1675128352,155
1675128353,152
1675128354,150
1675128355,151
1675128356,152
1675128357,154
1675128358,154
1675128359,153
1675128360,155
1675128361,156
1675128362,159
1675128363,160
1675128364,198
1675128365,256
1675128366,255
1675128367,256
1675128368,130
1675128369,138
1675128370,138
1675128371,138
1675128372,134
1675128373,136
1675128374,135
1675128375,134
1675128376,135
1675128377,138
1675128378,139
1675128379,143
1675128380,146
1675128381,150
1675128382,151
1675128383,151
1675128384,153
1675128385,153
1675128386,154
1675128387,155
1675128388,156
1675128389,156
1675128390,156
1675128391,157
1675128392,157
1675128393,254
1675128394,255
1675128395,254
1675128396,256
1675128397,254
1675128398,254
1675128399,97
1675128400,130
1675128401,134
1675128402,132
1675128403,131
1675128404,129
1675128405,127
1675128406,124
1675128407,123
1675128408,124
1675128409,124
1675128410,126
1675128411,122
1675128412,127
1675128413,127
1675128414,124
1675128415,127
1675128416,128
1675128417,128
1675128418,126
1675128419,128
1675128420,127
1675128421,129
1675128422,129
1675128423,129
1675128424,254
1675128425,255
1675128426,248
1675128427,255
1675128428,256
1675128429,254
1675128430,251
1675128431,182
1675128432,158
1675128433,159
1675128434,159
1675128435,160
1675128436,158
1675128437,163
1675128438,161
1675128439,160
1675128440,163
1675128441,163
1675128442,160
1675128443,162
1675128444,157
1675128445,161
1675128446,167
1675128447,168
1675128448,173
1675128449,175
1675128450,164
1675128451,148
1675128452,157
1675128453,157
1675128454,147
1675128455,143
1675128456,150
1675128457,148
1675128458,154
1675128459,148
1675128460,145
1675128461,147
1675128462,146
1675128463,149
1675128464,147
1675128465,152
1675128466,148
1675128467,158
1675128468,159
1675128469,157
1675128470,154
1675128471,151
1675128472,161
1675128473,165
1675128474,165
1675128475,160
1675128476,164
1675128477,157
1675128478,155
1675128479,150
1675128480,146
1675128481,152
1675128482,152
1675128483,154
1675128484,152
1675128485,157
1675128486,154
1675128487,150
1675128488,153
1675128489,152
1675128490,157
1675128491,159
1675128492,157
1675128493,154
1675128494,148
1675128495,151
1675128496,149
1675128497,153
1675128498,156
1675128499,155
1675128500,156
1675128501,155
1675128502,163
1675128503,162
1675128504,158
1675128505,158
1675128506,159
1675128507,159
1675128508,157
1675128509,160
1675128510,158
1675128511,167
1675128512,161
1675128513,156
1675128514,152
1675128515,147
1675128516,144
1675128517,145
1675128518,147
1675128519,147
1675128520,148
1675128521,151
1675128522,147
1675128523,145
1675128524,146
1675128525,147
1675128526,148
1675128527,150
1675128528,166
1675128529,161
1675128530,161
1675128531,161
1675128532,160
1675128533,158
1675128534,152
1675128535,143
1675128536,141
1675128537,142
1675128538,146
1675128539,146
1675128540,143
1675128541,142
1675128542,142
1675128543,141
1675128544,141
1675128545,136
1675128546,139
1675128547,142
1675128548,145
1675128549,141
1675128550,141
1675128551,139
1675128552,132
1675128553,134
1675128554,135
1675128555,127
1675128556,129
1675128557,129
1675128558,134
1675128559,135
1675128560,141
1675128561,144
1675128562,146
1675128563,138
1675128564,143
1675128565,140
1675128566,144
1675128567,145
1675128568,145
1675128569,145
1675128570,140
1675128571,84
