time,FPS
1675978582,19
1675978583,47
1675978584,33
1675978585,44
1675978586,49
1675978587,43
1675978588,44
1675978589,45
1675978590,46
1675978591,52
1675978592,47
1675978593,45
1675978594,45
1675978595,45
1675978596,39
1675978597,44
1675978598,43
1675978599,46
1675978600,40
1675978601,42
1675978602,41
1675978603,44
1675978604,40
1675978605,48
1675978606,48
1675978607,47
1675978608,49
1675978609,46
1675978610,47
1675978611,47
1675978612,48
1675978613,52
1675978614,46
1675978615,46
1675978616,46
1675978617,47
1675978618,46
1675978619,45
1675978620,49
1675978621,47
1675978622,49
1675978623,49
1675978624,45
1675978625,43
1675978626,48
1675978627,57
1675978628,57
1675978629,55
1675978630,55
1675978631,57
1675978632,56
1675978633,55
1675978634,55
1675978635,54
1675978636,45
1675978637,47
1675978638,45
1675978639,41
1675978640,45
1675978641,41
1675978642,44
1675978643,42
1675978644,45
1675978645,45
1675978646,46
1675978647,49
1675978648,47
1675978649,45
1675978650,50
1675978651,48
1675978652,45
1675978653,46
1675978654,48
1675978655,43
1675978656,49
1675978657,45
1675978658,44
1675978659,48
1675978660,48
1675978661,51
1675978662,49
1675978663,51
1675978664,44
1675978665,41
1675978666,45
1675978667,46
1675978668,49
1675978669,44
1675978670,47
1675978671,47
1675978672,48
1675978673,45
1675978674,48
1675978675,49
1675978676,46
1675978677,51
1675978678,47
1675978679,45
1675978680,45
1675978681,47
1675978682,43
1675978683,46
1675978684,182
1675978685,255
1675978686,253
1675978687,255
1675978688,166
1675978689,125
1675978690,122
1675978691,123
1675978692,125
1675978693,127
1675978694,129
1675978695,129
1675978696,124
1675978697,126
1675978698,125
1675978699,126
1675978700,126
1675978701,126
1675978702,126
1675978703,129
1675978704,128
1675978705,128
1675978706,131
1675978707,131
1675978708,124
1675978709,127
1675978710,131
1675978711,128
1675978712,130
1675978713,190
1675978714,256
1675978715,255
1675978716,256
1675978717,144
1675978718,150
1675978719,156
1675978720,152
1675978721,155
1675978722,152
1675978723,155
1675978724,157
1675978725,151
1675978726,153
1675978727,149
1675978728,154
1675978729,152
1675978730,155
1675978731,148
1675978732,153
1675978733,153
1675978734,154
1675978735,155
1675978736,154
1675978737,154
1675978738,152
1675978739,151
1675978740,156
1675978741,153
1675978742,220
1675978743,255
1675978744,256
1675978745,225
1675978746,127
1675978747,136
1675978748,135
1675978749,136
1675978750,135
1675978751,134
1675978752,133
1675978753,133
1675978754,134
1675978755,134
1675978756,138
1675978757,142
1675978758,145
1675978759,148
1675978760,149
1675978761,150
1675978762,151
1675978763,152
1675978764,152
1675978765,154
1675978766,154
1675978767,155
1675978768,156
1675978769,154
1675978770,172
1675978771,256
1675978772,255
1675978773,256
1675978774,256
1675978775,255
1675978776,192
1675978777,123
1675978778,132
1675978779,133
1675978780,129
1675978781,131
1675978782,130
1675978783,123
1675978784,123
1675978785,122
1675978786,123
1675978787,125
1675978788,125
1675978789,125
1675978790,127
1675978791,125
1675978792,126
1675978793,127
1675978794,127
1675978795,127
1675978796,127
1675978797,127
1675978798,129
1675978799,127
1675978800,128
1675978801,163
1675978802,256
1675978803,255
1675978804,256
1675978805,254
1675978806,255
1675978807,255
1675978808,159
1675978809,161
1675978810,161
1675978811,158
1675978812,158
1675978813,162
1675978814,161
1675978815,163
1675978816,164
1675978817,160
1675978818,163
1675978819,164
1675978820,163
1675978821,161
1675978822,161
1675978823,160
1675978824,167
1675978825,173
1675978826,175
1675978827,171
1675978828,154
1675978829,154
1675978830,161
1675978831,151
1675978832,145
1675978833,146
1675978834,156
1675978835,155
1675978836,150
1675978837,146
1675978838,145
1675978839,147
1675978840,148
1675978841,147
1675978842,151
1675978843,148
1675978844,156
1675978845,159
1675978846,158
1675978847,152
1675978848,152
1675978849,160
1675978850,165
1675978851,166
1675978852,159
1675978853,166
1675978854,159
1675978855,156
1675978856,152
1675978857,147
1675978858,151
1675978859,152
1675978860,153
1675978861,152
1675978862,152
1675978863,158
1675978864,155
1675978865,157
1675978866,154
1675978867,158
1675978868,163
1675978869,158
1675978870,157
1675978871,149
1675978872,152
1675978873,149
1675978874,152
1675978875,154
1675978876,155
1675978877,154
1675978878,154
1675978879,162
1675978880,160
1675978881,159
1675978882,155
1675978883,159
1675978884,161
1675978885,158
1675978886,165
1675978887,163
1675978888,163
1675978889,161
1675978890,154
1675978891,150
1675978892,147
1675978893,142
1675978894,145
1675978895,148
1675978896,147
1675978897,149
1675978898,151
1675978899,149
1675978900,145
1675978901,146
1675978902,148
1675978903,147
1675978904,150
1675978905,166
1675978906,161
1675978907,161
1675978908,158
1675978909,159
1675978910,157
1675978911,153
1675978912,145
1675978913,142
1675978914,143
1675978915,145
1675978916,143
1675978917,140
1675978918,140
1675978919,141
1675978920,141
1675978921,140
1675978922,140
1675978923,139
1675978924,141
1675978925,144
1675978926,141
1675978927,140
1675978928,139
1675978929,133
1675978930,132
1675978931,134
1675978932,129
1675978933,133
1675978934,131
1675978935,135
1675978936,136
1675978937,141
1675978938,143
1675978939,145
1675978940,141
1675978941,141
1675978942,141
1675978943,140
1675978944,142
1675978945,143
1675978946,145
1675978947,145
1675978948,140
1675978949,1
