time,FPS
1680297171,31
1680297172,42
1680297173,28
1680297174,50
1680297175,51
1680297176,55
1680297177,53
1680297178,52
1680297179,49
1680297180,51
1680297181,53
1680297182,51
1680297183,49
1680297184,49
1680297185,45
1680297186,43
1680297187,48
1680297188,47
1680297189,46
1680297190,49
1680297191,47
1680297192,43
1680297193,52
1680297194,51
1680297195,54
1680297196,51
1680297197,52
1680297198,51
1680297199,53
1680297200,52
1680297201,53
1680297202,53
1680297203,51
1680297204,51
1680297205,52
1680297206,54
1680297207,50
1680297208,53
1680297209,54
1680297210,52
1680297211,53
1680297212,53
1680297213,50
1680297214,52
1680297215,58
1680297216,58
1680297217,56
1680297218,57
1680297219,56
1680297220,57
1680297221,57
1680297222,56
1680297223,52
1680297224,45
1680297225,40
1680297226,42
1680297227,41
1680297228,47
1680297229,44
1680297230,44
1680297231,48
1680297232,47
1680297233,46
1680297234,47
1680297235,43
1680297236,45
1680297237,45
1680297238,46
1680297239,46
1680297240,46
1680297241,51
1680297242,49
1680297243,50
1680297244,46
1680297245,48
1680297246,47
1680297247,51
1680297248,49
1680297249,49
1680297250,49
1680297251,49
1680297252,47
1680297253,47
1680297254,49
1680297255,47
1680297256,51
1680297257,47
1680297258,49
1680297259,42
1680297260,47
1680297261,52
1680297262,50
1680297263,49
1680297264,42
1680297265,52
1680297266,51
1680297267,50
1680297268,49
1680297269,49
1680297270,46
1680297271,45
1680297272,237
1680297273,255
1680297274,248
1680297275,254
1680297276,135
1680297277,145
1680297278,148
1680297279,149
1680297280,151
1680297281,154
1680297282,155
1680297283,153
1680297284,151
1680297285,152
1680297286,153
1680297287,150
1680297288,153
1680297289,154
1680297290,152
1680297291,160
1680297292,160
1680297293,156
1680297294,159
1680297295,159
1680297296,157
1680297297,160
1680297298,161
1680297299,157
1680297300,160
1680297301,247
1680297302,256
1680297303,254
1680297304,216
1680297305,180
1680297306,191
1680297307,193
1680297308,193
1680297309,189
1680297310,186
1680297311,189
1680297312,189
1680297313,189
1680297314,191
1680297315,188
1680297316,184
1680297317,187
1680297318,188
1680297319,187
1680297320,182
1680297321,187
1680297322,189
1680297323,182
1680297324,189
1680297325,190
1680297326,189
1680297327,186
1680297328,190
1680297329,209
1680297330,256
1680297331,255
1680297332,255
1680297333,177
1680297334,150
1680297335,140
1680297336,141
1680297337,139
1680297338,141
1680297339,139
1680297340,142
1680297341,148
1680297342,157
1680297343,168
1680297344,174
1680297345,186
1680297346,190
1680297347,191
1680297348,191
1680297349,195
1680297350,195
1680297351,194
1680297352,196
1680297353,197
1680297354,198
1680297355,198
1680297356,198
1680297357,198
1680297358,243
1680297359,255
1680297360,252
1680297361,256
1680297362,255
1680297363,256
1680297364,179
1680297365,138
1680297366,146
1680297367,145
1680297368,144
1680297369,143
1680297370,143
1680297371,139
1680297372,135
1680297373,133
1680297374,133
1680297375,137
1680297376,136
1680297377,140
1680297378,139
1680297379,138
1680297380,140
1680297381,139
1680297382,140
1680297383,138
1680297384,139
1680297385,142
1680297386,144
1680297387,148
1680297388,146
1680297389,200
1680297390,255
1680297391,255
1680297392,256
1680297393,254
1680297394,255
1680297395,254
1680297396,177
1680297397,200
1680297398,198
1680297399,201
1680297400,200
1680297401,200
1680297402,202
1680297403,202
1680297404,201
1680297405,201
1680297406,202
1680297407,201
1680297408,199
1680297409,203
1680297410,202
1680297411,207
1680297412,206
1680297413,205
1680297414,195
1680297415,181
1680297416,178
1680297417,180
1680297418,167
1680297419,173
1680297420,174
1680297421,182
1680297422,184
1680297423,187
1680297424,183
1680297425,181
1680297426,183
1680297427,183
1680297428,177
1680297429,184
1680297430,189
1680297431,186
1680297432,197
1680297433,196
1680297434,194
1680297435,193
1680297436,195
1680297437,203
1680297438,204
1680297439,187
1680297440,201
1680297441,202
1680297442,201
1680297443,197
1680297444,192
1680297445,186
1680297446,191
1680297447,184
1680297448,190
1680297449,182
1680297450,179
1680297451,190
1680297452,186
1680297453,186
1680297454,179
1680297455,186
1680297456,195
1680297457,195
1680297458,185
1680297459,186
1680297460,190
1680297461,189
1680297462,191
1680297463,194
1680297464,196
1680297465,194
1680297466,183
1680297467,191
1680297468,194
1680297469,194
1680297470,195
1680297471,198
1680297472,196
1680297473,195
1680297474,199
1680297475,198
1680297476,204
1680297477,197
1680297478,196
1680297479,200
1680297480,196
1680297481,196
1680297482,199
1680297483,200
1680297484,198
1680297485,199
1680297486,195
1680297487,191
1680297488,183
1680297489,180
1680297490,180
1680297491,182
1680297492,178
1680297493,189
1680297494,194
1680297495,193
1680297496,189
1680297497,195
1680297498,190
1680297499,183
1680297500,180
1680297501,175
1680297502,176
1680297503,180
1680297504,179
1680297505,172
1680297506,173
1680297507,176
1680297508,171
1680297509,171
1680297510,172
1680297511,173
1680297512,178
1680297513,177
1680297514,168
1680297515,174
1680297516,169
1680297517,167
1680297518,168
1680297519,168
1680297520,163
1680297521,164
1680297522,165
1680297523,168
1680297524,176
1680297525,179
1680297526,179
1680297527,177
1680297528,165
1680297529,168
1680297530,173
1680297531,170
1680297532,168
1680297533,168
1680297534,172
1680297535,175
1680297536,120
