time,FPS
1677203240,8
1677203241,43
1677203242,23
1677203243,51
1677203244,43
1677203245,48
1677203246,42
1677203247,41
1677203248,44
1677203249,47
1677203250,48
1677203251,49
1677203252,45
1677203253,44
1677203254,45
1677203255,45
1677203256,41
1677203257,40
1677203258,44
1677203259,47
1677203260,42
1677203261,44
1677203262,48
1677203263,51
1677203264,48
1677203265,51
1677203266,48
1677203267,45
1677203268,46
1677203269,47
1677203270,44
1677203271,44
1677203272,45
1677203273,45
1677203274,49
1677203275,45
1677203276,50
1677203277,46
1677203278,48
1677203279,49
1677203280,51
1677203281,47
1677203282,46
1677203283,46
1677203284,49
1677203285,49
1677203286,57
1677203287,57
1677203288,54
1677203289,57
1677203290,57
1677203291,57
1677203292,55
1677203293,55
1677203294,57
1677203295,46
1677203296,41
1677203297,41
1677203298,43
1677203299,42
1677203300,42
1677203301,45
1677203302,45
1677203303,45
1677203304,45
1677203305,47
1677203306,44
1677203307,45
1677203308,47
1677203309,50
1677203310,48
1677203311,45
1677203312,46
1677203313,40
1677203314,47
1677203315,43
1677203316,48
1677203317,40
1677203318,45
1677203319,44
1677203320,47
1677203321,51
1677203322,47
1677203323,50
1677203324,42
1677203325,48
1677203326,46
1677203327,45
1677203328,44
1677203329,43
1677203330,45
1677203331,42
1677203332,46
1677203333,44
1677203334,48
1677203335,47
1677203336,47
1677203337,48
1677203338,49
1677203339,49
1677203340,46
1677203341,43
1677203342,44
1677203343,188
1677203344,251
1677203345,249
1677203346,256
1677203347,148
1677203348,124
1677203349,128
1677203350,130
1677203351,130
1677203352,130
1677203353,127
1677203354,124
1677203355,128
1677203356,126
1677203357,126
1677203358,126
1677203359,126
1677203360,127
1677203361,126
1677203362,126
1677203363,127
1677203364,124
1677203365,128
1677203366,129
1677203367,129
1677203368,130
1677203369,129
1677203370,130
1677203371,131
1677203372,210
1677203373,255
1677203374,255
1677203375,256
1677203376,112
1677203377,159
1677203378,155
1677203379,158
1677203380,157
1677203381,157
1677203382,156
1677203383,158
1677203384,157
1677203385,157
1677203386,157
1677203387,154
1677203388,156
1677203389,156
1677203390,156
1677203391,152
1677203392,155
1677203393,157
1677203394,158
1677203395,159
1677203396,159
1677203397,160
1677203398,160
1677203399,161
1677203400,161
1677203401,253
1677203402,255
1677203403,256
1677203404,175
1677203405,142
1677203406,135
1677203407,135
1677203408,135
1677203409,134
1677203410,133
1677203411,133
1677203412,133
1677203413,136
1677203414,137
1677203415,139
1677203416,144
1677203417,148
1677203418,150
1677203419,151
1677203420,152
1677203421,151
1677203422,153
1677203423,153
1677203424,154
1677203425,156
1677203426,156
1677203427,157
1677203428,157
1677203429,209
1677203430,255
1677203431,255
1677203432,255
1677203433,255
1677203434,256
1677203435,132
1677203436,128
1677203437,132
1677203438,128
1677203439,128
1677203440,127
1677203441,125
1677203442,123
1677203443,122
1677203444,124
1677203445,125
1677203446,127
1677203447,126
1677203448,126
1677203449,126
1677203450,128
1677203451,128
1677203452,127
1677203453,130
1677203454,127
1677203455,129
1677203456,128
1677203457,130
1677203458,129
1677203459,130
1677203460,211
1677203461,255
1677203462,256
1677203463,254
1677203464,252
1677203465,253
1677203466,255
1677203467,126
1677203468,160
1677203469,160
1677203470,160
1677203471,159
1677203472,161
1677203473,162
1677203474,163
1677203475,161
1677203476,162
1677203477,162
1677203478,163
1677203479,159
1677203480,160
1677203481,159
1677203482,166
1677203483,170
1677203484,173
1677203485,176
1677203486,161
1677203487,152
1677203488,160
1677203489,154
1677203490,147
1677203491,145
1677203492,151
1677203493,155
1677203494,156
1677203495,146
1677203496,146
1677203497,145
1677203498,149
1677203499,148
1677203500,149
1677203501,151
1677203502,150
1677203503,160
1677203504,158
1677203505,153
1677203506,154
1677203507,152
1677203508,162
1677203509,165
1677203510,163
1677203511,165
1677203512,165
1677203513,158
1677203514,156
1677203515,149
1677203516,147
1677203517,153
1677203518,151
1677203519,153
1677203520,152
1677203521,154
1677203522,151
1677203523,153
1677203524,155
1677203525,156
1677203526,163
1677203527,159
1677203528,160
1677203529,154
1677203530,149
1677203531,151
1677203532,151
1677203533,154
1677203534,155
1677203535,156
1677203536,153
1677203537,155
1677203538,163
1677203539,160
1677203540,160
1677203541,158
1677203542,159
1677203543,158
1677203544,158
1677203545,160
1677203546,162
1677203547,170
1677203548,161
1677203549,156
1677203550,151
1677203551,146
1677203552,145
1677203553,146
1677203554,148
1677203555,149
1677203556,150
1677203557,150
1677203558,147
1677203559,146
1677203560,146
1677203561,148
1677203562,147
1677203563,148
1677203564,160
1677203565,167
1677203566,165
1677203567,163
1677203568,164
1677203569,162
1677203570,148
1677203571,144
1677203572,143
1677203573,147
1677203574,147
1677203575,145
1677203576,143
1677203577,140
1677203578,141
1677203579,139
1677203580,138
1677203581,139
1677203582,141
1677203583,143
1677203584,143
1677203585,140
1677203586,142
1677203587,136
1677203588,132
1677203589,133
1677203590,134
1677203591,132
1677203592,134
1677203593,134
1677203594,136
1677203595,140
1677203596,143
1677203597,146
1677203598,147
1677203599,137
1677203600,141
1677203601,142
1677203602,144
1677203603,143
1677203604,143
1677203605,144
1677203606,143
1677203607,144
1677203608,18
