time,FPS
1678225293,11
1678225294,44
1678225295,22
1678225296,52
1678225297,52
1678225298,53
1678225299,50
1678225300,51
1678225301,52
1678225302,54
1678225303,52
1678225304,53
1678225305,52
1678225306,45
1678225307,43
1678225308,41
1678225309,44
1678225310,43
1678225311,47
1678225312,45
1678225313,45
1678225314,42
1678225315,47
1678225316,44
1678225317,47
1678225318,46
1678225319,52
1678225320,50
1678225321,45
1678225322,45
1678225323,46
1678225324,47
1678225325,43
1678225326,45
1678225327,47
1678225328,47
1678225329,45
1678225330,46
1678225331,45
1678225332,44
1678225333,49
1678225334,48
1678225335,47
1678225336,46
1678225337,45
1678225338,43
1678225339,57
1678225340,57
1678225341,57
1678225342,54
1678225343,57
1678225344,56
1678225345,57
1678225346,55
1678225347,58
1678225348,44
1678225349,41
1678225350,42
1678225351,43
1678225352,45
1678225353,44
1678225354,46
1678225355,46
1678225356,44
1678225357,44
1678225358,45
1678225359,42
1678225360,45
1678225361,49
1678225362,46
1678225363,46
1678225364,50
1678225365,41
1678225366,46
1678225367,48
1678225368,51
1678225369,46
1678225370,47
1678225371,43
1678225372,42
1678225373,44
1678225374,45
1678225375,42
1678225376,46
1678225377,47
1678225378,46
1678225379,48
1678225380,46
1678225381,46
1678225382,45
1678225383,45
1678225384,43
1678225385,46
1678225386,48
1678225387,47
1678225388,44
1678225389,44
1678225390,44
1678225391,44
1678225392,43
1678225393,45
1678225394,40
1678225395,44
1678225396,120
1678225397,256
1678225398,255
1678225399,256
1678225400,179
1678225401,113
1678225402,113
1678225403,116
1678225404,117
1678225405,117
1678225406,120
1678225407,116
1678225408,121
1678225409,122
1678225410,121
1678225411,120
1678225412,120
1678225413,122
1678225414,123
1678225415,124
1678225416,121
1678225417,126
1678225418,121
1678225419,126
1678225420,126
1678225421,126
1678225422,127
1678225423,126
1678225424,126
1678225425,177
1678225426,256
1678225427,254
1678225428,256
1678225429,149
1678225430,141
1678225431,142
1678225432,141
1678225433,141
1678225434,141
1678225435,142
1678225436,142
1678225437,143
1678225438,142
1678225439,141
1678225440,132
1678225441,136
1678225442,138
1678225443,132
1678225444,131
1678225445,132
1678225446,135
1678225447,136
1678225448,137
1678225449,137
1678225450,135
1678225451,137
1678225452,138
1678225453,139
1678225454,216
1678225455,256
1678225456,255
1678225457,219
1678225458,136
1678225459,142
1678225460,140
1678225461,142
1678225462,141
1678225463,141
1678225464,141
1678225465,140
1678225466,142
1678225467,141
1678225468,145
1678225469,147
1678225470,148
1678225471,150
1678225472,151
1678225473,150
1678225474,151
1678225475,152
1678225476,150
1678225477,150
1678225478,152
1678225479,153
1678225480,152
1678225481,153
1678225482,176
1678225483,256
1678225484,255
1678225485,253
1678225486,256
1678225487,255
1678225488,146
1678225489,120
1678225490,124
1678225491,125
1678225492,123
1678225493,123
1678225494,119
1678225495,119
1678225496,119
1678225497,118
1678225498,116
1678225499,121
1678225500,119
1678225501,120
1678225502,119
1678225503,123
1678225504,124
1678225505,124
1678225506,125
1678225507,123
1678225508,122
1678225509,124
1678225510,126
1678225511,125
1678225512,124
1678225513,212
1678225514,255
1678225515,252
1678225516,255
1678225517,256
1678225518,255
1678225519,235
1678225520,134
1678225521,142
1678225522,142
1678225523,143
1678225524,141
1678225525,144
1678225526,144
1678225527,142
1678225528,144
1678225529,144
1678225530,145
1678225531,144
1678225532,144
1678225533,144
1678225534,144
1678225535,146
1678225536,153
1678225537,154
1678225538,156
1678225539,144
1678225540,133
1678225541,139
1678225542,131
1678225543,132
1678225544,131
1678225545,134
1678225546,131
1678225547,133
1678225548,126
1678225549,126
1678225550,124
1678225551,126
1678225552,128
1678225553,130
1678225554,131
1678225555,127
1678225556,133
1678225557,133
1678225558,132
1678225559,135
1678225560,136
1678225561,141
1678225562,136
1678225563,144
1678225564,143
1678225565,145
1678225566,140
1678225567,137
1678225568,131
1678225569,125
1678225570,130
1678225571,128
1678225572,132
1678225573,124
1678225574,130
1678225575,126
1678225576,129
1678225577,132
1678225578,129
1678225579,135
1678225580,135
1678225581,131
1678225582,126
1678225583,126
1678225584,127
1678225585,126
1678225586,130
1678225587,131
1678225588,132
1678225589,131
1678225590,128
1678225591,134
1678225592,132
1678225593,131
1678225594,133
1678225595,134
1678225596,135
1678225597,132
1678225598,135
1678225599,135
1678225600,138
1678225601,136
1678225602,134
1678225603,131
1678225604,130
1678225605,126
1678225606,125
1678225607,128
1678225608,129
1678225609,130
1678225610,131
1678225611,128
1678225612,123
1678225613,125
1678225614,126
1678225615,126
1678225616,131
1678225617,140
1678225618,136
1678225619,136
1678225620,134
1678225621,131
1678225622,128
1678225623,125
1678225624,124
1678225625,121
1678225626,123
1678225627,123
1678225628,120
1678225629,118
1678225630,119
1678225631,120
1678225632,119
1678225633,117
1678225634,116
1678225635,117
1678225636,120
1678225637,125
1678225638,123
1678225639,124
1678225640,119
1678225641,120
1678225642,120
1678225643,121
1678225644,119
1678225645,120
1678225646,120
1678225647,125
1678225648,132
1678225649,137
1678225650,137
1678225651,140
1678225652,122
1678225653,123
1678225654,122
1678225655,122
1678225656,125
1678225657,124
1678225658,125
1678225659,124
1678225660,95
