time,FPS
1674859471,46
1674859472,42
1674859473,31
1674859474,38
1674859475,49
1674859476,50
1674859477,54
1674859478,50
1674859479,48
1674859480,50
1674859481,49
1674859482,50
1674859483,49
1674859484,46
1674859485,46
1674859486,42
1674859487,41
1674859488,42
1674859489,42
1674859490,40
1674859491,41
1674859492,41
1674859493,42
1674859494,51
1674859495,52
1674859496,54
1674859497,51
1674859498,53
1674859499,53
1674859500,52
1674859501,51
1674859502,51
1674859503,54
1674859504,49
1674859505,52
1674859506,53
1674859507,51
1674859508,48
1674859509,57
1674859510,56
1674859511,56
1674859512,53
1674859513,57
1674859514,55
1674859515,54
1674859516,53
1674859517,54
1674859518,47
1674859519,45
1674859520,45
1674859521,43
1674859522,40
1674859523,45
1674859524,44
1674859525,43
1674859526,43
1674859527,46
1674859528,44
1674859529,47
1674859530,49
1674859531,52
1674859532,52
1674859533,57
1674859534,57
1674859535,58
1674859536,59
1674859537,55
1674859538,56
1674859539,53
1674859540,52
1674859541,58
1674859542,58
1674859543,57
1674859544,55
1674859545,56
1674859546,59
1674859547,56
1674859548,54
1674859549,48
1674859550,55
1674859551,56
1674859552,57
1674859553,57
1674859554,54
1674859555,57
1674859556,54
1674859557,57
1674859558,56
1674859559,54
1674859560,58
1674859561,59
1674859562,59
1674859563,58
1674859564,58
1674859565,56
1674859566,178
1674859567,250
1674859568,254
1674859569,251
1674859570,255
1674859571,107
1674859572,122
1674859573,125
1674859574,124
1674859575,126
1674859576,128
1674859577,125
1674859578,120
1674859579,121
1674859580,123
1674859581,125
1674859582,123
1674859583,124
1674859584,121
1674859585,124
1674859586,128
1674859587,128
1674859588,123
1674859589,130
1674859590,125
1674859591,126
1674859592,128
1674859593,127
1674859594,128
1674859595,126
1674859596,247
1674859597,255
1674859598,255
1674859599,254
1674859600,129
1674859601,152
1674859602,153
1674859603,155
1674859604,155
1674859605,154
1674859606,152
1674859607,152
1674859608,148
1674859609,151
1674859610,150
1674859611,150
1674859612,150
1674859613,154
1674859614,147
1674859615,148
1674859616,149
1674859617,150
1674859618,152
1674859619,150
1674859620,153
1674859621,155
1674859622,156
1674859623,156
1674859624,153
1674859625,234
1674859626,255
1674859627,256
1674859628,254
1674859629,161
1674859630,127
1674859631,119
1674859632,121
1674859633,119
1674859634,117
1674859635,119
1674859636,123
1674859637,124
1674859638,132
1674859639,137
1674859640,141
1674859641,145
1674859642,148
1674859643,152
1674859644,152
1674859645,153
1674859646,154
1674859647,155
1674859648,155
1674859649,157
1674859650,158
1674859651,158
1674859652,158
1674859653,157
1674859654,226
1674859655,255
1674859656,254
1674859657,254
1674859658,254
1674859659,256
1674859660,251
1674859661,253
1674859662,152
1674859663,106
1674859664,111
1674859665,110
1674859666,109
1674859667,108
1674859668,105
1674859669,105
1674859670,102
1674859671,101
1674859672,101
1674859673,104
1674859674,103
1674859675,106
1674859676,106
1674859677,110
1674859678,111
1674859679,109
1674859680,109
1674859681,108
1674859682,109
1674859683,112
1674859684,114
1674859685,115
1674859686,113
1674859687,179
1674859688,255
1674859689,254
1674859690,255
1674859691,255
1674859692,256
1674859693,253
1674859694,255
1674859695,254
1674859696,234
1674859697,130
1674859698,156
1674859699,155
1674859700,157
1674859701,157
1674859702,158
1674859703,161
1674859704,161
1674859705,163
1674859706,160
1674859707,160
1674859708,160
1674859709,159
1674859710,161
1674859711,162
1674859712,166
1674859713,165
1674859714,166
1674859715,157
1674859716,142
1674859717,137
1674859718,139
1674859719,137
1674859720,133
1674859721,134
1674859722,140
1674859723,145
1674859724,144
1674859725,141
1674859726,144
1674859727,147
1674859728,145
1674859729,145
1674859730,145
1674859731,150
1674859732,150
1674859733,156
1674859734,159
1674859735,156
1674859736,152
1674859737,155
1674859738,163
1674859739,164
1674859740,158
1674859741,159
1674859742,161
1674859743,156
1674859744,152
1674859745,148
1674859746,147
1674859747,153
1674859748,147
1674859749,153
1674859750,147
1674859751,151
1674859752,152
1674859753,150
1674859754,152
1674859755,146
1674859756,145
1674859757,154
1674859758,158
1674859759,150
1674859760,149
1674859761,150
1674859762,151
1674859763,154
1674859764,155
1674859765,156
1674859766,151
1674859767,152
1674859768,160
1674859769,158
1674859770,155
1674859771,155
1674859772,155
1674859773,158
1674859774,156
1674859775,155
1674859776,155
1674859777,159
1674859778,156
1674859779,158
1674859780,154
1674859781,153
1674859782,151
1674859783,147
1674859784,147
1674859785,150
1674859786,148
1674859787,147
1674859788,153
1674859789,151
1674859790,148
1674859791,146
1674859792,147
1674859793,148
1674859794,145
1674859795,154
1674859796,161
1674859797,156
1674859798,153
1674859799,156
1674859800,154
1674859801,153
1674859802,148
1674859803,144
1674859804,143
1674859805,148
1674859806,147
1674859807,147
1674859808,140
1674859809,143
1674859810,143
1674859811,140
1674859812,140
1674859813,140
1674859814,142
1674859815,144
1674859816,145
1674859817,140
1674859818,141
1674859819,133
1674859820,134
1674859821,134
1674859822,132
1674859823,131
1674859824,131
1674859825,130
1674859826,134
1674859827,137
1674859828,140
1674859829,137
1674859830,105
