time,FPS
1675716042,43
1675716043,44
1675716044,24
1675716045,54
1675716046,50
1675716047,50
1675716048,45
1675716049,52
1675716050,52
1675716051,49
1675716052,45
1675716053,50
1675716054,49
1675716055,43
1675716056,45
1675716057,44
1675716058,42
1675716059,44
1675716060,44
1675716061,46
1675716062,40
1675716063,44
1675716064,50
1675716065,53
1675716066,52
1675716067,53
1675716068,50
1675716069,53
1675716070,52
1675716071,53
1675716072,50
1675716073,50
1675716074,53
1675716075,52
1675716076,50
1675716077,51
1675716078,51
1675716079,51
1675716080,52
1675716081,52
1675716082,51
1675716083,56
1675716084,56
1675716085,54
1675716086,54
1675716087,56
1675716088,56
1675716089,54
1675716090,54
1675716091,51
1675716092,40
1675716093,44
1675716094,39
1675716095,44
1675716096,42
1675716097,42
1675716098,42
1675716099,46
1675716100,48
1675716101,43
1675716102,47
1675716103,45
1675716104,51
1675716105,53
1675716106,55
1675716107,52
1675716108,54
1675716109,53
1675716110,54
1675716111,57
1675716112,55
1675716113,57
1675716114,59
1675716115,56
1675716116,59
1675716117,53
1675716118,56
1675716119,54
1675716120,55
1675716121,54
1675716122,55
1675716123,53
1675716124,52
1675716125,55
1675716126,57
1675716127,56
1675716128,50
1675716129,55
1675716130,53
1675716131,49
1675716132,52
1675716133,56
1675716134,54
1675716135,54
1675716136,56
1675716137,59
1675716138,57
1675716139,57
1675716140,241
1675716141,253
1675716142,251
1675716143,254
1675716144,198
1675716145,110
1675716146,115
1675716147,121
1675716148,120
1675716149,118
1675716150,121
1675716151,118
1675716152,122
1675716153,122
1675716154,120
1675716155,122
1675716156,121
1675716157,119
1675716158,120
1675716159,118
1675716160,118
1675716161,118
1675716162,116
1675716163,118
1675716164,119
1675716165,118
1675716166,119
1675716167,117
1675716168,120
1675716169,159
1675716170,256
1675716171,255
1675716172,255
1675716173,231
1675716174,111
1675716175,153
1675716176,148
1675716177,149
1675716178,151
1675716179,149
1675716180,150
1675716181,148
1675716182,149
1675716183,150
1675716184,146
1675716185,148
1675716186,151
1675716187,151
1675716188,148
1675716189,149
1675716190,148
1675716191,150
1675716192,147
1675716193,151
1675716194,153
1675716195,153
1675716196,154
1675716197,155
1675716198,171
1675716199,255
1675716200,255
1675716201,254
1675716202,255
1675716203,127
1675716204,120
1675716205,119
1675716206,117
1675716207,118
1675716208,118
1675716209,119
1675716210,124
1675716211,125
1675716212,134
1675716213,137
1675716214,142
1675716215,145
1675716216,150
1675716217,151
1675716218,150
1675716219,149
1675716220,154
1675716221,152
1675716222,154
1675716223,155
1675716224,156
1675716225,157
1675716226,156
1675716227,157
1675716228,248
1675716229,255
1675716230,254
1675716231,254
1675716232,255
1675716233,256
1675716234,251
1675716235,253
1675716236,135
1675716237,109
1675716238,113
1675716239,110
1675716240,110
1675716241,108
1675716242,107
1675716243,104
1675716244,100
1675716245,101
1675716246,102
1675716247,103
1675716248,104
1675716249,104
1675716250,105
1675716251,104
1675716252,107
1675716253,107
1675716254,107
1675716255,105
1675716256,107
1675716257,110
1675716258,111
1675716259,113
1675716260,111
1675716261,198
1675716262,254
1675716263,255
1675716264,255
1675716265,254
1675716266,255
1675716267,255
1675716268,256
1675716269,254
1675716270,221
1675716271,152
1675716272,157
1675716273,158
1675716274,158
1675716275,158
1675716276,160
1675716277,162
1675716278,162
1675716279,162
1675716280,162
1675716281,163
1675716282,162
1675716283,161
1675716284,161
1675716285,163
1675716286,167
1675716287,168
1675716288,166
1675716289,160
1675716290,144
1675716291,141
1675716292,139
1675716293,138
1675716294,134
1675716295,135
1675716296,140
1675716297,144
1675716298,146
1675716299,143
1675716300,146
1675716301,147
1675716302,144
1675716303,148
1675716304,146
1675716305,151
1675716306,152
1675716307,159
1675716308,159
1675716309,154
1675716310,153
1675716311,156
1675716312,162
1675716313,165
1675716314,161
1675716315,161
1675716316,163
1675716317,157
1675716318,154
1675716319,147
1675716320,147
1675716321,153
1675716322,148
1675716323,150
1675716324,148
1675716325,153
1675716326,152
1675716327,150
1675716328,152
1675716329,149
1675716330,149
1675716331,154
1675716332,159
1675716333,150
1675716334,151
1675716335,148
1675716336,150
1675716337,151
1675716338,153
1675716339,150
1675716340,151
1675716341,154
1675716342,160
1675716343,157
1675716344,157
1675716345,157
1675716346,155
1675716347,158
1675716348,158
1675716349,158
1675716350,151
1675716351,154
1675716352,157
1675716353,158
1675716354,156
1675716355,152
1675716356,149
1675716357,143
1675716358,144
1675716359,143
1675716360,146
1675716361,145
1675716362,150
1675716363,150
1675716364,145
1675716365,145
1675716366,144
1675716367,147
1675716368,146
1675716369,150
1675716370,167
1675716371,159
1675716372,155
1675716373,155
1675716374,157
1675716375,155
1675716376,151
1675716377,143
1675716378,141
1675716379,144
1675716380,148
1675716381,146
1675716382,145
1675716383,144
1675716384,143
1675716385,142
1675716386,141
1675716387,140
1675716388,142
1675716389,141
1675716390,145
1675716391,142
1675716392,142
1675716393,139
1675716394,135
1675716395,134
1675716396,135
1675716397,128
1675716398,129
1675716399,133
1675716400,131
1675716401,136
1675716402,136
1675716403,138
1675716404,140
1675716405,8
