time,FPS
1680109664,49
1680109665,36
1680109666,32
1680109667,51
1680109668,53
1680109669,49
1680109670,54
1680109671,49
1680109672,52
1680109673,50
1680109674,51
1680109675,52
1680109676,48
1680109677,46
1680109678,42
1680109679,45
1680109680,51
1680109681,46
1680109682,46
1680109683,43
1680109684,46
1680109685,45
1680109686,50
1680109687,53
1680109688,53
1680109689,53
1680109690,55
1680109691,50
1680109692,52
1680109693,53
1680109694,53
1680109695,54
1680109696,50
1680109697,55
1680109698,53
1680109699,52
1680109700,53
1680109701,53
1680109702,53
1680109703,54
1680109704,53
1680109705,59
1680109706,59
1680109707,56
1680109708,58
1680109709,58
1680109710,58
1680109711,58
1680109712,57
1680109713,54
1680109714,45
1680109715,42
1680109716,40
1680109717,41
1680109718,45
1680109719,41
1680109720,41
1680109721,43
1680109722,45
1680109723,41
1680109724,45
1680109725,46
1680109726,47
1680109727,53
1680109728,46
1680109729,51
1680109730,48
1680109731,51
1680109732,50
1680109733,47
1680109734,47
1680109735,51
1680109736,49
1680109737,55
1680109738,45
1680109739,46
1680109740,48
1680109741,48
1680109742,51
1680109743,46
1680109744,46
1680109745,45
1680109746,47
1680109747,53
1680109748,48
1680109749,45
1680109750,47
1680109751,47
1680109752,49
1680109753,48
1680109754,42
1680109755,44
1680109756,43
1680109757,47
1680109758,50
1680109759,46
1680109760,47
1680109761,50
1680109762,208
1680109763,253
1680109764,250
1680109765,251
1680109766,134
1680109767,166
1680109768,163
1680109769,165
1680109770,163
1680109771,167
1680109772,164
1680109773,167
1680109774,165
1680109775,162
1680109776,161
1680109777,162
1680109778,163
1680109779,162
1680109780,164
1680109781,164
1680109782,167
1680109783,164
1680109784,168
1680109785,166
1680109786,164
1680109787,171
1680109788,170
1680109789,170
1680109790,170
1680109791,237
1680109792,253
1680109793,253
1680109794,255
1680109795,175
1680109796,189
1680109797,192
1680109798,192
1680109799,191
1680109800,190
1680109801,190
1680109802,190
1680109803,190
1680109804,191
1680109805,189
1680109806,186
1680109807,190
1680109808,191
1680109809,187
1680109810,187
1680109811,184
1680109812,188
1680109813,190
1680109814,191
1680109815,190
1680109816,190
1680109817,189
1680109818,190
1680109819,191
1680109820,235
1680109821,255
1680109822,256
1680109823,240
1680109824,155
1680109825,142
1680109826,141
1680109827,142
1680109828,140
1680109829,141
1680109830,142
1680109831,146
1680109832,152
1680109833,163
1680109834,170
1680109835,181
1680109836,187
1680109837,188
1680109838,189
1680109839,190
1680109840,191
1680109841,192
1680109842,192
1680109843,193
1680109844,194
1680109845,195
1680109846,194
1680109847,195
1680109848,203
1680109849,255
1680109850,255
1680109851,255
1680109852,255
1680109853,255
1680109854,256
1680109855,94
1680109856,142
1680109857,140
1680109858,140
1680109859,139
1680109860,137
1680109861,135
1680109862,131
1680109863,125
1680109864,127
1680109865,129
1680109866,129
1680109867,132
1680109868,133
1680109869,131
1680109870,132
1680109871,133
1680109872,132
1680109873,132
1680109874,130
1680109875,134
1680109876,136
1680109877,136
1680109878,140
1680109879,142
1680109880,255
1680109881,255
1680109882,255
1680109883,255
1680109884,255
1680109885,255
1680109886,255
1680109887,164
1680109888,200
1680109889,199
1680109890,199
1680109891,199
1680109892,200
1680109893,202
1680109894,202
1680109895,201
1680109896,203
1680109897,200
1680109898,200
1680109899,200
1680109900,201
1680109901,203
1680109902,205
1680109903,199
1680109904,198
1680109905,192
1680109906,175
1680109907,174
1680109908,174
1680109909,170
1680109910,168
1680109911,175
1680109912,180
1680109913,177
1680109914,183
1680109915,178
1680109916,180
1680109917,183
1680109918,175
1680109919,182
1680109920,189
1680109921,190
1680109922,190
1680109923,196
1680109924,197
1680109925,194
1680109926,193
1680109927,197
1680109928,202
1680109929,204
1680109930,190
1680109931,201
1680109932,201
1680109933,199
1680109934,197
1680109935,188
1680109936,189
1680109937,191
1680109938,178
1680109939,187
1680109940,182
1680109941,181
1680109942,186
1680109943,183
1680109944,183
1680109945,187
1680109946,187
1680109947,192
1680109948,192
1680109949,181
1680109950,187
1680109951,191
1680109952,184
1680109953,192
1680109954,194
1680109955,193
1680109956,186
1680109957,196
1680109958,194
1680109959,190
1680109960,196
1680109961,198
1680109962,199
1680109963,196
1680109964,194
1680109965,196
1680109966,198
1680109967,202
1680109968,200
1680109969,194
1680109970,190
1680109971,192
1680109972,187
1680109973,182
1680109974,182
1680109975,188
1680109976,185
1680109977,187
1680109978,183
1680109979,178
1680109980,181
1680109981,180
1680109982,180
1680109983,184
1680109984,200
1680109985,201
1680109986,188
1680109987,197
1680109988,199
1680109989,197
1680109990,178
1680109991,175
1680109992,173
1680109993,181
1680109994,180
1680109995,180
1680109996,169
1680109997,175
1680109998,174
1680109999,172
1680110000,172
1680110001,171
1680110002,174
1680110003,180
1680110004,176
1680110005,172
1680110006,176
1680110007,170
1680110008,171
1680110009,169
1680110010,166
1680110011,166
1680110012,161
1680110013,171
1680110014,169
1680110015,177
1680110016,175
1680110017,180
1680110018,169
1680110019,166
1680110020,170
1680110021,173
1680110022,175
1680110023,175
1680110024,175
1680110025,175
1680110026,94
