time,FPS
1677886251,42
1677886252,50
1677886253,49
1677886254,33
1677886255,53
1677886256,53
1677886257,52
1677886258,50
1677886259,51
1677886260,49
1677886261,52
1677886262,53
1677886263,55
1677886264,53
1677886265,50
1677886266,51
1677886267,53
1677886268,55
1677886269,53
1677886270,56
1677886271,56
1677886272,53
1677886273,55
1677886274,56
1677886275,54
1677886276,61
1677886277,59
1677886278,60
1677886279,61
1677886280,59
1677886281,60
1677886282,59
1677886283,60
1677886284,60
1677886285,60
1677886286,60
1677886287,59
1677886288,58
1677886289,59
1677886290,60
1677886291,60
1677886292,59
1677886293,61
1677886294,59
1677886295,60
1677886296,60
1677886297,59
1677886298,58
1677886299,61
1677886300,59
1677886301,60
1677886302,61
1677886303,57
1677886304,61
1677886305,60
1677886306,61
1677886307,60
1677886308,61
1677886309,61
1677886310,59
1677886311,61
1677886312,215
1677886313,255
1677886314,254
1677886315,254
1677886316,149
1677886317,121
1677886318,120
1677886319,115
1677886320,121
1677886321,122
1677886322,120
1677886323,122
1677886324,121
1677886325,118
1677886326,121
1677886327,118
1677886328,118
1677886329,117
1677886330,119
1677886331,118
1677886332,121
1677886333,119
1677886334,120
1677886335,122
1677886336,122
1677886337,124
1677886338,121
1677886339,124
1677886340,121
1677886341,218
1677886342,252
1677886343,254
1677886344,256
1677886345,125
1677886346,142
1677886347,139
1677886348,136
1677886349,144
1677886350,143
1677886351,144
1677886352,142
1677886353,133
1677886354,142
1677886355,137
1677886356,134
1677886357,136
1677886358,144
1677886359,139
1677886360,134
1677886361,142
1677886362,142
1677886363,141
1677886364,138
1677886365,143
1677886366,147
1677886367,147
1677886368,146
1677886369,143
1677886370,239
1677886371,251
1677886372,252
1677886373,254
1677886374,153
1677886375,108
1677886376,108
1677886377,104
1677886378,111
1677886379,103
1677886380,108
1677886381,106
1677886382,110
1677886383,119
1677886384,116
1677886385,129
1677886386,134
1677886387,138
1677886388,148
1677886389,151
1677886390,150
1677886391,142
1677886392,148
1677886393,148
1677886394,149
1677886395,151
1677886396,154
1677886397,142
1677886398,156
1677886399,241
1677886400,254
1677886401,255
1677886402,251
1677886403,255
1677886404,254
1677886405,255
1677886406,125
1677886407,104
1677886408,101
1677886409,104
1677886410,104
1677886411,103
1677886412,106
1677886413,103
1677886414,103
1677886415,100
1677886416,100
1677886417,105
1677886418,105
1677886419,105
1677886420,105
1677886421,106
1677886422,102
1677886423,101
1677886424,106
1677886425,104
1677886426,107
1677886427,107
1677886428,111
1677886429,110
1677886430,111
1677886431,225
1677886432,256
1677886433,255
1677886434,254
1677886435,255
1677886436,250
1677886437,249
1677886438,252
1677886439,254
1677886440,149
1677886441,113
1677886442,111
1677886443,113
1677886444,110
1677886445,111
1677886446,113
1677886447,119
1677886448,116
1677886449,114
1677886450,110
1677886451,112
1677886452,118
1677886453,115
1677886454,118
1677886455,131
1677886456,128
1677886457,121
1677886458,119
1677886459,109
1677886460,112
1677886461,108
1677886462,110
1677886463,112
1677886464,108
1677886465,105
1677886466,111
1677886467,111
1677886468,112
1677886469,105
1677886470,102
1677886471,111
1677886472,114
1677886473,111
1677886474,115
1677886475,119
1677886476,116
1677886477,119
1677886478,114
1677886479,117
1677886480,116
1677886481,121
1677886482,123
1677886483,124
1677886484,112
1677886485,72
1677886486,126
1677886487,120
1677886488,121
1677886489,123
1677886490,115
1677886491,120
1677886492,107
1677886493,117
1677886494,113
1677886495,113
1677886496,113
1677886497,105
1677886498,109
1677886499,117
1677886500,117
1677886501,125
1677886502,125
1677886503,116
1677886504,125
1677886505,127
1677886506,135
1677886507,136
1677886508,140
1677886509,133
1677886510,130
1677886511,126
1677886512,120
1677886513,112
1677886514,124
1677886515,118
1677886516,125
1677886517,129
1677886518,120
1677886519,133
1677886520,145
1677886521,147
1677886522,114
1677886523,114
1677886524,118
1677886525,121
1677886526,111
1677886527,122
1677886528,124
1677886529,124
1677886530,126
1677886531,133
1677886532,125
1677886533,125
1677886534,124
1677886535,132
1677886536,131
1677886537,131
1677886538,127
1677886539,123
1677886540,118
1677886541,121
1677886542,123
1677886543,123
1677886544,115
1677886545,123
1677886546,119
1677886547,120
1677886548,125
1677886549,125
1677886550,131
1677886551,119
1677886552,133
1677886553,125
1677886554,120
1677886555,122
1677886556,130
1677886557,139
1677886558,126
1677886559,127
1677886560,131
1677886561,126
1677886562,132
1677886563,123
1677886564,135
1677886565,124
1677886566,127
1677886567,118
1677886568,132
1677886569,127
1677886570,128
1677886571,131
1677886572,133
1677886573,126
1677886574,131
1677886575,132
1677886576,130
1677886577,80
1677886578,82
