time,FPS
1675707494,45
1675707495,44
1675707496,28
1675707497,47
1675707498,45
1675707499,43
1675707500,42
1675707501,46
1675707502,47
1675707503,50
1675707504,42
1675707505,47
1675707506,46
1675707507,43
1675707508,41
1675707509,43
1675707510,41
1675707511,48
1675707512,47
1675707513,41
1675707514,44
1675707515,45
1675707516,47
1675707517,46
1675707518,48
1675707519,45
1675707520,47
1675707521,45
1675707522,47
1675707523,48
1675707524,48
1675707525,49
1675707526,50
1675707527,47
1675707528,43
1675707529,42
1675707530,46
1675707531,45
1675707532,44
1675707533,48
1675707534,47
1675707535,47
1675707536,47
1675707537,49
1675707538,52
1675707539,58
1675707540,57
1675707541,54
1675707542,57
1675707543,57
1675707544,56
1675707545,56
1675707546,56
1675707547,50
1675707548,44
1675707549,43
1675707550,47
1675707551,45
1675707552,45
1675707553,48
1675707554,44
1675707555,46
1675707556,45
1675707557,43
1675707558,45
1675707559,51
1675707560,54
1675707561,50
1675707562,48
1675707563,46
1675707564,50
1675707565,47
1675707566,51
1675707567,43
1675707568,48
1675707569,48
1675707570,46
1675707571,47
1675707572,46
1675707573,48
1675707574,42
1675707575,41
1675707576,44
1675707577,40
1675707578,46
1675707579,46
1675707580,46
1675707581,45
1675707582,42
1675707583,39
1675707584,45
1675707585,44
1675707586,42
1675707587,46
1675707588,43
1675707589,41
1675707590,41
1675707591,44
1675707592,44
1675707593,44
1675707594,45
1675707595,71
1675707596,255
1675707597,256
1675707598,248
1675707599,254
1675707600,86
1675707601,109
1675707602,117
1675707603,116
1675707604,117
1675707605,116
1675707606,113
1675707607,116
1675707608,116
1675707609,117
1675707610,117
1675707611,117
1675707612,117
1675707613,117
1675707614,119
1675707615,119
1675707616,118
1675707617,120
1675707618,117
1675707619,121
1675707620,123
1675707621,123
1675707622,122
1675707623,123
1675707624,129
1675707625,253
1675707626,255
1675707627,249
1675707628,201
1675707629,126
1675707630,157
1675707631,151
1675707632,158
1675707633,158
1675707634,156
1675707635,155
1675707636,156
1675707637,155
1675707638,155
1675707639,155
1675707640,152
1675707641,156
1675707642,154
1675707643,152
1675707644,153
1675707645,154
1675707646,154
1675707647,156
1675707648,156
1675707649,154
1675707650,150
1675707651,152
1675707652,154
1675707653,185
1675707654,256
1675707655,252
1675707656,255
1675707657,145
1675707658,139
1675707659,137
1675707660,137
1675707661,135
1675707662,135
1675707663,133
1675707664,135
1675707665,134
1675707666,137
1675707667,138
1675707668,142
1675707669,146
1675707670,149
1675707671,151
1675707672,150
1675707673,152
1675707674,152
1675707675,154
1675707676,155
1675707677,156
1675707678,156
1675707679,157
1675707680,157
1675707681,157
1675707682,238
1675707683,255
1675707684,255
1675707685,255
1675707686,256
1675707687,254
1675707688,94
1675707689,131
1675707690,133
1675707691,131
1675707692,128
1675707693,131
1675707694,128
1675707695,125
1675707696,124
1675707697,124
1675707698,126
1675707699,125
1675707700,126
1675707701,125
1675707702,127
1675707703,126
1675707704,128
1675707705,127
1675707706,126
1675707707,127
1675707708,129
1675707709,124
1675707710,129
1675707711,130
1675707712,129
1675707713,254
1675707714,255
1675707715,256
1675707716,255
1675707717,256
1675707718,255
1675707719,206
1675707720,148
1675707721,160
1675707722,161
1675707723,160
1675707724,159
1675707725,158
1675707726,162
1675707727,163
1675707728,160
1675707729,163
1675707730,163
1675707731,162
1675707732,162
1675707733,157
1675707734,162
1675707735,165
1675707736,169
1675707737,172
1675707738,176
1675707739,163
1675707740,152
1675707741,159
1675707742,157
1675707743,148
1675707744,145
1675707745,152
1675707746,154
1675707747,156
1675707748,147
1675707749,146
1675707750,147
1675707751,149
1675707752,149
1675707753,148
1675707754,151
1675707755,149
1675707756,158
1675707757,159
1675707758,156
1675707759,153
1675707760,150
1675707761,163
1675707762,165
1675707763,165
1675707764,163
1675707765,163
1675707766,158
1675707767,155
1675707768,150
1675707769,146
1675707770,152
1675707771,151
1675707772,152
1675707773,151
1675707774,153
1675707775,156
1675707776,154
1675707777,156
1675707778,153
1675707779,160
1675707780,156
1675707781,157
1675707782,153
1675707783,149
1675707784,149
1675707785,148
1675707786,152
1675707787,155
1675707788,156
1675707789,154
1675707790,155
1675707791,159
1675707792,159
1675707793,155
1675707794,155
1675707795,159
1675707796,160
1675707797,159
1675707798,158
1675707799,155
1675707800,158
1675707801,158
1675707802,163
1675707803,152
1675707804,149
1675707805,146
1675707806,145
1675707807,147
1675707808,146
1675707809,148
1675707810,150
1675707811,152
1675707812,152
1675707813,150
1675707814,145
1675707815,146
1675707816,148
1675707817,147
1675707818,149
1675707819,165
1675707820,158
1675707821,157
1675707822,158
1675707823,152
1675707824,158
1675707825,153
1675707826,145
1675707827,142
1675707828,144
1675707829,148
1675707830,147
1675707831,145
1675707832,143
1675707833,142
1675707834,142
1675707835,140
1675707836,140
1675707837,139
1675707838,140
1675707839,145
1675707840,142
1675707841,141
1675707842,140
1675707843,134
1675707844,133
1675707845,134
1675707846,133
1675707847,133
1675707848,135
1675707849,136
1675707850,138
1675707851,141
1675707852,144
1675707853,145
1675707854,142
1675707855,140
1675707856,137
1675707857,145
1675707858,138
1675707859,141
1675707860,116
