time,FPS
1675902649,28
1675902650,43
1675902651,29
1675902652,49
1675902653,43
1675902654,43
1675902655,44
1675902656,46
1675902657,44
1675902658,43
1675902659,46
1675902660,47
1675902661,43
1675902662,43
1675902663,40
1675902664,39
1675902665,39
1675902666,44
1675902667,46
1675902668,42
1675902669,45
1675902670,49
1675902671,48
1675902672,45
1675902673,43
1675902674,47
1675902675,46
1675902676,48
1675902677,48
1675902678,44
1675902679,49
1675902680,47
1675902681,48
1675902682,47
1675902683,47
1675902684,43
1675902685,43
1675902686,46
1675902687,48
1675902688,48
1675902689,43
1675902690,47
1675902691,49
1675902692,48
1675902693,48
1675902694,46
1675902695,57
1675902696,57
1675902697,55
1675902698,56
1675902699,57
1675902700,57
1675902701,56
1675902702,57
1675902703,54
1675902704,42
1675902705,42
1675902706,45
1675902707,45
1675902708,41
1675902709,42
1675902710,40
1675902711,46
1675902712,45
1675902713,43
1675902714,42
1675902715,47
1675902716,46
1675902717,46
1675902718,47
1675902719,46
1675902720,48
1675902721,45
1675902722,46
1675902723,43
1675902724,47
1675902725,43
1675902726,46
1675902727,45
1675902728,46
1675902729,47
1675902730,47
1675902731,49
1675902732,46
1675902733,47
1675902734,44
1675902735,47
1675902736,48
1675902737,48
1675902738,48
1675902739,44
1675902740,45
1675902741,50
1675902742,45
1675902743,47
1675902744,45
1675902745,46
1675902746,40
1675902747,47
1675902748,40
1675902749,45
1675902750,41
1675902751,43
1675902752,192
1675902753,255
1675902754,250
1675902755,254
1675902756,168
1675902757,126
1675902758,126
1675902759,130
1675902760,131
1675902761,130
1675902762,128
1675902763,125
1675902764,129
1675902765,128
1675902766,128
1675902767,127
1675902768,127
1675902769,129
1675902770,127
1675902771,125
1675902772,126
1675902773,129
1675902774,126
1675902775,131
1675902776,131
1675902777,131
1675902778,132
1675902779,132
1675902780,131
1675902781,197
1675902782,256
1675902783,255
1675902784,256
1675902785,119
1675902786,157
1675902787,155
1675902788,153
1675902789,154
1675902790,153
1675902791,153
1675902792,154
1675902793,154
1675902794,154
1675902795,153
1675902796,151
1675902797,152
1675902798,153
1675902799,152
1675902800,149
1675902801,148
1675902802,150
1675902803,150
1675902804,149
1675902805,152
1675902806,153
1675902807,157
1675902808,158
1675902809,159
1675902810,252
1675902811,254
1675902812,253
1675902813,202
1675902814,134
1675902815,137
1675902816,137
1675902817,136
1675902818,137
1675902819,134
1675902820,135
1675902821,133
1675902822,137
1675902823,138
1675902824,140
1675902825,144
1675902826,148
1675902827,150
1675902828,152
1675902829,153
1675902830,153
1675902831,154
1675902832,154
1675902833,155
1675902834,156
1675902835,156
1675902836,157
1675902837,157
1675902838,185
1675902839,256
1675902840,254
1675902841,255
1675902842,256
1675902843,255
1675902844,195
1675902845,115
1675902846,132
1675902847,132
1675902848,131
1675902849,131
1675902850,130
1675902851,127
1675902852,124
1675902853,124
1675902854,125
1675902855,126
1675902856,124
1675902857,129
1675902858,129
1675902859,127
1675902860,128
1675902861,128
1675902862,128
1675902863,128
1675902864,128
1675902865,129
1675902866,128
1675902867,129
1675902868,130
1675902869,164
1675902870,255
1675902871,256
1675902872,255
1675902873,253
1675902874,255
1675902875,253
1675902876,215
1675902877,148
1675902878,160
1675902879,160
1675902880,160
1675902881,159
1675902882,162
1675902883,163
1675902884,162
1675902885,161
1675902886,164
1675902887,163
1675902888,161
1675902889,162
1675902890,160
1675902891,162
1675902892,167
1675902893,170
1675902894,173
1675902895,178
1675902896,156
1675902897,152
1675902898,160
1675902899,151
1675902900,146
1675902901,146
1675902902,149
1675902903,153
1675902904,154
1675902905,146
1675902906,145
1675902907,146
1675902908,146
1675902909,148
1675902910,148
1675902911,149
1675902912,152
1675902913,160
1675902914,155
1675902915,154
1675902916,152
1675902917,153
1675902918,163
1675902919,165
1675902920,156
1675902921,166
1675902922,164
1675902923,158
1675902924,152
1675902925,148
1675902926,147
1675902927,153
1675902928,150
1675902929,152
1675902930,152
1675902931,157
1675902932,151
1675902933,157
1675902934,155
1675902935,158
1675902936,161
1675902937,158
1675902938,158
1675902939,152
1675902940,151
1675902941,151
1675902942,150
1675902943,154
1675902944,156
1675902945,157
1675902946,153
1675902947,158
1675902948,163
1675902949,162
1675902950,160
1675902951,157
1675902952,159
1675902953,161
1675902954,160
1675902955,161
1675902956,158
1675902957,163
1675902958,162
1675902959,158
1675902960,152
1675902961,148
1675902962,146
1675902963,146
1675902964,146
1675902965,146
1675902966,146
1675902967,148
1675902968,149
1675902969,149
1675902970,152
1675902971,147
1675902972,146
1675902973,147
1675902974,148
1675902975,148
1675902976,160
1675902977,167
1675902978,160
1675902979,161
1675902980,160
1675902981,157
1675902982,159
1675902983,146
1675902984,142
1675902985,140
1675902986,144
1675902987,148
1675902988,145
1675902989,143
1675902990,142
1675902991,142
1675902992,139
1675902993,139
1675902994,139
1675902995,140
1675902996,142
1675902997,143
1675902998,139
1675902999,140
1675903000,136
1675903001,132
1675903002,133
1675903003,134
1675903004,132
1675903005,133
1675903006,134
1675903007,136
1675903008,137
1675903009,139
1675903010,142
1675903011,143
1675903012,137
1675903013,141
1675903014,141
1675903015,141
1675903016,58
