time,FPS
1679693426,7
1679693427,43
1679693428,33
1679693429,37
1679693430,49
1679693431,48
1679693432,46
1679693433,44
1679693434,44
1679693435,43
1679693436,48
1679693437,48
1679693438,48
1679693439,48
1679693440,46
1679693441,42
1679693442,44
1679693443,41
1679693444,43
1679693445,43
1679693446,44
1679693447,47
1679693448,41
1679693449,47
1679693450,46
1679693451,45
1679693452,48
1679693453,41
1679693454,44
1679693455,42
1679693456,48
1679693457,47
1679693458,42
1679693459,45
1679693460,45
1679693461,47
1679693462,43
1679693463,43
1679693464,44
1679693465,44
1679693466,41
1679693467,43
1679693468,44
1679693469,46
1679693470,44
1679693471,54
1679693472,55
1679693473,53
1679693474,51
1679693475,53
1679693476,52
1679693477,54
1679693478,54
1679693479,53
1679693480,41
1679693481,43
1679693482,41
1679693483,42
1679693484,47
1679693485,42
1679693486,44
1679693487,45
1679693488,44
1679693489,42
1679693490,42
1679693491,46
1679693492,47
1679693493,44
1679693494,47
1679693495,43
1679693496,44
1679693497,42
1679693498,43
1679693499,43
1679693500,41
1679693501,45
1679693502,46
1679693503,44
1679693504,50
1679693505,46
1679693506,45
1679693507,43
1679693508,43
1679693509,42
1679693510,42
1679693511,45
1679693512,45
1679693513,42
1679693514,40
1679693515,42
1679693516,41
1679693517,45
1679693518,45
1679693519,47
1679693520,45
1679693521,46
1679693522,45
1679693523,47
1679693524,46
1679693525,43
1679693526,47
1679693527,43
1679693528,153
1679693529,255
1679693530,252
1679693531,255
1679693532,207
1679693533,144
1679693534,153
1679693535,157
1679693536,153
1679693537,153
1679693538,161
1679693539,154
1679693540,155
1679693541,163
1679693542,155
1679693543,159
1679693544,160
1679693545,162
1679693546,162
1679693547,160
1679693548,164
1679693549,160
1679693550,165
1679693551,167
1679693552,167
1679693553,169
1679693554,168
1679693555,168
1679693556,161
1679693557,188
1679693558,255
1679693559,255
1679693560,253
1679693561,236
1679693562,158
1679693563,197
1679693564,194
1679693565,197
1679693566,198
1679693567,198
1679693568,198
1679693569,198
1679693570,196
1679693571,196
1679693572,187
1679693573,189
1679693574,196
1679693575,194
1679693576,189
1679693577,189
1679693578,188
1679693579,192
1679693580,189
1679693581,195
1679693582,197
1679693583,194
1679693584,194
1679693585,194
1679693586,206
1679693587,256
1679693588,255
1679693589,256
1679693590,224
1679693591,187
1679693592,176
1679693593,177
1679693594,177
1679693595,177
1679693596,177
1679693597,174
1679693598,177
1679693599,179
1679693600,183
1679693601,181
1679693602,186
1679693603,189
1679693604,193
1679693605,194
1679693606,195
1679693607,194
1679693608,195
1679693609,199
1679693610,198
1679693611,199
1679693612,201
1679693613,199
1679693614,200
1679693615,213
1679693616,255
1679693617,254
1679693618,256
1679693619,255
1679693620,250
1679693621,256
1679693622,155
1679693623,164
1679693624,168
1679693625,168
1679693626,165
1679693627,164
1679693628,163
1679693629,159
1679693630,157
1679693631,157
1679693632,158
1679693633,160
1679693634,160
1679693635,163
1679693636,163
1679693637,162
1679693638,164
1679693639,163
1679693640,165
1679693641,164
1679693642,165
1679693643,165
1679693644,168
1679693645,167
1679693646,166
1679693647,230
1679693648,256
1679693649,255
1679693650,256
1679693651,254
1679693652,256
1679693653,251
1679693654,167
1679693655,204
1679693656,202
1679693657,203
1679693658,203
1679693659,198
1679693660,205
1679693661,207
1679693662,205
1679693663,205
1679693664,205
1679693665,207
1679693666,205
1679693667,205
1679693668,205
1679693669,207
1679693670,213
1679693671,215
1679693672,219
1679693673,214
1679693674,196
1679693675,196
1679693676,202
1679693677,181
1679693678,188
1679693679,192
1679693680,197
1679693681,196
1679693682,190
1679693683,183
1679693684,183
1679693685,185
1679693686,183
1679693687,188
1679693688,192
1679693689,188
1679693690,198
1679693691,198
1679693692,198
1679693693,193
1679693694,197
1679693695,202
1679693696,196
1679693697,209
1679693698,211
1679693699,211
1679693700,201
1679693701,200
1679693702,194
1679693703,186
1679693704,190
1679693705,191
1679693706,194
1679693707,183
1679693708,195
1679693709,198
1679693710,189
1679693711,198
1679693712,195
1679693713,194
1679693714,204
1679693715,201
1679693716,192
1679693717,188
1679693718,189
1679693719,184
1679693720,191
1679693721,191
1679693722,193
1679693723,191
1679693724,188
1679693725,202
1679693726,199
1679693727,200
1679693728,194
1679693729,200
1679693730,202
1679693731,200
1679693732,197
1679693733,197
1679693734,204
1679693735,205
1679693736,196
1679693737,199
1679693738,196
1679693739,189
1679693740,184
1679693741,183
1679693742,186
1679693743,187
1679693744,188
1679693745,190
1679693746,192
1679693747,187
1679693748,179
1679693749,183
1679693750,184
1679693751,186
1679693752,190
1679693753,208
1679693754,201
1679693755,202
1679693756,200
1679693757,199
1679693758,196
1679693759,194
1679693760,185
1679693761,180
1679693762,180
1679693763,185
1679693764,185
1679693765,181
1679693766,176
1679693767,175
1679693768,179
1679693769,176
1679693770,172
1679693771,175
1679693772,174
1679693773,178
1679693774,179
1679693775,173
1679693776,177
1679693777,173
1679693778,171
1679693779,170
1679693780,170
1679693781,168
1679693782,167
1679693783,174
1679693784,177
1679693785,182
1679693786,186
1679693787,184
1679693788,183
1679693789,175
1679693790,175
1679693791,181
1679693792,130
