time,FPS
1677703747,34
1677703748,43
1677703749,30
1677703750,44
1677703751,52
1677703752,51
1677703753,54
1677703754,54
1677703755,51
1677703756,49
1677703757,53
1677703758,51
1677703759,53
1677703760,45
1677703761,44
1677703762,47
1677703763,43
1677703764,42
1677703765,45
1677703766,44
1677703767,46
1677703768,42
1677703769,48
1677703770,55
1677703771,49
1677703772,52
1677703773,50
1677703774,53
1677703775,52
1677703776,52
1677703777,52
1677703778,50
1677703779,51
1677703780,51
1677703781,51
1677703782,50
1677703783,52
1677703784,50
1677703785,50
1677703786,52
1677703787,50
1677703788,50
1677703789,53
1677703790,51
1677703791,53
1677703792,47
1677703793,56
1677703794,57
1677703795,57
1677703796,55
1677703797,56
1677703798,57
1677703799,56
1677703800,55
1677703801,57
1677703802,43
1677703803,41
1677703804,43
1677703805,44
1677703806,45
1677703807,45
1677703808,40
1677703809,45
1677703810,43
1677703811,40
1677703812,50
1677703813,44
1677703814,42
1677703815,50
1677703816,45
1677703817,49
1677703818,47
1677703819,47
1677703820,47
1677703821,47
1677703822,50
1677703823,45
1677703824,49
1677703825,46
1677703826,46
1677703827,44
1677703828,44
1677703829,49
1677703830,43
1677703831,49
1677703832,47
1677703833,51
1677703834,48
1677703835,45
1677703836,51
1677703837,47
1677703838,45
1677703839,44
1677703840,44
1677703841,44
1677703842,50
1677703843,44
1677703844,49
1677703845,45
1677703846,50
1677703847,48
1677703848,52
1677703849,49
1677703850,117
1677703851,255
1677703852,254
1677703853,253
1677703854,252
1677703855,103
1677703856,121
1677703857,125
1677703858,125
1677703859,126
1677703860,126
1677703861,125
1677703862,126
1677703863,127
1677703864,125
1677703865,128
1677703866,129
1677703867,128
1677703868,129
1677703869,132
1677703870,129
1677703871,131
1677703872,129
1677703873,132
1677703874,131
1677703875,129
1677703876,128
1677703877,131
1677703878,131
1677703879,133
1677703880,255
1677703881,254
1677703882,256
1677703883,196
1677703884,136
1677703885,148
1677703886,143
1677703887,148
1677703888,147
1677703889,147
1677703890,148
1677703891,148
1677703892,148
1677703893,148
1677703894,142
1677703895,138
1677703896,145
1677703897,138
1677703898,137
1677703899,136
1677703900,139
1677703901,140
1677703902,142
1677703903,139
1677703904,139
1677703905,138
1677703906,142
1677703907,142
1677703908,181
1677703909,255
1677703910,256
1677703911,256
1677703912,131
1677703913,134
1677703914,134
1677703915,134
1677703916,135
1677703917,134
1677703918,134
1677703919,138
1677703920,141
1677703921,144
1677703922,145
1677703923,149
1677703924,148
1677703925,154
1677703926,154
1677703927,154
1677703928,155
1677703929,155
1677703930,155
1677703931,155
1677703932,156
1677703933,156
1677703934,156
1677703935,156
1677703936,156
1677703937,251
1677703938,256
1677703939,254
1677703940,255
1677703941,256
1677703942,252
1677703943,114
1677703944,124
1677703945,123
1677703946,122
1677703947,124
1677703948,124
1677703949,122
1677703950,119
1677703951,118
1677703952,120
1677703953,118
1677703954,121
1677703955,121
1677703956,123
1677703957,120
1677703958,122
1677703959,123
1677703960,125
1677703961,125
1677703962,124
1677703963,126
1677703964,126
1677703965,127
1677703966,124
1677703967,125
1677703968,243
1677703969,255
1677703970,254
1677703971,255
1677703972,255
1677703973,255
1677703974,256
1677703975,252
1677703976,143
1677703977,145
1677703978,146
1677703979,145
1677703980,143
1677703981,147
1677703982,148
1677703983,148
1677703984,147
1677703985,147
1677703986,147
1677703987,147
1677703988,147
1677703989,144
1677703990,146
1677703991,146
1677703992,150
1677703993,154
1677703994,156
1677703995,147
1677703996,135
1677703997,140
1677703998,140
1677703999,132
1677704000,134
1677704001,136
1677704002,136
1677704003,137
1677704004,132
1677704005,127
1677704006,124
1677704007,129
1677704008,129
1677704009,131
1677704010,134
1677704011,129
1677704012,135
1677704013,135
1677704014,135
1677704015,126
1677704016,137
1677704017,142
1677704018,143
1677704019,144
1677704020,147
1677704021,147
1677704022,147
1677704023,140
1677704024,138
1677704025,130
1677704026,131
1677704027,131
1677704028,136
1677704029,129
1677704030,124
1677704031,131
1677704032,131
1677704033,134
1677704034,132
1677704035,132
1677704036,140
1677704037,137
1677704038,134
1677704039,130
1677704040,131
1677704041,131
1677704042,132
1677704043,134
1677704044,128
1677704045,135
1677704046,134
1677704047,136
1677704048,136
1677704049,133
1677704050,133
1677704051,133
1677704052,135
1677704053,136
1677704054,129
1677704055,137
1677704056,135
1677704057,128
1677704058,136
1677704059,132
1677704060,133
1677704061,131
1677704062,128
1677704063,129
1677704064,130
1677704065,132
1677704066,132
1677704067,133
1677704068,131
1677704069,123
1677704070,127
1677704071,127
1677704072,129
1677704073,130
1677704074,139
1677704075,137
1677704076,137
1677704077,129
1677704078,133
1677704079,132
1677704080,129
1677704081,128
1677704082,126
1677704083,124
1677704084,126
1677704085,125
1677704086,123
1677704087,118
1677704088,122
1677704089,123
1677704090,119
1677704091,117
1677704092,118
1677704093,119
1677704094,125
1677704095,126
1677704096,123
1677704097,126
1677704098,122
1677704099,120
1677704100,121
1677704101,117
1677704102,120
1677704103,119
1677704104,124
1677704105,130
1677704106,136
1677704107,139
1677704108,140
1677704109,138
1677704110,120
1677704111,127
1677704112,122
1677704113,124
1677704114,91
