time,FPS
1677712535,46
1677712536,50
1677712537,36
1677712538,38
1677712539,54
1677712540,55
1677712541,52
1677712542,52
1677712543,57
1677712544,55
1677712545,55
1677712546,52
1677712547,51
1677712548,55
1677712549,51
1677712550,51
1677712551,52
1677712552,51
1677712553,53
1677712554,55
1677712555,50
1677712556,51
1677712557,54
1677712558,57
1677712559,57
1677712560,54
1677712561,56
1677712562,55
1677712563,56
1677712564,57
1677712565,56
1677712566,53
1677712567,58
1677712568,54
1677712569,54
1677712570,55
1677712571,57
1677712572,53
1677712573,54
1677712574,56
1677712575,48
1677712576,54
1677712577,55
1677712578,51
1677712579,54
1677712580,52
1677712581,52
1677712582,52
1677712583,52
1677712584,53
1677712585,49
1677712586,49
1677712587,45
1677712588,47
1677712589,47
1677712590,48
1677712591,51
1677712592,45
1677712593,47
1677712594,45
1677712595,51
1677712596,55
1677712597,52
1677712598,56
1677712599,59
1677712600,57
1677712601,58
1677712602,58
1677712603,58
1677712604,61
1677712605,55
1677712606,61
1677712607,56
1677712608,58
1677712609,60
1677712610,57
1677712611,57
1677712612,59
1677712613,58
1677712614,58
1677712615,55
1677712616,55
1677712617,53
1677712618,59
1677712619,55
1677712620,58
1677712621,60
1677712622,57
1677712623,59
1677712624,56
1677712625,56
1677712626,57
1677712627,60
1677712628,56
1677712629,56
1677712630,56
1677712631,60
1677712632,60
1677712633,256
1677712634,253
1677712635,255
1677712636,253
1677712637,164
1677712638,47
1677712639,48
1677712640,46
1677712641,47
1677712642,49
1677712643,50
1677712644,47
1677712645,48
1677712646,49
1677712647,50
1677712648,51
1677712649,50
1677712650,52
1677712651,52
1677712652,52
1677712653,52
1677712654,52
1677712655,53
1677712656,53
1677712657,53
1677712658,52
1677712659,51
1677712660,52
1677712661,51
1677712662,102
1677712663,255
1677712664,256
1677712665,255
1677712666,237
1677712667,48
1677712668,59
1677712669,59
1677712670,59
1677712671,57
1677712672,57
1677712673,57
1677712674,59
1677712675,57
1677712676,57
1677712677,57
1677712678,53
1677712679,55
1677712680,55
1677712681,53
1677712682,53
1677712683,55
1677712684,54
1677712685,55
1677712686,55
1677712687,56
1677712688,55
1677712689,57
1677712690,56
1677712691,74
1677712692,256
1677712693,255
1677712694,254
1677712695,243
1677712696,52
1677712697,57
1677712698,58
1677712699,58
1677712700,58
1677712701,57
1677712702,57
1677712703,56
1677712704,57
1677712705,58
1677712706,57
1677712707,57
1677712708,60
1677712709,61
1677712710,62
1677712711,61
1677712712,61
1677712713,62
1677712714,62
1677712715,62
1677712716,61
1677712717,63
1677712718,62
1677712719,63
1677712720,79
1677712721,256
1677712722,254
1677712723,255
1677712724,252
1677712725,255
1677712726,255
1677712727,249
1677712728,35
1677712729,54
1677712730,53
1677712731,53
1677712732,53
1677712733,52
1677712734,52
1677712735,50
1677712736,50
1677712737,48
1677712738,50
1677712739,52
1677712740,52
1677712741,53
1677712742,52
1677712743,53
1677712744,53
1677712745,54
1677712746,53
1677712747,53
1677712748,54
1677712749,52
1677712750,53
1677712751,52
1677712752,54
1677712753,248
1677712754,254
1677712755,255
1677712756,256
1677712757,255
1677712758,255
1677712759,255
1677712760,255
1677712761,256
1677712762,255
1677712763,43
1677712764,58
1677712765,59
1677712766,58
1677712767,59
1677712768,56
1677712769,60
1677712770,61
1677712771,60
1677712772,60
1677712773,60
1677712774,59
1677712775,59
1677712776,59
1677712777,58
1677712778,58
1677712779,63
1677712780,63
1677712781,66
1677712782,59
1677712783,55
1677712784,58
1677712785,56
1677712786,55
1677712787,53
1677712788,54
1677712789,56
1677712790,55
1677712791,51
1677712792,52
1677712793,51
1677712794,51
1677712795,52
1677712796,55
1677712797,54
1677712798,53
1677712799,55
1677712800,56
1677712801,55
1677712802,54
1677712803,56
1677712804,57
1677712805,57
1677712806,58
1677712807,59
1677712808,59
1677712809,58
1677712810,56
1677712811,54
1677712812,52
1677712813,52
1677712814,53
1677712815,54
1677712816,50
1677712817,51
1677712818,51
1677712819,51
1677712820,49
1677712821,52
1677712822,54
1677712823,54
1677712824,53
1677712825,51
1677712826,50
1677712827,52
1677712828,51
1677712829,53
1677712830,52
1677712831,52
1677712832,53
1677712833,52
1677712834,53
1677712835,53
1677712836,53
1677712837,53
1677712838,52
1677712839,52
1677712840,52
1677712841,53
1677712842,53
1677712843,53
1677712844,52
1677712845,50
1677712846,49
1677712847,48
1677712848,47
1677712849,47
1677712850,48
1677712851,49
1677712852,49
1677712853,50
1677712854,49
1677712855,48
1677712856,47
1677712857,47
1677712858,49
1677712859,49
1677712860,55
1677712861,54
1677712862,54
1677712863,52
1677712864,53
1677712865,51
1677712866,52
1677712867,50
1677712868,49
1677712869,49
1677712870,49
1677712871,49
1677712872,46
1677712873,47
1677712874,48
1677712875,48
1677712876,47
1677712877,47
1677712878,48
1677712879,48
1677712880,51
1677712881,52
1677712882,50
1677712883,51
1677712884,50
1677712885,48
1677712886,48
1677712887,49
1677712888,48
1677712889,48
1677712890,49
1677712891,52
1677712892,53
1677712893,55
1677712894,55
1677712895,56
1677712896,52
1677712897,6
