time,FPS
1680628086,5
1680628087,49
1680628088,31
1680628089,41
1680628090,53
1680628091,51
1680628092,51
1680628093,53
1680628094,52
1680628095,52
1680628096,51
1680628097,51
1680628098,50
1680628099,45
1680628100,42
1680628101,44
1680628102,44
1680628103,45
1680628104,48
1680628105,47
1680628106,44
1680628107,45
1680628108,47
1680628109,53
1680628110,54
1680628111,54
1680628112,53
1680628113,54
1680628114,51
1680628115,50
1680628116,51
1680628117,55
1680628118,52
1680628119,54
1680628120,53
1680628121,50
1680628122,53
1680628123,55
1680628124,55
1680628125,54
1680628126,54
1680628127,50
1680628128,52
1680628129,53
1680628130,51
1680628131,53
1680628132,58
1680628133,58
1680628134,55
1680628135,57
1680628136,57
1680628137,57
1680628138,57
1680628139,57
1680628140,45
1680628141,38
1680628142,41
1680628143,39
1680628144,41
1680628145,42
1680628146,40
1680628147,39
1680628148,42
1680628149,43
1680628150,45
1680628151,44
1680628152,46
1680628153,48
1680628154,42
1680628155,46
1680628156,44
1680628157,48
1680628158,47
1680628159,44
1680628160,48
1680628161,48
1680628162,50
1680628163,44
1680628164,42
1680628165,45
1680628166,46
1680628167,48
1680628168,47
1680628169,51
1680628170,45
1680628171,47
1680628172,46
1680628173,48
1680628174,47
1680628175,47
1680628176,45
1680628177,46
1680628178,42
1680628179,43
1680628180,47
1680628181,45
1680628182,49
1680628183,42
1680628184,48
1680628185,44
1680628186,49
1680628187,46
1680628188,70
1680628189,256
1680628190,253
1680628191,252
1680628192,232
1680628193,65
1680628194,70
1680628195,71
1680628196,72
1680628197,70
1680628198,73
1680628199,73
1680628200,73
1680628201,73
1680628202,72
1680628203,72
1680628204,73
1680628205,72
1680628206,73
1680628207,72
1680628208,73
1680628209,73
1680628210,74
1680628211,72
1680628212,73
1680628213,73
1680628214,72
1680628215,73
1680628216,74
1680628217,85
1680628218,255
1680628219,250
1680628220,256
1680628221,158
1680628222,83
1680628223,88
1680628224,88
1680628225,87
1680628226,85
1680628227,86
1680628228,86
1680628229,86
1680628230,85
1680628231,86
1680628232,83
1680628233,82
1680628234,85
1680628235,83
1680628236,81
1680628237,82
1680628238,83
1680628239,83
1680628240,83
1680628241,84
1680628242,84
1680628243,83
1680628244,84
1680628245,84
1680628246,172
1680628247,254
1680628248,256
1680628249,256
1680628250,86
1680628251,79
1680628252,80
1680628253,79
1680628254,79
1680628255,79
1680628256,78
1680628257,77
1680628258,79
1680628259,79
1680628260,80
1680628261,81
1680628262,84
1680628263,86
1680628264,87
1680628265,87
1680628266,87
1680628267,87
1680628268,88
1680628269,88
1680628270,88
1680628271,89
1680628272,89
1680628273,90
1680628274,89
1680628275,246
1680628276,255
1680628277,255
1680628278,256
1680628279,255
1680628280,255
1680628281,123
1680628282,74
1680628283,76
1680628284,76
1680628285,77
1680628286,76
1680628287,75
1680628288,74
1680628289,73
1680628290,71
1680628291,73
1680628292,75
1680628293,74
1680628294,75
1680628295,75
1680628296,75
1680628297,76
1680628298,76
1680628299,77
1680628300,75
1680628301,76
1680628302,76
1680628303,77
1680628304,76
1680628305,77
1680628306,168
1680628307,255
1680628308,255
1680628309,255
1680628310,255
1680628311,255
1680628312,256
1680628313,158
1680628314,89
1680628315,89
1680628316,89
1680628317,88
1680628318,90
1680628319,91
1680628320,91
1680628321,90
1680628322,89
1680628323,90
1680628324,89
1680628325,89
1680628326,89
1680628327,88
1680628328,91
1680628329,89
1680628330,94
1680628331,97
1680628332,99
1680628333,98
1680628334,84
1680628335,87
1680628336,90
1680628337,83
1680628338,81
1680628339,80
1680628340,84
1680628341,85
1680628342,81
1680628343,79
1680628344,78
1680628345,79
1680628346,80
1680628347,80
1680628348,82
1680628349,81
1680628350,81
1680628351,85
1680628352,84
1680628353,83
1680628354,81
1680628355,84
1680628356,87
1680628357,87
1680628358,88
1680628359,90
1680628360,89
1680628361,85
1680628362,84
1680628363,79
1680628364,78
1680628365,80
1680628366,81
1680628367,81
1680628368,79
1680628369,82
1680628370,82
1680628371,81
1680628372,81
1680628373,81
1680628374,86
1680628375,83
1680628376,82
1680628377,77
1680628378,77
1680628379,78
1680628380,78
1680628381,80
1680628382,80
1680628383,81
1680628384,80
1680628385,81
1680628386,84
1680628387,82
1680628388,82
1680628389,81
1680628390,82
1680628391,81
1680628392,84
1680628393,85
1680628394,84
1680628395,88
1680628396,83
1680628397,82
1680628398,79
1680628399,76
1680628400,75
1680628401,76
1680628402,77
1680628403,77
1680628404,79
1680628405,78
1680628406,76
1680628407,74
1680628408,75
1680628409,76
1680628410,76
1680628411,80
1680628412,87
1680628413,84
1680628414,83
1680628415,83
1680628416,81
1680628417,80
1680628418,77
1680628419,75
1680628420,75
1680628421,76
1680628422,75
1680628423,74
1680628424,72
1680628425,73
1680628426,74
1680628427,72
1680628428,73
1680628429,73
1680628430,73
1680628431,72
1680628432,74
1680628433,75
1680628434,79
1680628435,77
1680628436,76
1680628437,75
1680628438,71
1680628439,73
1680628440,72
1680628441,70
1680628442,71
1680628443,71
1680628444,73
1680628445,76
1680628446,78
1680628447,80
1680628448,81
1680628449,78
1680628450,75
1680628451,75
1680628452,76
1680628453,44
