time,FPS
1675881161,31
1675881162,46
1675881163,43
1675881164,24
1675881165,49
1675881166,45
1675881167,43
1675881168,45
1675881169,43
1675881170,46
1675881171,45
1675881172,43
1675881173,42
1675881174,44
1675881175,44
1675881176,46
1675881177,42
1675881178,45
1675881179,45
1675881180,44
1675881181,41
1675881182,44
1675881183,45
1675881184,46
1675881185,47
1675881186,43
1675881187,47
1675881188,44
1675881189,44
1675881190,47
1675881191,49
1675881192,47
1675881193,41
1675881194,43
1675881195,41
1675881196,43
1675881197,46
1675881198,43
1675881199,43
1675881200,44
1675881201,44
1675881202,54
1675881203,55
1675881204,54
1675881205,52
1675881206,53
1675881207,54
1675881208,52
1675881209,52
1675881210,53
1675881211,43
1675881212,47
1675881213,40
1675881214,43
1675881215,45
1675881216,46
1675881217,48
1675881218,42
1675881219,46
1675881220,46
1675881221,45
1675881222,46
1675881223,49
1675881224,48
1675881225,52
1675881226,48
1675881227,48
1675881228,45
1675881229,50
1675881230,48
1675881231,50
1675881232,49
1675881233,48
1675881234,40
1675881235,48
1675881236,45
1675881237,47
1675881238,46
1675881239,44
1675881240,45
1675881241,45
1675881242,42
1675881243,45
1675881244,45
1675881245,47
1675881246,46
1675881247,45
1675881248,48
1675881249,47
1675881250,42
1675881251,45
1675881252,47
1675881253,43
1675881254,43
1675881255,47
1675881256,48
1675881257,49
1675881258,45
1675881259,99
1675881260,256
1675881261,254
1675881262,256
1675881263,234
1675881264,86
1675881265,111
1675881266,116
1675881267,118
1675881268,119
1675881269,119
1675881270,114
1675881271,118
1675881272,119
1675881273,117
1675881274,116
1675881275,116
1675881276,116
1675881277,116
1675881278,117
1675881279,119
1675881280,119
1675881281,116
1675881282,119
1675881283,120
1675881284,118
1675881285,119
1675881286,118
1675881287,120
1675881288,131
1675881289,255
1675881290,256
1675881291,255
1675881292,230
1675881293,128
1675881294,155
1675881295,154
1675881296,154
1675881297,153
1675881298,151
1675881299,153
1675881300,152
1675881301,155
1675881302,156
1675881303,154
1675881304,152
1675881305,157
1675881306,155
1675881307,153
1675881308,152
1675881309,153
1675881310,155
1675881311,154
1675881312,154
1675881313,156
1675881314,154
1675881315,158
1675881316,159
1675881317,171
1675881318,256
1675881319,255
1675881320,255
1675881321,176
1675881322,142
1675881323,136
1675881324,136
1675881325,135
1675881326,134
1675881327,134
1675881328,134
1675881329,134
1675881330,137
1675881331,137
1675881332,141
1675881333,145
1675881334,147
1675881335,151
1675881336,151
1675881337,150
1675881338,153
1675881339,151
1675881340,153
1675881341,155
1675881342,153
1675881343,156
1675881344,154
1675881345,156
1675881346,205
1675881347,255
1675881348,255
1675881349,253
1675881350,255
1675881351,256
1675881352,149
1675881353,128
1675881354,132
1675881355,130
1675881356,130
1675881357,129
1675881358,127
1675881359,123
1675881360,121
1675881361,122
1675881362,123
1675881363,125
1675881364,125
1675881365,126
1675881366,126
1675881367,126
1675881368,125
1675881369,127
1675881370,128
1675881371,124
1675881372,127
1675881373,128
1675881374,128
1675881375,129
1675881376,128
1675881377,205
1675881378,255
1675881379,256
1675881380,255
1675881381,255
1675881382,254
1675881383,256
1675881384,241
1675881385,121
1675881386,160
1675881387,159
1675881388,157
1675881389,160
1675881390,160
1675881391,162
1675881392,163
1675881393,158
1675881394,161
1675881395,162
1675881396,160
1675881397,159
1675881398,162
1675881399,163
1675881400,167
1675881401,170
1675881402,175
1675881403,171
1675881404,154
1675881405,153
1675881406,161
1675881407,150
1675881408,144
1675881409,144
1675881410,154
1675881411,153
1675881412,152
1675881413,143
1675881414,143
1675881415,146
1675881416,146
1675881417,142
1675881418,151
1675881419,147
1675881420,155
1675881421,159
1675881422,155
1675881423,152
1675881424,153
1675881425,157
1675881426,163
1675881427,164
1675881428,159
1675881429,164
1675881430,160
1675881431,153
1675881432,153
1675881433,147
1675881434,148
1675881435,152
1675881436,151
1675881437,152
1675881438,153
1675881439,154
1675881440,149
1675881441,151
1675881442,149
1675881443,152
1675881444,158
1675881445,155
1675881446,156
1675881447,150
1675881448,148
1675881449,146
1675881450,146
1675881451,153
1675881452,154
1675881453,154
1675881454,150
1675881455,155
1675881456,159
1675881457,154
1675881458,157
1675881459,156
1675881460,158
1675881461,159
1675881462,164
1675881463,163
1675881464,162
1675881465,164
1675881466,159
1675881467,156
1675881468,153
1675881469,149
1675881470,144
1675881471,148
1675881472,147
1675881473,147
1675881474,151
1675881475,149
1675881476,142
1675881477,146
1675881478,145
1675881479,146
1675881480,146
1675881481,159
1675881482,160
1675881483,155
1675881484,156
1675881485,155
1675881486,152
1675881487,152
1675881488,146
1675881489,141
1675881490,140
1675881491,145
1675881492,146
1675881493,144
1675881494,142
1675881495,141
1675881496,140
1675881497,136
1675881498,139
1675881499,137
1675881500,140
1675881501,144
1675881502,142
1675881503,140
1675881504,141
1675881505,134
1675881506,132
1675881507,134
1675881508,131
1675881509,129
1675881510,129
1675881511,131
1675881512,132
1675881513,139
1675881514,138
1675881515,143
1675881516,140
1675881517,136
1675881518,143
1675881519,139
1675881520,142
1675881521,143
1675881522,144
1675881523,143
1675881524,18
