time,FPS
1676416996,8
1676416997,43
1676416998,25
1676416999,55
1676417000,45
1676417001,47
1676417002,43
1676417003,44
1676417004,44
1676417005,47
1676417006,46
1676417007,42
1676417008,43
1676417009,45
1676417010,44
1676417011,40
1676417012,44
1676417013,40
1676417014,45
1676417015,43
1676417016,41
1676417017,46
1676417018,44
1676417019,49
1676417020,47
1676417021,44
1676417022,47
1676417023,45
1676417024,44
1676417025,46
1676417026,44
1676417027,44
1676417028,45
1676417029,46
1676417030,47
1676417031,48
1676417032,48
1676417033,42
1676417034,45
1676417035,42
1676417036,45
1676417037,46
1676417038,48
1676417039,54
1676417040,55
1676417041,51
1676417042,53
1676417043,52
1676417044,54
1676417045,53
1676417046,53
1676417047,51
1676417048,43
1676417049,47
1676417050,44
1676417051,48
1676417052,42
1676417053,45
1676417054,42
1676417055,43
1676417056,41
1676417057,45
1676417058,44
1676417059,50
1676417060,52
1676417061,46
1676417062,52
1676417063,47
1676417064,47
1676417065,46
1676417066,48
1676417067,45
1676417068,42
1676417069,45
1676417070,49
1676417071,48
1676417072,45
1676417073,50
1676417074,44
1676417075,45
1676417076,42
1676417077,44
1676417078,43
1676417079,44
1676417080,44
1676417081,48
1676417082,45
1676417083,47
1676417084,47
1676417085,46
1676417086,46
1676417087,43
1676417088,44
1676417089,46
1676417090,47
1676417091,43
1676417092,43
1676417093,46
1676417094,46
1676417095,46
1676417096,241
1676417097,255
1676417098,253
1676417099,255
1676417100,128
1676417101,115
1676417102,116
1676417103,120
1676417104,122
1676417105,121
1676417106,117
1676417107,121
1676417108,122
1676417109,120
1676417110,115
1676417111,114
1676417112,116
1676417113,116
1676417114,115
1676417115,119
1676417116,119
1676417117,119
1676417118,117
1676417119,116
1676417120,118
1676417121,120
1676417122,120
1676417123,121
1676417124,121
1676417125,229
1676417126,256
1676417127,256
1676417128,231
1676417129,120
1676417130,158
1676417131,152
1676417132,155
1676417133,154
1676417134,152
1676417135,149
1676417136,153
1676417137,149
1676417138,152
1676417139,153
1676417140,152
1676417141,154
1676417142,154
1676417143,152
1676417144,151
1676417145,152
1676417146,154
1676417147,154
1676417148,155
1676417149,155
1676417150,156
1676417151,157
1676417152,158
1676417153,174
1676417154,255
1676417155,256
1676417156,255
1676417157,133
1676417158,138
1676417159,135
1676417160,136
1676417161,136
1676417162,136
1676417163,134
1676417164,134
1676417165,135
1676417166,135
1676417167,136
1676417168,141
1676417169,145
1676417170,148
1676417171,150
1676417172,150
1676417173,151
1676417174,151
1676417175,152
1676417176,151
1676417177,153
1676417178,155
1676417179,155
1676417180,155
1676417181,155
1676417182,242
1676417183,254
1676417184,256
1676417185,255
1676417186,254
1676417187,189
1676417188,122
1676417189,131
1676417190,132
1676417191,128
1676417192,130
1676417193,128
1676417194,124
1676417195,122
1676417196,121
1676417197,120
1676417198,125
1676417199,125
1676417200,124
1676417201,126
1676417202,126
1676417203,126
1676417204,126
1676417205,126
1676417206,124
1676417207,126
1676417208,127
1676417209,128
1676417210,127
1676417211,128
1676417212,167
1676417213,256
1676417214,249
1676417215,256
1676417216,255
1676417217,256
1676417218,255
1676417219,129
1676417220,161
1676417221,161
1676417222,161
1676417223,157
1676417224,161
1676417225,164
1676417226,161
1676417227,161
1676417228,163
1676417229,163
1676417230,163
1676417231,162
1676417232,162
1676417233,162
1676417234,166
1676417235,169
1676417236,174
1676417237,176
1676417238,163
1676417239,151
1676417240,158
1676417241,155
1676417242,148
1676417243,145
1676417244,146
1676417245,153
1676417246,155
1676417247,147
1676417248,146
1676417249,146
1676417250,143
1676417251,148
1676417252,147
1676417253,151
1676417254,149
1676417255,159
1676417256,157
1676417257,156
1676417258,153
1676417259,153
1676417260,162
1676417261,164
1676417262,164
1676417263,158
1676417264,165
1676417265,159
1676417266,153
1676417267,150
1676417268,146
1676417269,152
1676417270,149
1676417271,153
1676417272,149
1676417273,155
1676417274,153
1676417275,150
1676417276,153
1676417277,152
1676417278,158
1676417279,156
1676417280,156
1676417281,153
1676417282,148
1676417283,148
1676417284,147
1676417285,151
1676417286,155
1676417287,155
1676417288,154
1676417289,154
1676417290,162
1676417291,159
1676417292,156
1676417293,156
1676417294,156
1676417295,156
1676417296,157
1676417297,156
1676417298,155
1676417299,153
1676417300,156
1676417301,156
1676417302,157
1676417303,154
1676417304,148
1676417305,145
1676417306,144
1676417307,144
1676417308,143
1676417309,145
1676417310,146
1676417311,148
1676417312,151
1676417313,149
1676417314,145
1676417315,143
1676417316,144
1676417317,146
1676417318,146
1676417319,160
1676417320,162
1676417321,158
1676417322,158
1676417323,157
1676417324,155
1676417325,156
1676417326,143
1676417327,140
1676417328,140
1676417329,143
1676417330,144
1676417331,144
1676417332,140
1676417333,140
1676417334,140
1676417335,138
1676417336,138
1676417337,138
1676417338,139
1676417339,143
1676417340,143
1676417341,140
1676417342,142
1676417343,137
1676417344,134
1676417345,135
1676417346,135
1676417347,134
1676417348,135
1676417349,137
1676417350,137
1676417351,141
1676417352,144
1676417353,146
1676417354,146
1676417355,137
1676417356,139
1676417357,142
1676417358,142
1676417359,138
