time,FPS
1675289687,11
1675289688,46
1675289689,44
1675289690,33
1675289691,44
1675289692,46
1675289693,44
1675289694,43
1675289695,40
1675289696,44
1675289697,39
1675289698,41
1675289699,46
1675289700,42
1675289701,39
1675289702,44
1675289703,44
1675289704,47
1675289705,45
1675289706,46
1675289707,47
1675289708,42
1675289709,43
1675289710,50
1675289711,54
1675289712,53
1675289713,54
1675289714,52
1675289715,55
1675289716,54
1675289717,53
1675289718,52
1675289719,54
1675289720,53
1675289721,51
1675289722,55
1675289723,55
1675289724,50
1675289725,55
1675289726,51
1675289727,56
1675289728,52
1675289729,52
1675289730,50
1675289731,58
1675289732,58
1675289733,58
1675289734,54
1675289735,57
1675289736,57
1675289737,57
1675289738,57
1675289739,57
1675289740,43
1675289741,45
1675289742,42
1675289743,42
1675289744,45
1675289745,47
1675289746,42
1675289747,43
1675289748,40
1675289749,48
1675289750,44
1675289751,48
1675289752,45
1675289753,50
1675289754,48
1675289755,45
1675289756,46
1675289757,50
1675289758,43
1675289759,47
1675289760,45
1675289761,47
1675289762,51
1675289763,47
1675289764,41
1675289765,45
1675289766,46
1675289767,49
1675289768,46
1675289769,48
1675289770,46
1675289771,47
1675289772,41
1675289773,47
1675289774,42
1675289775,49
1675289776,42
1675289777,47
1675289778,49
1675289779,48
1675289780,47
1675289781,46
1675289782,48
1675289783,46
1675289784,47
1675289785,47
1675289786,48
1675289787,43
1675289788,156
1675289789,252
1675289790,252
1675289791,253
1675289792,178
1675289793,122
1675289794,125
1675289795,127
1675289796,129
1675289797,127
1675289798,129
1675289799,124
1675289800,125
1675289801,128
1675289802,126
1675289803,127
1675289804,128
1675289805,127
1675289806,127
1675289807,128
1675289808,126
1675289809,128
1675289810,122
1675289811,129
1675289812,129
1675289813,130
1675289814,131
1675289815,130
1675289816,130
1675289817,178
1675289818,256
1675289819,255
1675289820,255
1675289821,140
1675289822,150
1675289823,151
1675289824,150
1675289825,152
1675289826,148
1675289827,150
1675289828,151
1675289829,148
1675289830,151
1675289831,149
1675289832,147
1675289833,152
1675289834,154
1675289835,151
1675289836,149
1675289837,151
1675289838,151
1675289839,151
1675289840,153
1675289841,153
1675289842,153
1675289843,151
1675289844,150
1675289845,152
1675289846,231
1675289847,255
1675289848,255
1675289849,237
1675289850,135
1675289851,134
1675289852,137
1675289853,136
1675289854,135
1675289855,135
1675289856,136
1675289857,137
1675289858,138
1675289859,140
1675289860,142
1675289861,144
1675289862,152
1675289863,154
1675289864,155
1675289865,156
1675289866,156
1675289867,157
1675289868,158
1675289869,159
1675289870,160
1675289871,160
1675289872,161
1675289873,161
1675289874,173
1675289875,255
1675289876,255
1675289877,255
1675289878,255
1675289879,254
1675289880,256
1675289881,254
1675289882,167
1675289883,125
1675289884,131
1675289885,132
1675289886,130
1675289887,129
1675289888,127
1675289889,125
1675289890,122
1675289891,122
1675289892,121
1675289893,124
1675289894,124
1675289895,126
1675289896,124
1675289897,124
1675289898,125
1675289899,125
1675289900,126
1675289901,125
1675289902,124
1675289903,128
1675289904,128
1675289905,129
1675289906,128
1675289907,189
1675289908,255
1675289909,256
1675289910,255
1675289911,255
1675289912,254
1675289913,255
1675289914,255
1675289915,241
1675289916,139
1675289917,159
1675289918,159
1675289919,159
1675289920,156
1675289921,159
1675289922,162
1675289923,157
1675289924,160
1675289925,162
1675289926,159
1675289927,160
1675289928,159
1675289929,159
1675289930,165
1675289931,164
1675289932,170
1675289933,173
1675289934,167
1675289935,154
1675289936,154
1675289937,158
1675289938,150
1675289939,145
1675289940,150
1675289941,156
1675289942,155
1675289943,151
1675289944,147
1675289945,144
1675289946,148
1675289947,146
1675289948,147
1675289949,150
1675289950,149
1675289951,155
1675289952,159
1675289953,157
1675289954,150
1675289955,151
1675289956,159
1675289957,164
1675289958,164
1675289959,162
1675289960,163
1675289961,157
1675289962,152
1675289963,152
1675289964,147
1675289965,151
1675289966,153
1675289967,154
1675289968,151
1675289969,155
1675289970,157
1675289971,154
1675289972,154
1675289973,154
1675289974,157
1675289975,162
1675289976,160
1675289977,156
1675289978,146
1675289979,148
1675289980,145
1675289981,146
1675289982,152
1675289983,152
1675289984,152
1675289985,152
1675289986,160
1675289987,156
1675289988,155
1675289989,154
1675289990,155
1675289991,155
1675289992,155
1675289993,158
1675289994,155
1675289995,155
1675289996,162
1675289997,161
1675289998,154
1675289999,151
1675290000,150
1675290001,148
1675290002,148
1675290003,148
1675290004,147
1675290005,149
1675290006,150
1675290007,151
1675290008,152
1675290009,151
1675290010,146
1675290011,147
1675290012,147
1675290013,148
1675290014,148
1675290015,163
1675290016,158
1675290017,157
1675290018,154
1675290019,158
1675290020,155
1675290021,153
1675290022,145
1675290023,141
1675290024,144
1675290025,148
1675290026,147
1675290027,145
1675290028,143
1675290029,143
1675290030,142
1675290031,140
1675290032,138
1675290033,140
1675290034,141
1675290035,146
1675290036,142
1675290037,141
1675290038,141
1675290039,135
1675290040,133
1675290041,136
1675290042,128
1675290043,125
1675290044,127
1675290045,128
1675290046,133
1675290047,135
1675290048,137
1675290049,140
1675290050,136
1675290051,137
1675290052,49
