time,FPS
1680726932,8
1680726933,47
1680726934,48
1680726935,22
1680726936,52
1680726937,49
1680726938,52
1680726939,51
1680726940,49
1680726941,49
1680726942,53
1680726943,50
1680726944,56
1680726945,47
1680726946,43
1680726947,46
1680726948,42
1680726949,41
1680726950,42
1680726951,44
1680726952,46
1680726953,44
1680726954,46
1680726955,49
1680726956,49
1680726957,46
1680726958,47
1680726959,49
1680726960,44
1680726961,46
1680726962,45
1680726963,46
1680726964,42
1680726965,47
1680726966,45
1680726967,44
1680726968,49
1680726969,46
1680726970,48
1680726971,48
1680726972,47
1680726973,44
1680726974,44
1680726975,43
1680726976,46
1680726977,46
1680726978,54
1680726979,55
1680726980,51
1680726981,53
1680726982,52
1680726983,53
1680726984,55
1680726985,53
1680726986,48
1680726987,43
1680726988,41
1680726989,40
1680726990,41
1680726991,45
1680726992,41
1680726993,44
1680726994,47
1680726995,44
1680726996,45
1680726997,42
1680726998,42
1680726999,47
1680727000,51
1680727001,46
1680727002,44
1680727003,47
1680727004,49
1680727005,42
1680727006,46
1680727007,45
1680727008,45
1680727009,47
1680727010,52
1680727011,43
1680727012,43
1680727013,44
1680727014,46
1680727015,50
1680727016,45
1680727017,45
1680727018,48
1680727019,44
1680727020,45
1680727021,42
1680727022,47
1680727023,48
1680727024,46
1680727025,42
1680727026,49
1680727027,47
1680727028,43
1680727029,42
1680727030,48
1680727031,44
1680727032,48
1680727033,47
1680727034,44
1680727035,210
1680727036,254
1680727037,249
1680727038,256
1680727039,150
1680727040,63
1680727041,61
1680727042,63
1680727043,63
1680727044,63
1680727045,64
1680727046,64
1680727047,63
1680727048,65
1680727049,65
1680727050,64
1680727051,66
1680727052,66
1680727053,67
1680727054,67
1680727055,68
1680727056,68
1680727057,69
1680727058,68
1680727059,66
1680727060,67
1680727061,67
1680727062,66
1680727063,67
1680727064,139
1680727065,255
1680727066,256
1680727067,256
1680727068,161
1680727069,71
1680727070,76
1680727071,73
1680727072,75
1680727073,74
1680727074,75
1680727075,74
1680727076,74
1680727077,75
1680727078,74
1680727079,70
1680727080,69
1680727081,72
1680727082,69
1680727083,67
1680727084,68
1680727085,69
1680727086,70
1680727087,70
1680727088,71
1680727089,70
1680727090,69
1680727091,70
1680727092,71
1680727093,153
1680727094,256
1680727095,255
1680727096,256
1680727097,111
1680727098,74
1680727099,73
1680727100,74
1680727101,73
1680727102,74
1680727103,73
1680727104,72
1680727105,72
1680727106,73
1680727107,74
1680727108,74
1680727109,76
1680727110,77
1680727111,77
1680727112,79
1680727113,77
1680727114,79
1680727115,78
1680727116,78
1680727117,79
1680727118,79
1680727119,78
1680727120,79
1680727121,79
1680727122,205
1680727123,256
1680727124,255
1680727125,256
1680727126,255
1680727127,256
1680727128,209
1680727129,52
1680727130,65
1680727131,66
1680727132,65
1680727133,65
1680727134,65
1680727135,63
1680727136,63
1680727137,63
1680727138,63
1680727139,63
1680727140,64
1680727141,63
1680727142,65
1680727143,65
1680727144,66
1680727145,67
1680727146,67
1680727147,66
1680727148,67
1680727149,67
1680727150,67
1680727151,67
1680727152,67
1680727153,81
1680727154,256
1680727155,253
1680727156,256
1680727157,255
1680727158,256
1680727159,255
1680727160,241
1680727161,61
1680727162,70
1680727163,71
1680727164,71
1680727165,71
1680727166,71
1680727167,72
1680727168,72
1680727169,71
1680727170,72
1680727171,72
1680727172,72
1680727173,71
1680727174,72
1680727175,71
1680727176,74
1680727177,77
1680727178,78
1680727179,79
1680727180,69
1680727181,67
1680727182,73
1680727183,69
1680727184,67
1680727185,65
1680727186,68
1680727187,68
1680727188,66
1680727189,63
1680727190,62
1680727191,62
1680727192,63
1680727193,64
1680727194,65
1680727195,66
1680727196,64
1680727197,66
1680727198,67
1680727199,67
1680727200,66
1680727201,67
1680727202,69
1680727203,69
1680727204,71
1680727205,71
1680727206,72
1680727207,71
1680727208,69
1680727209,67
1680727210,63
1680727211,64
1680727212,65
1680727213,66
1680727214,62
1680727215,64
1680727216,64
1680727217,63
1680727218,65
1680727219,64
1680727220,66
1680727221,68
1680727222,66
1680727223,64
1680727224,61
1680727225,63
1680727226,63
1680727227,64
1680727228,65
1680727229,65
1680727230,65
1680727231,64
1680727232,65
1680727233,66
1680727234,65
1680727235,64
1680727236,65
1680727237,65
1680727238,65
1680727239,63
1680727240,63
1680727241,63
1680727242,67
1680727243,65
1680727244,63
1680727245,63
1680727246,62
1680727247,60
1680727248,61
1680727249,60
1680727250,60
1680727251,62
1680727252,62
1680727253,62
1680727254,64
1680727255,63
1680727256,59
1680727257,60
1680727258,60
1680727259,61
1680727260,62
1680727261,68
1680727262,67
1680727263,67
1680727264,66
1680727265,64
1680727266,64
1680727267,62
1680727268,61
1680727269,60
1680727270,60
1680727271,61
1680727272,60
1680727273,59
1680727274,58
1680727275,58
1680727276,59
1680727277,58
1680727278,58
1680727279,57
1680727280,59
1680727281,62
1680727282,63
1680727283,61
1680727284,62
1680727285,59
1680727286,59
1680727287,59
1680727288,59
1680727289,60
1680727290,61
1680727291,62
1680727292,66
1680727293,70
1680727294,70
1680727295,70
1680727296,70
1680727297,62
1680727298,62
1680727299,12
