time,FPS
1679078475,26
1679078476,44
1679078477,24
1679078478,51
1679078479,50
1679078480,44
1679078481,48
1679078482,44
1679078483,45
1679078484,49
1679078485,47
1679078486,44
1679078487,51
1679078488,42
1679078489,45
1679078490,43
1679078491,45
1679078492,46
1679078493,41
1679078494,40
1679078495,42
1679078496,43
1679078497,45
1679078498,52
1679078499,55
1679078500,55
1679078501,52
1679078502,54
1679078503,50
1679078504,51
1679078505,55
1679078506,53
1679078507,51
1679078508,54
1679078509,52
1679078510,54
1679078511,52
1679078512,50
1679078513,53
1679078514,54
1679078515,52
1679078516,52
1679078517,51
1679078518,55
1679078519,51
1679078520,58
1679078521,56
1679078522,59
1679078523,54
1679078524,58
1679078525,57
1679078526,57
1679078527,55
1679078528,57
1679078529,40
1679078530,42
1679078531,44
1679078532,39
1679078533,42
1679078534,40
1679078535,42
1679078536,46
1679078537,42
1679078538,43
1679078539,44
1679078540,45
1679078541,44
1679078542,47
1679078543,49
1679078544,46
1679078545,47
1679078546,50
1679078547,47
1679078548,47
1679078549,50
1679078550,49
1679078551,49
1679078552,50
1679078553,48
1679078554,45
1679078555,49
1679078556,50
1679078557,49
1679078558,47
1679078559,43
1679078560,46
1679078561,50
1679078562,49
1679078563,47
1679078564,46
1679078565,46
1679078566,46
1679078567,48
1679078568,44
1679078569,45
1679078570,43
1679078571,51
1679078572,45
1679078573,48
1679078574,52
1679078575,44
1679078576,48
1679078577,130
1679078578,251
1679078579,252
1679078580,253
1679078581,197
1679078582,123
1679078583,126
1679078584,129
1679078585,131
1679078586,130
1679078587,130
1679078588,125
1679078589,126
1679078590,126
1679078591,126
1679078592,126
1679078593,129
1679078594,128
1679078595,127
1679078596,128
1679078597,128
1679078598,128
1679078599,126
1679078600,129
1679078601,126
1679078602,131
1679078603,132
1679078604,132
1679078605,133
1679078606,168
1679078607,255
1679078608,255
1679078609,256
1679078610,156
1679078611,146
1679078612,152
1679078613,153
1679078614,152
1679078615,153
1679078616,153
1679078617,153
1679078618,152
1679078619,154
1679078620,152
1679078621,152
1679078622,151
1679078623,154
1679078624,151
1679078625,150
1679078626,150
1679078627,152
1679078628,152
1679078629,153
1679078630,154
1679078631,155
1679078632,155
1679078633,156
1679078634,157
1679078635,215
1679078636,256
1679078637,254
1679078638,250
1679078639,127
1679078640,132
1679078641,135
1679078642,134
1679078643,134
1679078644,133
1679078645,133
1679078646,132
1679078647,136
1679078648,138
1679078649,139
1679078650,144
1679078651,148
1679078652,151
1679078653,152
1679078654,153
1679078655,153
1679078656,154
1679078657,154
1679078658,155
1679078659,157
1679078660,157
1679078661,157
1679078662,158
1679078663,165
1679078664,254
1679078665,256
1679078666,255
1679078667,254
1679078668,255
1679078669,255
1679078670,136
1679078671,123
1679078672,131
1679078673,132
1679078674,129
1679078675,126
1679078676,125
1679078677,122
1679078678,120
1679078679,118
1679078680,120
1679078681,121
1679078682,122
1679078683,123
1679078684,122
1679078685,124
1679078686,123
1679078687,124
1679078688,123
1679078689,122
1679078690,124
1679078691,123
1679078692,126
1679078693,126
1679078694,126
1679078695,198
1679078696,254
1679078697,255
1679078698,256
1679078699,254
1679078700,255
1679078701,252
1679078702,255
1679078703,243
1679078704,132
1679078705,160
1679078706,160
1679078707,160
1679078708,159
1679078709,161
1679078710,164
1679078711,159
1679078712,163
1679078713,163
1679078714,163
1679078715,164
1679078716,161
1679078717,159
1679078718,164
1679078719,170
1679078720,171
1679078721,173
1679078722,169
1679078723,154
1679078724,156
1679078725,160
1679078726,151
1679078727,143
1679078728,149
1679078729,156
1679078730,157
1679078731,150
1679078732,147
1679078733,146
1679078734,146
1679078735,146
1679078736,147
1679078737,151
1679078738,147
1679078739,155
1679078740,158
1679078741,156
1679078742,155
1679078743,154
1679078744,153
1679078745,164
1679078746,165
1679078747,163
1679078748,165
1679078749,163
1679078750,158
1679078751,150
1679078752,149
1679078753,150
1679078754,154
1679078755,153
1679078756,152
1679078757,155
1679078758,158
1679078759,157
1679078760,155
1679078761,156
1679078762,159
1679078763,164
1679078764,158
1679078765,160
1679078766,152
1679078767,150
1679078768,151
1679078769,149
1679078770,153
1679078771,154
1679078772,154
1679078773,151
1679078774,159
1679078775,160
1679078776,159
1679078777,158
1679078778,158
1679078779,157
1679078780,156
1679078781,157
1679078782,159
1679078783,168
1679078784,167
1679078785,158
1679078786,149
1679078787,148
1679078788,147
1679078789,146
1679078790,148
1679078791,148
1679078792,149
1679078793,151
1679078794,151
1679078795,146
1679078796,144
1679078797,145
1679078798,149
1679078799,146
1679078800,151
1679078801,168
1679078802,161
1679078803,158
1679078804,160
1679078805,157
1679078806,159
1679078807,146
1679078808,145
1679078809,144
1679078810,149
1679078811,148
1679078812,147
1679078813,144
1679078814,144
1679078815,143
1679078816,141
1679078817,141
1679078818,141
1679078819,142
1679078820,145
1679078821,145
1679078822,141
1679078823,141
1679078824,136
1679078825,133
1679078826,135
1679078827,129
1679078828,125
1679078829,127
1679078830,127
1679078831,130
1679078832,134
1679078833,140
1679078834,139
1679078835,138
1679078836,136
1679078837,137
1679078838,139
1679078839,141
1679078840,140
1679078841,87
