time,FPS
1675473659,44
1675473660,42
1675473661,24
1675473662,52
1675473663,51
1675473664,51
1675473665,50
1675473666,50
1675473667,50
1675473668,51
1675473669,54
1675473670,52
1675473671,52
1675473672,46
1675473673,46
1675473674,41
1675473675,44
1675473676,41
1675473677,44
1675473678,43
1675473679,41
1675473680,45
1675473681,48
1675473682,51
1675473683,51
1675473684,52
1675473685,51
1675473686,51
1675473687,52
1675473688,54
1675473689,51
1675473690,51
1675473691,54
1675473692,53
1675473693,51
1675473694,52
1675473695,52
1675473696,50
1675473697,53
1675473698,51
1675473699,52
1675473700,56
1675473701,57
1675473702,54
1675473703,53
1675473704,56
1675473705,54
1675473706,54
1675473707,55
1675473708,48
1675473709,42
1675473710,44
1675473711,47
1675473712,46
1675473713,43
1675473714,46
1675473715,44
1675473716,45
1675473717,45
1675473718,43
1675473719,41
1675473720,43
1675473721,45
1675473722,54
1675473723,57
1675473724,51
1675473725,52
1675473726,59
1675473727,58
1675473728,58
1675473729,56
1675473730,59
1675473731,59
1675473732,55
1675473733,49
1675473734,56
1675473735,58
1675473736,53
1675473737,54
1675473738,55
1675473739,56
1675473740,54
1675473741,55
1675473742,56
1675473743,56
1675473744,53
1675473745,58
1675473746,56
1675473747,56
1675473748,52
1675473749,58
1675473750,56
1675473751,56
1675473752,53
1675473753,54
1675473754,55
1675473755,60
1675473756,93
1675473757,253
1675473758,253
1675473759,246
1675473760,253
1675473761,170
1675473762,105
1675473763,101
1675473764,107
1675473765,108
1675473766,108
1675473767,108
1675473768,109
1675473769,109
1675473770,106
1675473771,106
1675473772,106
1675473773,108
1675473774,108
1675473775,106
1675473776,108
1675473777,109
1675473778,109
1675473779,108
1675473780,106
1675473781,105
1675473782,106
1675473783,110
1675473784,110
1675473785,111
1675473786,182
1675473787,254
1675473788,256
1675473789,254
1675473790,180
1675473791,138
1675473792,152
1675473793,152
1675473794,150
1675473795,145
1675473796,148
1675473797,146
1675473798,148
1675473799,143
1675473800,146
1675473801,148
1675473802,147
1675473803,150
1675473804,147
1675473805,144
1675473806,145
1675473807,143
1675473808,148
1675473809,150
1675473810,149
1675473811,149
1675473812,150
1675473813,149
1675473814,151
1675473815,194
1675473816,255
1675473817,254
1675473818,254
1675473819,189
1675473820,135
1675473821,120
1675473822,119
1675473823,119
1675473824,119
1675473825,120
1675473826,119
1675473827,125
1675473828,129
1675473829,136
1675473830,138
1675473831,143
1675473832,146
1675473833,151
1675473834,151
1675473835,152
1675473836,153
1675473837,152
1675473838,154
1675473839,155
1675473840,154
1675473841,155
1675473842,157
1675473843,156
1675473844,195
1675473845,255
1675473846,254
1675473847,254
1675473848,252
1675473849,253
1675473850,255
1675473851,254
1675473852,218
1675473853,90
1675473854,114
1675473855,113
1675473856,110
1675473857,111
1675473858,108
1675473859,108
1675473860,104
1675473861,103
1675473862,103
1675473863,105
1675473864,105
1675473865,108
1675473866,107
1675473867,107
1675473868,108
1675473869,105
1675473870,106
1675473871,105
1675473872,104
1675473873,107
1675473874,108
1675473875,110
1675473876,110
1675473877,127
1675473878,255
1675473879,255
1675473880,255
1675473881,254
1675473882,255
1675473883,256
1675473884,254
1675473885,253
1675473886,255
1675473887,133
1675473888,158
1675473889,158
1675473890,158
1675473891,158
1675473892,160
1675473893,162
1675473894,162
1675473895,162
1675473896,163
1675473897,163
1675473898,160
1675473899,161
1675473900,158
1675473901,162
1675473902,166
1675473903,167
1675473904,166
1675473905,162
1675473906,149
1675473907,142
1675473908,140
1675473909,141
1675473910,141
1675473911,135
1675473912,134
1675473913,140
1675473914,142
1675473915,143
1675473916,143
1675473917,146
1675473918,145
1675473919,145
1675473920,146
1675473921,148
1675473922,149
1675473923,149
1675473924,156
1675473925,159
1675473926,153
1675473927,152
1675473928,156
1675473929,162
1675473930,161
1675473931,159
1675473932,162
1675473933,161
1675473934,152
1675473935,152
1675473936,148
1675473937,149
1675473938,153
1675473939,149
1675473940,153
1675473941,149
1675473942,153
1675473943,151
1675473944,152
1675473945,151
1675473946,150
1675473947,152
1675473948,155
1675473949,156
1675473950,149
1675473951,149
1675473952,144
1675473953,148
1675473954,153
1675473955,151
1675473956,154
1675473957,151
1675473958,155
1675473959,155
1675473960,155
1675473961,154
1675473962,156
1675473963,156
1675473964,156
1675473965,155
1675473966,155
1675473967,156
1675473968,160
1675473969,160
1675473970,156
1675473971,146
1675473972,150
1675473973,148
1675473974,146
1675473975,147
1675473976,147
1675473977,148
1675473978,150
1675473979,151
1675473980,153
1675473981,151
1675473982,147
1675473983,147
1675473984,148
1675473985,148
1675473986,150
1675473987,157
1675473988,162
1675473989,159
1675473990,148
1675473991,158
1675473992,155
1675473993,153
1675473994,148
1675473995,143
1675473996,142
1675473997,147
1675473998,146
1675473999,146
1675474000,141
1675474001,143
1675474002,141
1675474003,139
1675474004,140
1675474005,138
1675474006,140
1675474007,143
1675474008,144
1675474009,139
1675474010,139
1675474011,134
1675474012,132
1675474013,134
1675474014,132
1675474015,129
1675474016,130
1675474017,130
1675474018,132
1675474019,134
1675474020,132
