time,FPS
1675900551,14
1675900552,51
1675900553,36
1675900554,35
1675900555,47
1675900556,45
1675900557,43
1675900558,49
1675900559,48
1675900560,48
1675900561,44
1675900562,46
1675900563,47
1675900564,44
1675900565,47
1675900566,44
1675900567,41
1675900568,46
1675900569,45
1675900570,45
1675900571,44
1675900572,49
1675900573,47
1675900574,50
1675900575,55
1675900576,50
1675900577,49
1675900578,51
1675900579,53
1675900580,54
1675900581,56
1675900582,54
1675900583,50
1675900584,55
1675900585,51
1675900586,54
1675900587,51
1675900588,55
1675900589,52
1675900590,54
1675900591,51
1675900592,51
1675900593,51
1675900594,54
1675900595,51
1675900596,53
1675900597,58
1675900598,57
1675900599,55
1675900600,56
1675900601,56
1675900602,57
1675900603,56
1675900604,57
1675900605,46
1675900606,42
1675900607,40
1675900608,41
1675900609,41
1675900610,42
1675900611,43
1675900612,45
1675900613,42
1675900614,44
1675900615,45
1675900616,44
1675900617,45
1675900618,49
1675900619,50
1675900620,48
1675900621,45
1675900622,43
1675900623,47
1675900624,52
1675900625,47
1675900626,48
1675900627,45
1675900628,51
1675900629,46
1675900630,46
1675900631,48
1675900632,49
1675900633,52
1675900634,47
1675900635,50
1675900636,50
1675900637,49
1675900638,49
1675900639,53
1675900640,43
1675900641,49
1675900642,47
1675900643,46
1675900644,46
1675900645,48
1675900646,53
1675900647,47
1675900648,47
1675900649,48
1675900650,47
1675900651,48
1675900652,43
1675900653,76
1675900654,252
1675900655,254
1675900656,246
1675900657,254
1675900658,89
1675900659,114
1675900660,111
1675900661,112
1675900662,112
1675900663,110
1675900664,117
1675900665,118
1675900666,118
1675900667,112
1675900668,117
1675900669,116
1675900670,117
1675900671,117
1675900672,118
1675900673,120
1675900674,119
1675900675,118
1675900676,120
1675900677,117
1675900678,121
1675900679,122
1675900680,121
1675900681,123
1675900682,129
1675900683,255
1675900684,256
1675900685,255
1675900686,192
1675900687,143
1675900688,158
1675900689,156
1675900690,153
1675900691,152
1675900692,152
1675900693,156
1675900694,156
1675900695,155
1675900696,155
1675900697,155
1675900698,153
1675900699,157
1675900700,155
1675900701,153
1675900702,154
1675900703,154
1675900704,156
1675900705,156
1675900706,156
1675900707,157
1675900708,158
1675900709,154
1675900710,153
1675900711,194
1675900712,255
1675900713,248
1675900714,254
1675900715,145
1675900716,136
1675900717,134
1675900718,134
1675900719,134
1675900720,134
1675900721,130
1675900722,134
1675900723,134
1675900724,135
1675900725,140
1675900726,141
1675900727,147
1675900728,150
1675900729,152
1675900730,152
1675900731,152
1675900732,154
1675900733,154
1675900734,155
1675900735,156
1675900736,157
1675900737,157
1675900738,157
1675900739,158
1675900740,240
1675900741,255
1675900742,254
1675900743,254
1675900744,255
1675900745,256
1675900746,253
1675900747,178
1675900748,120
1675900749,129
1675900750,130
1675900751,130
1675900752,127
1675900753,127
1675900754,123
1675900755,120
1675900756,118
1675900757,120
1675900758,121
1675900759,122
1675900760,121
1675900761,124
1675900762,122
1675900763,124
1675900764,122
1675900765,123
1675900766,123
1675900767,123
1675900768,125
1675900769,126
1675900770,125
1675900771,126
1675900772,160
1675900773,255
1675900774,254
1675900775,256
1675900776,254
1675900777,255
1675900778,255
1675900779,254
1675900780,256
1675900781,159
1675900782,159
1675900783,160
1675900784,155
1675900785,159
1675900786,160
1675900787,163
1675900788,161
1675900789,160
1675900790,163
1675900791,164
1675900792,161
1675900793,165
1675900794,157
1675900795,158
1675900796,167
1675900797,169
1675900798,172
1675900799,172
1675900800,165
1675900801,154
1675900802,157
1675900803,158
1675900804,149
1675900805,145
1675900806,151
1675900807,156
1675900808,158
1675900809,149
1675900810,149
1675900811,147
1675900812,143
1675900813,148
1675900814,148
1675900815,153
1675900816,150
1675900817,157
1675900818,160
1675900819,157
1675900820,153
1675900821,154
1675900822,157
1675900823,163
1675900824,163
1675900825,164
1675900826,166
1675900827,157
1675900828,155
1675900829,149
1675900830,146
1675900831,152
1675900832,153
1675900833,154
1675900834,152
1675900835,154
1675900836,153
1675900837,151
1675900838,154
1675900839,151
1675900840,154
1675900841,159
1675900842,159
1675900843,153
1675900844,148
1675900845,149
1675900846,147
1675900847,148
1675900848,152
1675900849,152
1675900850,151
1675900851,151
1675900852,160
1675900853,156
1675900854,156
1675900855,158
1675900856,157
1675900857,161
1675900858,159
1675900859,159
1675900860,158
1675900861,157
1675900862,164
1675900863,161
1675900864,154
1675900865,154
1675900866,151
1675900867,150
1675900868,148
1675900869,149
1675900870,148
1675900871,151
1675900872,152
1675900873,152
1675900874,153
1675900875,149
1675900876,148
1675900877,149
1675900878,150
1675900879,150
1675900880,154
1675900881,170
1675900882,162
1675900883,160
1675900884,155
1675900885,158
1675900886,154
1675900887,154
1675900888,145
1675900889,143
1675900890,144
1675900891,148
1675900892,146
1675900893,142
1675900894,143
1675900895,143
1675900896,143
1675900897,142
1675900898,141
1675900899,141
1675900900,143
1675900901,146
1675900902,145
1675900903,142
1675900904,143
1675900905,138
1675900906,135
1675900907,137
1675900908,135
1675900909,132
1675900910,134
1675900911,134
1675900912,136
1675900913,140
1675900914,138
1675900915,141
1675900916,138
1675900917,135
1675900918,102
