time,FPS
1675106484,32
1675106485,44
1675106486,28
1675106487,46
1675106488,51
1675106489,42
1675106490,46
1675106491,43
1675106492,50
1675106493,45
1675106494,44
1675106495,46
1675106496,43
1675106497,45
1675106498,41
1675106499,39
1675106500,42
1675106501,44
1675106502,41
1675106503,43
1675106504,44
1675106505,41
1675106506,47
1675106507,45
1675106508,49
1675106509,46
1675106510,49
1675106511,47
1675106512,50
1675106513,41
1675106514,43
1675106515,47
1675106516,49
1675106517,45
1675106518,47
1675106519,45
1675106520,42
1675106521,47
1675106522,46
1675106523,45
1675106524,47
1675106525,46
1675106526,46
1675106527,39
1675106528,44
1675106529,47
1675106530,52
1675106531,54
1675106532,56
1675106533,52
1675106534,53
1675106535,52
1675106536,53
1675106537,54
1675106538,53
1675106539,46
1675106540,43
1675106541,42
1675106542,46
1675106543,43
1675106544,43
1675106545,42
1675106546,45
1675106547,45
1675106548,42
1675106549,45
1675106550,42
1675106551,41
1675106552,42
1675106553,45
1675106554,43
1675106555,46
1675106556,44
1675106557,43
1675106558,44
1675106559,39
1675106560,48
1675106561,42
1675106562,41
1675106563,45
1675106564,45
1675106565,40
1675106566,46
1675106567,48
1675106568,44
1675106569,43
1675106570,49
1675106571,44
1675106572,42
1675106573,45
1675106574,40
1675106575,43
1675106576,45
1675106577,44
1675106578,46
1675106579,44
1675106580,42
1675106581,45
1675106582,47
1675106583,46
1675106584,44
1675106585,47
1675106586,47
1675106587,69
1675106588,255
1675106589,256
1675106590,252
1675106591,247
1675106592,101
1675106593,123
1675106594,126
1675106595,130
1675106596,129
1675106597,124
1675106598,127
1675106599,127
1675106600,127
1675106601,125
1675106602,127
1675106603,127
1675106604,127
1675106605,126
1675106606,127
1675106607,127
1675106608,129
1675106609,131
1675106610,130
1675106611,130
1675106612,131
1675106613,129
1675106614,127
1675106615,133
1675106616,143
1675106617,256
1675106618,255
1675106619,256
1675106620,216
1675106621,135
1675106622,158
1675106623,155
1675106624,157
1675106625,157
1675106626,156
1675106627,155
1675106628,154
1675106629,158
1675106630,153
1675106631,157
1675106632,151
1675106633,153
1675106634,155
1675106635,154
1675106636,151
1675106637,154
1675106638,156
1675106639,157
1675106640,157
1675106641,152
1675106642,157
1675106643,153
1675106644,155
1675106645,181
1675106646,256
1675106647,255
1675106648,256
1675106649,137
1675106650,136
1675106651,136
1675106652,135
1675106653,135
1675106654,135
1675106655,133
1675106656,133
1675106657,133
1675106658,136
1675106659,137
1675106660,141
1675106661,144
1675106662,148
1675106663,150
1675106664,150
1675106665,151
1675106666,151
1675106667,151
1675106668,153
1675106669,154
1675106670,154
1675106671,155
1675106672,154
1675106673,155
1675106674,246
1675106675,255
1675106676,256
1675106677,254
1675106678,256
1675106679,249
1675106680,119
1675106681,128
1675106682,132
1675106683,132
1675106684,130
1675106685,129
1675106686,125
1675106687,123
1675106688,122
1675106689,122
1675106690,123
1675106691,125
1675106692,124
1675106693,125
1675106694,125
1675106695,126
1675106696,126
1675106697,126
1675106698,126
1675106699,124
1675106700,128
1675106701,127
1675106702,127
1675106703,125
1675106704,128
1675106705,227
1675106706,255
1675106707,256
1675106708,254
1675106709,255
1675106710,254
1675106711,254
1675106712,255
1675106713,173
1675106714,159
1675106715,158
1675106716,159
1675106717,159
1675106718,160
1675106719,162
1675106720,158
1675106721,162
1675106722,163
1675106723,161
1675106724,161
1675106725,159
1675106726,159
1675106727,160
1675106728,166
1675106729,169
1675106730,172
1675106731,174
1675106732,158
1675106733,151
1675106734,158
1675106735,152
1675106736,146
1675106737,145
1675106738,151
1675106739,152
1675106740,154
1675106741,146
1675106742,145
1675106743,146
1675106744,147
1675106745,148
1675106746,148
1675106747,150
1675106748,149
1675106749,158
1675106750,159
1675106751,154
1675106752,150
1675106753,153
1675106754,161
1675106755,161
1675106756,164
1675106757,158
1675106758,164
1675106759,155
1675106760,155
1675106761,148
1675106762,147
1675106763,152
1675106764,150
1675106765,152
1675106766,151
1675106767,154
1675106768,155
1675106769,154
1675106770,152
1675106771,153
1675106772,159
1675106773,157
1675106774,158
1675106775,152
1675106776,149
1675106777,148
1675106778,147
1675106779,150
1675106780,153
1675106781,153
1675106782,152
1675106783,152
1675106784,160
1675106785,159
1675106786,157
1675106787,155
1675106788,158
1675106789,156
1675106790,156
1675106791,157
1675106792,159
1675106793,166
1675106794,162
1675106795,158
1675106796,156
1675106797,151
1675106798,148
1675106799,146
1675106800,147
1675106801,148
1675106802,148
1675106803,149
1675106804,146
1675106805,144
1675106806,146
1675106807,144
1675106808,148
1675106809,150
1675106810,168
1675106811,162
1675106812,162
1675106813,160
1675106814,157
1675106815,160
1675106816,151
1675106817,143
1675106818,142
1675106819,146
1675106820,148
1675106821,147
1675106822,143
1675106823,141
1675106824,141
1675106825,140
1675106826,140
1675106827,138
1675106828,139
1675106829,142
1675106830,146
1675106831,141
1675106832,140
1675106833,138
1675106834,133
1675106835,133
1675106836,134
1675106837,127
1675106838,131
1675106839,131
1675106840,137
1675106841,139
1675106842,144
1675106843,145
1675106844,148
1675106845,139
1675106846,139
1675106847,142
1675106848,145
1675106849,145
1675106850,145
1675106851,144
1675106852,84
