time,FPS
1675900952,35
1675900953,39
1675900954,27
1675900955,52
1675900956,46
1675900957,45
1675900958,46
1675900959,45
1675900960,51
1675900961,46
1675900962,47
1675900963,45
1675900964,46
1675900965,43
1675900966,42
1675900967,43
1675900968,46
1675900969,47
1675900970,44
1675900971,44
1675900972,47
1675900973,42
1675900974,51
1675900975,52
1675900976,51
1675900977,52
1675900978,51
1675900979,52
1675900980,53
1675900981,53
1675900982,52
1675900983,48
1675900984,55
1675900985,51
1675900986,53
1675900987,55
1675900988,54
1675900989,55
1675900990,54
1675900991,56
1675900992,52
1675900993,52
1675900994,50
1675900995,53
1675900996,51
1675900997,58
1675900998,59
1675900999,56
1675901000,57
1675901001,57
1675901002,58
1675901003,57
1675901004,56
1675901005,55
1675901006,41
1675901007,41
1675901008,43
1675901009,42
1675901010,39
1675901011,47
1675901012,43
1675901013,44
1675901014,45
1675901015,44
1675901016,46
1675901017,46
1675901018,44
1675901019,53
1675901020,44
1675901021,44
1675901022,47
1675901023,45
1675901024,49
1675901025,44
1675901026,47
1675901027,48
1675901028,49
1675901029,48
1675901030,49
1675901031,43
1675901032,46
1675901033,50
1675901034,51
1675901035,49
1675901036,47
1675901037,49
1675901038,51
1675901039,48
1675901040,48
1675901041,44
1675901042,48
1675901043,47
1675901044,45
1675901045,49
1675901046,50
1675901047,48
1675901048,52
1675901049,48
1675901050,48
1675901051,45
1675901052,52
1675901053,47
1675901054,195
1675901055,251
1675901056,247
1675901057,254
1675901058,146
1675901059,123
1675901060,127
1675901061,127
1675901062,129
1675901063,130
1675901064,128
1675901065,126
1675901066,132
1675901067,129
1675901068,127
1675901069,128
1675901070,127
1675901071,127
1675901072,127
1675901073,126
1675901074,129
1675901075,128
1675901076,128
1675901077,131
1675901078,133
1675901079,133
1675901080,132
1675901081,132
1675901082,131
1675901083,211
1675901084,254
1675901085,254
1675901086,256
1675901087,116
1675901088,154
1675901089,150
1675901090,154
1675901091,153
1675901092,152
1675901093,152
1675901094,150
1675901095,151
1675901096,149
1675901097,150
1675901098,149
1675901099,152
1675901100,153
1675901101,150
1675901102,149
1675901103,150
1675901104,152
1675901105,152
1675901106,153
1675901107,151
1675901108,152
1675901109,153
1675901110,156
1675901111,157
1675901112,245
1675901113,255
1675901114,256
1675901115,200
1675901116,145
1675901117,136
1675901118,136
1675901119,135
1675901120,135
1675901121,134
1675901122,135
1675901123,135
1675901124,138
1675901125,138
1675901126,142
1675901127,146
1675901128,150
1675901129,153
1675901130,153
1675901131,154
1675901132,155
1675901133,155
1675901134,156
1675901135,157
1675901136,158
1675901137,158
1675901138,159
1675901139,159
1675901140,195
1675901141,254
1675901142,254
1675901143,249
1675901144,252
1675901145,256
1675901146,255
1675901147,252
1675901148,119
1675901149,127
1675901150,131
1675901151,131
1675901152,129
1675901153,128
1675901154,126
1675901155,124
1675901156,121
1675901157,121
1675901158,122
1675901159,124
1675901160,124
1675901161,124
1675901162,125
1675901163,125
1675901164,125
1675901165,124
1675901166,124
1675901167,124
1675901168,124
1675901169,126
1675901170,127
1675901171,126
1675901172,126
1675901173,217
1675901174,254
1675901175,255
1675901176,255
1675901177,255
1675901178,255
1675901179,254
1675901180,255
1675901181,220
1675901182,148
1675901183,160
1675901184,159
1675901185,160
1675901186,160
1675901187,160
1675901188,163
1675901189,163
1675901190,157
1675901191,163
1675901192,163
1675901193,164
1675901194,156
1675901195,163
1675901196,165
1675901197,169
1675901198,173
1675901199,173
1675901200,168
1675901201,153
1675901202,153
1675901203,161
1675901204,150
1675901205,145
1675901206,148
1675901207,155
1675901208,155
1675901209,150
1675901210,147
1675901211,147
1675901212,144
1675901213,148
1675901214,149
1675901215,153
1675901216,149
1675901217,157
1675901218,160
1675901219,157
1675901220,153
1675901221,150
1675901222,160
1675901223,165
1675901224,165
1675901225,164
1675901226,165
1675901227,161
1675901228,152
1675901229,150
1675901230,148
1675901231,151
1675901232,153
1675901233,155
1675901234,152
1675901235,156
1675901236,154
1675901237,151
1675901238,154
1675901239,154
1675901240,157
1675901241,162
1675901242,158
1675901243,155
1675901244,148
1675901245,148
1675901246,147
1675901247,150
1675901248,153
1675901249,154
1675901250,151
1675901251,152
1675901252,159
1675901253,156
1675901254,155
1675901255,157
1675901256,159
1675901257,159
1675901258,159
1675901259,159
1675901260,155
1675901261,157
1675901262,158
1675901263,167
1675901264,158
1675901265,154
1675901266,147
1675901267,148
1675901268,147
1675901269,148
1675901270,149
1675901271,151
1675901272,152
1675901273,153
1675901274,151
1675901275,146
1675901276,148
1675901277,148
1675901278,149
1675901279,152
1675901280,167
1675901281,159
1675901282,159
1675901283,150
1675901284,159
1675901285,155
1675901286,156
1675901287,146
1675901288,143
1675901289,144
1675901290,148
1675901291,148
1675901292,146
1675901293,144
1675901294,144
1675901295,144
1675901296,142
1675901297,141
1675901298,142
1675901299,143
1675901300,147
1675901301,145
1675901302,141
1675901303,143
1675901304,137
1675901305,134
1675901306,135
1675901307,130
1675901308,132
1675901309,129
1675901310,132
1675901311,135
1675901312,138
1675901313,140
1675901314,141
1675901315,139
1675901316,136
1675901317,139
1675901318,10
