time,FPS
1680716690,13
1680716691,40
1680716692,22
1680716693,50
1680716694,54
1680716695,53
1680716696,51
1680716697,50
1680716698,52
1680716699,48
1680716700,51
1680716701,51
1680716702,53
1680716703,43
1680716704,44
1680716705,42
1680716706,42
1680716707,41
1680716708,43
1680716709,46
1680716710,42
1680716711,39
1680716712,45
1680716713,48
1680716714,46
1680716715,46
1680716716,46
1680716717,45
1680716718,48
1680716719,47
1680716720,42
1680716721,47
1680716722,46
1680716723,45
1680716724,45
1680716725,45
1680716726,51
1680716727,44
1680716728,52
1680716729,40
1680716730,49
1680716731,40
1680716732,43
1680716733,47
1680716734,45
1680716735,51
1680716736,57
1680716737,57
1680716738,54
1680716739,56
1680716740,58
1680716741,57
1680716742,57
1680716743,57
1680716744,46
1680716745,41
1680716746,39
1680716747,40
1680716748,42
1680716749,44
1680716750,42
1680716751,45
1680716752,41
1680716753,43
1680716754,47
1680716755,49
1680716756,47
1680716757,44
1680716758,49
1680716759,42
1680716760,42
1680716761,44
1680716762,45
1680716763,48
1680716764,46
1680716765,45
1680716766,44
1680716767,44
1680716768,41
1680716769,44
1680716770,43
1680716771,45
1680716772,42
1680716773,45
1680716774,45
1680716775,44
1680716776,44
1680716777,45
1680716778,43
1680716779,41
1680716780,43
1680716781,49
1680716782,48
1680716783,46
1680716784,41
1680716785,44
1680716786,47
1680716787,46
1680716788,41
1680716789,43
1680716790,48
1680716791,42
1680716792,54
1680716793,255
1680716794,256
1680716795,255
1680716796,230
1680716797,95
1680716798,95
1680716799,94
1680716800,94
1680716801,94
1680716802,93
1680716803,92
1680716804,90
1680716805,91
1680716806,90
1680716807,91
1680716808,90
1680716809,92
1680716810,91
1680716811,91
1680716812,93
1680716813,93
1680716814,95
1680716815,94
1680716816,94
1680716817,94
1680716818,94
1680716819,95
1680716820,94
1680716821,124
1680716822,251
1680716823,254
1680716824,254
1680716825,203
1680716826,110
1680716827,113
1680716828,112
1680716829,112
1680716830,111
1680716831,111
1680716832,110
1680716833,111
1680716834,110
1680716835,110
1680716836,106
1680716837,105
1680716838,108
1680716839,105
1680716840,106
1680716841,103
1680716842,106
1680716843,105
1680716844,107
1680716845,106
1680716846,107
1680716847,108
1680716848,108
1680716849,108
1680716850,163
1680716851,256
1680716852,254
1680716853,212
1680716854,105
1680716855,102
1680716856,102
1680716857,101
1680716858,101
1680716859,101
1680716860,100
1680716861,100
1680716862,100
1680716863,100
1680716864,102
1680716865,105
1680716866,106
1680716867,108
1680716868,109
1680716869,108
1680716870,109
1680716871,110
1680716872,109
1680716873,111
1680716874,110
1680716875,111
1680716876,111
1680716877,111
1680716878,157
1680716879,255
1680716880,252
1680716881,255
1680716882,255
1680716883,256
1680716884,143
1680716885,92
1680716886,95
1680716887,95
1680716888,96
1680716889,97
1680716890,94
1680716891,92
1680716892,92
1680716893,91
1680716894,93
1680716895,94
1680716896,93
1680716897,94
1680716898,93
1680716899,94
1680716900,94
1680716901,95
1680716902,92
1680716903,91
1680716904,91
1680716905,93
1680716906,92
1680716907,92
1680716908,92
1680716909,209
1680716910,255
1680716911,255
1680716912,255
1680716913,256
1680716914,255
1680716915,149
1680716916,115
1680716917,115
1680716918,114
1680716919,115
1680716920,115
1680716921,117
1680716922,116
1680716923,116
1680716924,115
1680716925,116
1680716926,116
1680716927,114
1680716928,115
1680716929,116
1680716930,119
1680716931,119
1680716932,122
1680716933,124
1680716934,104
1680716935,104
1680716936,107
1680716937,104
1680716938,99
1680716939,98
1680716940,102
1680716941,103
1680716942,101
1680716943,97
1680716944,97
1680716945,99
1680716946,99
1680716947,103
1680716948,105
1680716949,104
1680716950,104
1680716951,108
1680716952,108
1680716953,105
1680716954,103
1680716955,105
1680716956,110
1680716957,111
1680716958,113
1680716959,112
1680716960,111
1680716961,108
1680716962,106
1680716963,101
1680716964,100
1680716965,101
1680716966,101
1680716967,103
1680716968,100
1680716969,102
1680716970,102
1680716971,100
1680716972,100
1680716973,101
1680716974,105
1680716975,103
1680716976,103
1680716977,99
1680716978,98
1680716979,99
1680716980,98
1680716981,102
1680716982,102
1680716983,104
1680716984,102
1680716985,103
1680716986,102
1680716987,100
1680716988,99
1680716989,99
1680716990,101
1680716991,102
1680716992,99
1680716993,99
1680716994,100
1680716995,105
1680716996,101
1680716997,100
1680716998,97
1680716999,98
1680717000,97
1680717001,97
1680717002,98
1680717003,99
1680717004,99
1680717005,100
1680717006,99
1680717007,96
1680717008,96
1680717009,98
1680717010,97
1680717011,99
1680717012,108
1680717013,101
1680717014,101
1680717015,101
1680717016,99
1680717017,99
1680717018,99
1680717019,93
1680717020,93
1680717021,92
1680717022,94
1680717023,94
1680717024,93
1680717025,91
1680717026,90
1680717027,92
1680717028,90
1680717029,90
1680717030,92
1680717031,92
1680717032,95
1680717033,95
1680717034,93
1680717035,92
1680717036,88
1680717037,88
1680717038,90
1680717039,89
1680717040,90
1680717041,91
1680717042,93
1680717043,95
1680717044,99
1680717045,101
1680717046,101
1680717047,99
1680717048,95
1680717049,96
1680717050,96
1680717051,96
1680717052,96
1680717053,97
1680717054,96
1680717055,96
1680717056,92
