time,FPS
1678128813,4
1678128814,50
1678128815,33
1678128816,42
1678128817,47
1678128818,42
1678128819,41
1678128820,41
1678128821,42
1678128822,48
1678128823,38
1678128824,42
1678128825,45
1678128826,42
1678128827,42
1678128828,42
1678128829,42
1678128830,42
1678128831,42
1678128832,39
1678128833,38
1678128834,40
1678128835,44
1678128836,52
1678128837,53
1678128838,55
1678128839,50
1678128840,54
1678128841,50
1678128842,53
1678128843,50
1678128844,49
1678128845,53
1678128846,50
1678128847,50
1678128848,51
1678128849,49
1678128850,52
1678128851,50
1678128852,52
1678128853,53
1678128854,52
1678128855,48
1678128856,53
1678128857,50
1678128858,46
1678128859,60
1678128860,58
1678128861,59
1678128862,55
1678128863,58
1678128864,59
1678128865,57
1678128866,57
1678128867,57
1678128868,41
1678128869,42
1678128870,45
1678128871,38
1678128872,42
1678128873,39
1678128874,41
1678128875,40
1678128876,41
1678128877,41
1678128878,42
1678128879,40
1678128880,45
1678128881,44
1678128882,47
1678128883,44
1678128884,46
1678128885,48
1678128886,45
1678128887,45
1678128888,42
1678128889,46
1678128890,47
1678128891,45
1678128892,43
1678128893,43
1678128894,47
1678128895,42
1678128896,42
1678128897,47
1678128898,46
1678128899,42
1678128900,44
1678128901,42
1678128902,46
1678128903,45
1678128904,43
1678128905,49
1678128906,47
1678128907,42
1678128908,45
1678128909,43
1678128910,43
1678128911,45
1678128912,45
1678128913,46
1678128914,43
1678128915,48
1678128916,127
1678128917,254
1678128918,254
1678128919,242
1678128920,254
1678128921,135
1678128922,187
1678128923,187
1678128924,188
1678128925,188
1678128926,188
1678128927,187
1678128928,189
1678128929,188
1678128930,182
1678128931,180
1678128932,181
1678128933,180
1678128934,179
1678128935,181
1678128936,179
1678128937,181
1678128938,182
1678128939,182
1678128940,182
1678128941,184
1678128942,185
1678128943,187
1678128944,189
1678128945,193
1678128946,254
1678128947,254
1678128948,252
1678128949,217
1678128950,190
1678128951,208
1678128952,217
1678128953,221
1678128954,218
1678128955,216
1678128956,216
1678128957,216
1678128958,216
1678128959,216
1678128960,215
1678128961,214
1678128962,220
1678128963,218
1678128964,215
1678128965,215
1678128966,217
1678128967,217
1678128968,218
1678128969,218
1678128970,219
1678128971,218
1678128972,218
1678128973,218
1678128974,230
1678128975,255
1678128976,255
1678128977,252
1678128978,200
1678128979,159
1678128980,143
1678128981,144
1678128982,144
1678128983,143
1678128984,144
1678128985,145
1678128986,152
1678128987,161
1678128988,173
1678128989,183
1678128990,195
1678128991,211
1678128992,215
1678128993,215
1678128994,215
1678128995,217
1678128996,216
1678128997,219
1678128998,218
1678128999,223
1678129000,221
1678129001,222
1678129002,221
1678129003,248
1678129004,255
1678129005,255
1678129006,255
1678129007,253
1678129008,252
1678129009,168
1678129010,141
1678129011,147
1678129012,147
1678129013,147
1678129014,142
1678129015,142
1678129016,137
1678129017,133
1678129018,132
1678129019,133
1678129020,136
1678129021,136
1678129022,138
1678129023,137
1678129024,137
1678129025,139
1678129026,138
1678129027,136
1678129028,135
1678129029,138
1678129030,139
1678129031,144
1678129032,144
1678129033,144
1678129034,206
1678129035,255
1678129036,255
1678129037,254
1678129038,255
1678129039,254
1678129040,231
1678129041,196
1678129042,214
1678129043,215
1678129044,213
1678129045,215
1678129046,216
1678129047,217
1678129048,216
1678129049,219
1678129050,218
1678129051,219
1678129052,216
1678129053,216
1678129054,218
1678129055,225
1678129056,218
1678129057,217
1678129058,208
1678129059,200
1678129060,198
1678129061,189
1678129062,190
1678129063,187
1678129064,182
1678129065,188
1678129066,193
1678129067,196
1678129068,191
1678129069,194
1678129070,190
1678129071,193
1678129072,194
1678129073,199
1678129074,204
1678129075,209
1678129076,202
1678129077,209
1678129078,213
1678129079,208
1678129080,210
1678129081,216
1678129082,217
1678129083,212
1678129084,210
1678129085,213
1678129086,212
1678129087,215
1678129088,211
1678129089,210
1678129090,207
1678129091,198
1678129092,195
1678129093,197
1678129094,194
1678129095,200
1678129096,198
1678129097,197
1678129098,198
1678129099,199
1678129100,206
1678129101,213
1678129102,209
1678129103,212
1678129104,220
1678129105,218
1678129106,213
1678129107,218
1678129108,216
1678129109,216
1678129110,215
1678129111,218
1678129112,211
1678129113,213
1678129114,210
1678129115,213
1678129116,211
1678129117,207
1678129118,210
1678129119,213
1678129120,223
1678129121,218
1678129122,217
1678129123,215
1678129124,212
1678129125,212
1678129126,213
1678129127,216
1678129128,218
1678129129,217
1678129130,216
1678129131,211
1678129132,215
1678129133,214
1678129134,214
1678129135,217
1678129136,215
1678129137,220
1678129138,216
1678129139,206
1678129140,206
1678129141,213
1678129142,207
1678129143,209
1678129144,205
1678129145,201
1678129146,201
1678129147,207
1678129148,210
1678129149,208
1678129150,204
1678129151,202
1678129152,202
1678129153,206
1678129154,202
1678129155,205
1678129156,205
1678129157,209
1678129158,203
1678129159,201
1678129160,204
1678129161,197
1678129162,198
1678129163,200
1678129164,185
1678129165,184
1678129166,186
1678129167,188
1678129168,191
1678129169,195
1678129170,196
1678129171,197
1678129172,187
1678129173,194
1678129174,196
1678129175,194
1678129176,195
1678129177,195
1678129178,195
1678129179,194
1678129180,141
