time,FPS
1675725958,39
1675725959,34
1675725960,33
1675725961,46
1675725962,48
1675725963,46
1675725964,43
1675725965,46
1675725966,45
1675725967,41
1675725968,46
1675725969,46
1675725970,46
1675725971,48
1675725972,43
1675725973,47
1675725974,43
1675725975,42
1675725976,44
1675725977,46
1675725978,41
1675725979,49
1675725980,51
1675725981,47
1675725982,47
1675725983,45
1675725984,47
1675725985,51
1675725986,49
1675725987,49
1675725988,45
1675725989,50
1675725990,47
1675725991,48
1675725992,50
1675725993,47
1675725994,46
1675725995,48
1675725996,50
1675725997,45
1675725998,47
1675725999,44
1675726000,46
1675726001,46
1675726002,50
1675726003,51
1675726004,50
1675726005,54
1675726006,53
1675726007,51
1675726008,54
1675726009,53
1675726010,53
1675726011,55
1675726012,53
1675726013,49
1675726014,44
1675726015,44
1675726016,42
1675726017,46
1675726018,47
1675726019,43
1675726020,43
1675726021,43
1675726022,49
1675726023,42
1675726024,48
1675726025,47
1675726026,49
1675726027,49
1675726028,47
1675726029,49
1675726030,46
1675726031,44
1675726032,47
1675726033,46
1675726034,48
1675726035,46
1675726036,45
1675726037,49
1675726038,51
1675726039,45
1675726040,48
1675726041,51
1675726042,55
1675726043,44
1675726044,53
1675726045,48
1675726046,46
1675726047,47
1675726048,46
1675726049,45
1675726050,45
1675726051,50
1675726052,46
1675726053,50
1675726054,48
1675726055,43
1675726056,48
1675726057,46
1675726058,50
1675726059,43
1675726060,45
1675726061,67
1675726062,254
1675726063,252
1675726064,251
1675726065,241
1675726066,109
1675726067,125
1675726068,127
1675726069,131
1675726070,131
1675726071,131
1675726072,125
1675726073,132
1675726074,131
1675726075,129
1675726076,130
1675726077,128
1675726078,129
1675726079,126
1675726080,126
1675726081,127
1675726082,126
1675726083,125
1675726084,130
1675726085,130
1675726086,132
1675726087,134
1675726088,133
1675726089,134
1675726090,146
1675726091,255
1675726092,254
1675726093,255
1675726094,220
1675726095,123
1675726096,158
1675726097,152
1675726098,155
1675726099,154
1675726100,154
1675726101,154
1675726102,154
1675726103,154
1675726104,154
1675726105,154
1675726106,150
1675726107,155
1675726108,153
1675726109,150
1675726110,151
1675726111,150
1675726112,154
1675726113,155
1675726114,156
1675726115,156
1675726116,158
1675726117,158
1675726118,159
1675726119,179
1675726120,255
1675726121,256
1675726122,255
1675726123,135
1675726124,138
1675726125,138
1675726126,137
1675726127,134
1675726128,135
1675726129,134
1675726130,134
1675726131,134
1675726132,137
1675726133,138
1675726134,141
1675726135,146
1675726136,150
1675726137,151
1675726138,151
1675726139,153
1675726140,152
1675726141,154
1675726142,154
1675726143,155
1675726144,156
1675726145,156
1675726146,156
1675726147,157
1675726148,241
1675726149,256
1675726150,255
1675726151,256
1675726152,255
1675726153,214
1675726154,110
1675726155,131
1675726156,132
1675726157,132
1675726158,130
1675726159,130
1675726160,126
1675726161,125
1675726162,123
1675726163,122
1675726164,124
1675726165,126
1675726166,127
1675726167,126
1675726168,126
1675726169,126
1675726170,126
1675726171,128
1675726172,125
1675726173,128
1675726174,127
1675726175,129
1675726176,129
1675726177,130
1675726178,154
1675726179,255
1675726180,256
1675726181,255
1675726182,255
1675726183,255
1675726184,255
1675726185,256
1675726186,142
1675726187,159
1675726188,159
1675726189,154
1675726190,159
1675726191,159
1675726192,161
1675726193,162
1675726194,158
1675726195,161
1675726196,162
1675726197,162
1675726198,159
1675726199,160
1675726200,160
1675726201,167
1675726202,167
1675726203,172
1675726204,176
1675726205,157
1675726206,152
1675726207,161
1675726208,153
1675726209,147
1675726210,145
1675726211,148
1675726212,151
1675726213,152
1675726214,143
1675726215,145
1675726216,146
1675726217,145
1675726218,149
1675726219,149
1675726220,148
1675726221,152
1675726222,159
1675726223,158
1675726224,154
1675726225,152
1675726226,156
1675726227,160
1675726228,165
1675726229,158
1675726230,165
1675726231,163
1675726232,152
1675726233,153
1675726234,145
1675726235,148
1675726236,152
1675726237,150
1675726238,151
1675726239,154
1675726240,155
1675726241,154
1675726242,155
1675726243,147
1675726244,154
1675726245,162
1675726246,157
1675726247,155
1675726248,153
1675726249,150
1675726250,150
1675726251,151
1675726252,155
1675726253,156
1675726254,156
1675726255,154
1675726256,158
1675726257,161
1675726258,155
1675726259,159
1675726260,158
1675726261,157
1675726262,158
1675726263,159
1675726264,162
1675726265,164
1675726266,161
1675726267,156
1675726268,152
1675726269,147
1675726270,145
1675726271,146
1675726272,146
1675726273,146
1675726274,149
1675726275,149
1675726276,148
1675726277,141
1675726278,145
1675726279,146
1675726280,147
1675726281,148
1675726282,162
1675726283,165
1675726284,162
1675726285,161
1675726286,161
1675726287,159
1675726288,158
1675726289,146
1675726290,143
1675726291,143
1675726292,145
1675726293,146
1675726294,145
1675726295,140
1675726296,141
1675726297,140
1675726298,139
1675726299,138
1675726300,140
1675726301,141
1675726302,145
1675726303,144
1675726304,139
1675726305,141
1675726306,135
1675726307,132
1675726308,134
1675726309,131
1675726310,130
1675726311,133
1675726312,133
1675726313,138
1675726314,141
1675726315,144
1675726316,146
1675726317,146
1675726318,143
1675726319,145
1675726320,141
1675726321,139
1675726322,144
1675726323,144
1675726324,145
1675726325,145
1675726326,50
