time,FPS
1680200797,31
1680200798,47
1680200799,24
1680200800,51
1680200801,50
1680200802,51
1680200803,54
1680200804,52
1680200805,53
1680200806,51
1680200807,52
1680200808,52
1680200809,51
1680200810,44
1680200811,45
1680200812,41
1680200813,40
1680200814,42
1680200815,41
1680200816,45
1680200817,46
1680200818,44
1680200819,47
1680200820,44
1680200821,43
1680200822,45
1680200823,45
1680200824,43
1680200825,44
1680200826,46
1680200827,45
1680200828,42
1680200829,45
1680200830,42
1680200831,43
1680200832,44
1680200833,45
1680200834,43
1680200835,42
1680200836,43
1680200837,44
1680200838,41
1680200839,37
1680200840,44
1680200841,48
1680200842,46
1680200843,56
1680200844,57
1680200845,55
1680200846,54
1680200847,53
1680200848,54
1680200849,53
1680200850,52
1680200851,51
1680200852,44
1680200853,40
1680200854,39
1680200855,43
1680200856,43
1680200857,45
1680200858,45
1680200859,44
1680200860,41
1680200861,44
1680200862,43
1680200863,44
1680200864,46
1680200865,48
1680200866,42
1680200867,44
1680200868,45
1680200869,41
1680200870,44
1680200871,44
1680200872,41
1680200873,44
1680200874,44
1680200875,42
1680200876,42
1680200877,42
1680200878,44
1680200879,44
1680200880,44
1680200881,44
1680200882,41
1680200883,44
1680200884,42
1680200885,43
1680200886,45
1680200887,42
1680200888,44
1680200889,41
1680200890,44
1680200891,41
1680200892,42
1680200893,40
1680200894,46
1680200895,47
1680200896,47
1680200897,44
1680200898,44
1680200899,44
1680200900,192
1680200901,255
1680200902,253
1680200903,255
1680200904,183
1680200905,169
1680200906,172
1680200907,169
1680200908,175
1680200909,168
1680200910,168
1680200911,164
1680200912,161
1680200913,163
1680200914,161
1680200915,165
1680200916,163
1680200917,163
1680200918,165
1680200919,168
1680200920,172
1680200921,169
1680200922,173
1680200923,174
1680200924,174
1680200925,176
1680200926,174
1680200927,170
1680200928,171
1680200929,212
1680200930,256
1680200931,254
1680200932,255
1680200933,185
1680200934,189
1680200935,197
1680200936,197
1680200937,193
1680200938,194
1680200939,193
1680200940,195
1680200941,191
1680200942,195
1680200943,192
1680200944,190
1680200945,190
1680200946,195
1680200947,184
1680200948,188
1680200949,188
1680200950,191
1680200951,193
1680200952,190
1680200953,193
1680200954,194
1680200955,192
1680200956,194
1680200957,194
1680200958,230
1680200959,255
1680200960,256
1680200961,256
1680200962,181
1680200963,175
1680200964,177
1680200965,171
1680200966,175
1680200967,171
1680200968,174
1680200969,175
1680200970,179
1680200971,185
1680200972,185
1680200973,191
1680200974,194
1680200975,196
1680200976,200
1680200977,199
1680200978,201
1680200979,201
1680200980,201
1680200981,204
1680200982,204
1680200983,204
1680200984,203
1680200985,206
1680200986,205
1680200987,253
1680200988,255
1680200989,253
1680200990,250
1680200991,256
1680200992,253
1680200993,177
1680200994,163
1680200995,168
1680200996,168
1680200997,167
1680200998,164
1680200999,162
1680201000,158
1680201001,156
1680201002,156
1680201003,157
1680201004,158
1680201005,160
1680201006,161
1680201007,161
1680201008,160
1680201009,162
1680201010,161
1680201011,162
1680201012,160
1680201013,163
1680201014,164
1680201015,166
1680201016,167
1680201017,166
1680201018,215
1680201019,255
1680201020,255
1680201021,254
1680201022,252
1680201023,256
1680201024,255
1680201025,240
1680201026,179
1680201027,202
1680201028,201
1680201029,203
1680201030,203
1680201031,203
1680201032,206
1680201033,204
1680201034,204
1680201035,207
1680201036,206
1680201037,205
1680201038,205
1680201039,200
1680201040,204
1680201041,204
1680201042,209
1680201043,211
1680201044,207
1680201045,188
1680201046,181
1680201047,185
1680201048,181
1680201049,178
1680201050,183
1680201051,185
1680201052,174
1680201053,183
1680201054,185
1680201055,181
1680201056,180
1680201057,184
1680201058,179
1680201059,185
1680201060,190
1680201061,187
1680201062,194
1680201063,198
1680201064,195
1680201065,194
1680201066,196
1680201067,201
1680201068,205
1680201069,194
1680201070,208
1680201071,207
1680201072,203
1680201073,198
1680201074,194
1680201075,185
1680201076,189
1680201077,190
1680201078,190
1680201079,190
1680201080,194
1680201081,187
1680201082,193
1680201083,196
1680201084,191
1680201085,195
1680201086,196
1680201087,194
1680201088,188
1680201089,185
1680201090,188
1680201091,186
1680201092,189
1680201093,192
1680201094,189
1680201095,195
1680201096,187
1680201097,199
1680201098,197
1680201099,196
1680201100,195
1680201101,195
1680201102,196
1680201103,200
1680201104,198
1680201105,195
1680201106,194
1680201107,194
1680201108,196
1680201109,193
1680201110,195
1680201111,193
1680201112,185
1680201113,187
1680201114,182
1680201115,185
1680201116,190
1680201117,188
1680201118,193
1680201119,192
1680201120,186
1680201121,184
1680201122,184
1680201123,185
1680201124,187
1680201125,191
1680201126,210
1680201127,202
1680201128,199
1680201129,203
1680201130,203
1680201131,199
1680201132,195
1680201133,198
1680201134,183
1680201135,182
1680201136,179
1680201137,183
1680201138,180
1680201139,180
1680201140,173
1680201141,178
1680201142,176
1680201143,176
1680201144,172
1680201145,174
1680201146,176
1680201147,181
1680201148,181
1680201149,175
1680201150,180
1680201151,173
1680201152,171
1680201153,172
1680201154,172
1680201155,165
1680201156,167
1680201157,167
1680201158,173
1680201159,177
1680201160,182
1680201161,184
1680201162,179
1680201163,176
1680201164,130
