time,FPS
1678905127,43
1678905128,44
1678905129,25
1678905130,50
1678905131,45
1678905132,50
1678905133,51
1678905134,50
1678905135,51
1678905136,53
1678905137,51
1678905138,49
1678905139,46
1678905140,47
1678905141,45
1678905142,44
1678905143,44
1678905144,41
1678905145,46
1678905146,46
1678905147,46
1678905148,41
1678905149,54
1678905150,53
1678905151,55
1678905152,51
1678905153,53
1678905154,53
1678905155,51
1678905156,54
1678905157,51
1678905158,52
1678905159,53
1678905160,54
1678905161,53
1678905162,56
1678905163,54
1678905164,52
1678905165,51
1678905166,54
1678905167,52
1678905168,51
1678905169,53
1678905170,51
1678905171,51
1678905172,58
1678905173,58
1678905174,57
1678905175,55
1678905176,57
1678905177,57
1678905178,56
1678905179,57
1678905180,55
1678905181,39
1678905182,39
1678905183,41
1678905184,41
1678905185,41
1678905186,48
1678905187,43
1678905188,42
1678905189,47
1678905190,42
1678905191,44
1678905192,47
1678905193,46
1678905194,49
1678905195,48
1678905196,48
1678905197,50
1678905198,51
1678905199,47
1678905200,47
1678905201,48
1678905202,52
1678905203,50
1678905204,47
1678905205,52
1678905206,50
1678905207,49
1678905208,53
1678905209,49
1678905210,48
1678905211,50
1678905212,51
1678905213,48
1678905214,50
1678905215,54
1678905216,51
1678905217,48
1678905218,49
1678905219,49
1678905220,50
1678905221,46
1678905222,49
1678905223,47
1678905224,47
1678905225,52
1678905226,48
1678905227,51
1678905228,47
1678905229,172
1678905230,254
1678905231,249
1678905232,255
1678905233,171
1678905234,115
1678905235,118
1678905236,121
1678905237,121
1678905238,122
1678905239,119
1678905240,117
1678905241,118
1678905242,121
1678905243,120
1678905244,120
1678905245,117
1678905246,118
1678905247,118
1678905248,119
1678905249,118
1678905250,116
1678905251,116
1678905252,116
1678905253,118
1678905254,118
1678905255,119
1678905256,120
1678905257,120
1678905258,185
1678905259,255
1678905260,252
1678905261,255
1678905262,130
1678905263,150
1678905264,151
1678905265,154
1678905266,153
1678905267,151
1678905268,150
1678905269,151
1678905270,150
1678905271,150
1678905272,149
1678905273,150
1678905274,146
1678905275,151
1678905276,148
1678905277,147
1678905278,148
1678905279,149
1678905280,150
1678905281,150
1678905282,153
1678905283,149
1678905284,151
1678905285,150
1678905286,153
1678905287,232
1678905288,255
1678905289,254
1678905290,211
1678905291,145
1678905292,135
1678905293,135
1678905294,136
1678905295,134
1678905296,135
1678905297,134
1678905298,134
1678905299,137
1678905300,139
1678905301,140
1678905302,144
1678905303,149
1678905304,152
1678905305,154
1678905306,153
1678905307,154
1678905308,155
1678905309,156
1678905310,156
1678905311,158
1678905312,158
1678905313,159
1678905314,158
1678905315,183
1678905316,255
1678905317,256
1678905318,252
1678905319,250
1678905320,255
1678905321,254
1678905322,256
1678905323,109
1678905324,128
1678905325,132
1678905326,130
1678905327,130
1678905328,130
1678905329,127
1678905330,126
1678905331,123
1678905332,124
1678905333,125
1678905334,126
1678905335,127
1678905336,128
1678905337,127
1678905338,127
1678905339,128
1678905340,127
1678905341,127
1678905342,126
1678905343,130
1678905344,128
1678905345,131
1678905346,130
1678905347,130
1678905348,228
1678905349,255
1678905350,253
1678905351,256
1678905352,255
1678905353,255
1678905354,255
1678905355,256
1678905356,188
1678905357,157
1678905358,161
1678905359,161
1678905360,162
1678905361,160
1678905362,159
1678905363,165
1678905364,164
1678905365,162
1678905366,166
1678905367,166
1678905368,165
1678905369,162
1678905370,162
1678905371,165
1678905372,167
1678905373,172
1678905374,172
1678905375,166
1678905376,152
1678905377,154
1678905378,159
1678905379,149
1678905380,144
1678905381,147
1678905382,155
1678905383,156
1678905384,152
1678905385,148
1678905386,146
1678905387,149
1678905388,148
1678905389,149
1678905390,151
1678905391,150
1678905392,155
1678905393,160
1678905394,159
1678905395,153
1678905396,149
1678905397,159
1678905398,163
1678905399,162
1678905400,164
1678905401,165
1678905402,164
1678905403,155
1678905404,155
1678905405,148
1678905406,151
1678905407,155
1678905408,154
1678905409,152
1678905410,155
1678905411,158
1678905412,155
1678905413,155
1678905414,157
1678905415,158
1678905416,163
1678905417,160
1678905418,157
1678905419,150
1678905420,150
1678905421,148
1678905422,150
1678905423,154
1678905424,156
1678905425,156
1678905426,154
1678905427,161
1678905428,161
1678905429,159
1678905430,159
1678905431,158
1678905432,158
1678905433,154
1678905434,155
1678905435,162
1678905436,161
1678905437,156
1678905438,154
1678905439,154
1678905440,152
1678905441,149
1678905442,148
1678905443,147
1678905444,150
1678905445,149
1678905446,151
1678905447,151
1678905448,152
1678905449,146
1678905450,144
1678905451,146
1678905452,148
1678905453,148
1678905454,162
1678905455,160
1678905456,160
1678905457,153
1678905458,160
1678905459,156
1678905460,155
1678905461,149
1678905462,143
1678905463,144
1678905464,148
1678905465,149
1678905466,146
1678905467,145
1678905468,145
1678905469,145
1678905470,142
1678905471,142
1678905472,142
1678905473,144
1678905474,147
1678905475,146
1678905476,141
1678905477,144
1678905478,140
1678905479,136
1678905480,136
1678905481,136
1678905482,133
1678905483,134
1678905484,135
1678905485,137
1678905486,140
1678905487,143
1678905488,140
1678905489,140
1678905490,135
1678905491,141
1678905492,138
1678905493,72
