time,FPS
1679676857,43
1679676858,33
1679676859,39
1679676860,47
1679676861,47
1679676862,48
1679676863,50
1679676864,48
1679676865,49
1679676866,48
1679676867,52
1679676868,50
1679676869,50
1679676870,40
1679676871,40
1679676872,46
1679676873,44
1679676874,46
1679676875,43
1679676876,43
1679676877,47
1679676878,44
1679676879,53
1679676880,52
1679676881,52
1679676882,51
1679676883,52
1679676884,50
1679676885,52
1679676886,55
1679676887,54
1679676888,51
1679676889,53
1679676890,52
1679676891,48
1679676892,53
1679676893,53
1679676894,53
1679676895,50
1679676896,53
1679676897,53
1679676898,51
1679676899,53
1679676900,54
1679676901,59
1679676902,58
1679676903,56
1679676904,57
1679676905,58
1679676906,57
1679676907,58
1679676908,57
1679676909,46
1679676910,44
1679676911,46
1679676912,44
1679676913,43
1679676914,41
1679676915,44
1679676916,45
1679676917,44
1679676918,41
1679676919,46
1679676920,48
1679676921,49
1679676922,47
1679676923,49
1679676924,52
1679676925,48
1679676926,53
1679676927,50
1679676928,48
1679676929,52
1679676930,53
1679676931,52
1679676932,51
1679676933,51
1679676934,53
1679676935,51
1679676936,49
1679676937,45
1679676938,44
1679676939,49
1679676940,44
1679676941,46
1679676942,48
1679676943,46
1679676944,51
1679676945,51
1679676946,49
1679676947,49
1679676948,47
1679676949,46
1679676950,45
1679676951,48
1679676952,49
1679676953,46
1679676954,45
1679676955,48
1679676956,49
1679676957,102
1679676958,252
1679676959,248
1679676960,246
1679676961,220
1679676962,150
1679676963,188
1679676964,185
1679676965,185
1679676966,186
1679676967,186
1679676968,181
1679676969,176
1679676970,177
1679676971,179
1679676972,176
1679676973,178
1679676974,176
1679676975,179
1679676976,179
1679676977,180
1679676978,181
1679676979,181
1679676980,183
1679676981,183
1679676982,185
1679676983,186
1679676984,188
1679676985,187
1679676986,196
1679676987,254
1679676988,254
1679676989,254
1679676990,200
1679676991,209
1679676992,217
1679676993,217
1679676994,219
1679676995,217
1679676996,215
1679676997,216
1679676998,213
1679676999,216
1679677000,214
1679677001,215
1679677002,214
1679677003,217
1679677004,217
1679677005,213
1679677006,213
1679677007,215
1679677008,216
1679677009,214
1679677010,215
1679677011,216
1679677012,216
1679677013,216
1679677014,217
1679677015,237
1679677016,255
1679677017,252
1679677018,256
1679677019,164
1679677020,139
1679677021,142
1679677022,142
1679677023,140
1679677024,141
1679677025,139
1679677026,146
1679677027,151
1679677028,161
1679677029,173
1679677030,182
1679677031,199
1679677032,208
1679677033,212
1679677034,211
1679677035,212
1679677036,213
1679677037,212
1679677038,214
1679677039,214
1679677040,216
1679677041,215
1679677042,215
1679677043,216
1679677044,254
1679677045,256
1679677046,255
1679677047,255
1679677048,254
1679677049,256
1679677050,156
1679677051,138
1679677052,143
1679677053,140
1679677054,140
1679677055,132
1679677056,133
1679677057,133
1679677058,130
1679677059,129
1679677060,129
1679677061,132
1679677062,132
1679677063,135
1679677064,133
1679677065,132
1679677066,135
1679677067,134
1679677068,134
1679677069,131
1679677070,134
1679677071,136
1679677072,139
1679677073,140
1679677074,140
1679677075,218
1679677076,255
1679677077,255
1679677078,255
1679677079,255
1679677080,243
1679677081,255
1679677082,255
1679677083,246
1679677084,142
1679677085,205
1679677086,200
1679677087,203
1679677088,202
1679677089,203
1679677090,207
1679677091,206
1679677092,205
1679677093,202
1679677094,202
1679677095,199
1679677096,197
1679677097,202
1679677098,214
1679677099,206
1679677100,203
1679677101,197
1679677102,184
1679677103,177
1679677104,175
1679677105,178
1679677106,176
1679677107,171
1679677108,172
1679677109,177
1679677110,180
1679677111,181
1679677112,178
1679677113,180
1679677114,183
1679677115,180
1679677116,182
1679677117,187
1679677118,191
1679677119,188
1679677120,194
1679677121,201
1679677122,202
1679677123,197
1679677124,205
1679677125,206
1679677126,207
1679677127,203
1679677128,204
1679677129,204
1679677130,204
1679677131,200
1679677132,202
1679677133,199
1679677134,196
1679677135,185
1679677136,193
1679677137,178
1679677138,189
1679677139,188
1679677140,185
1679677141,186
1679677142,189
1679677143,192
1679677144,204
1679677145,197
1679677146,204
1679677147,208
1679677148,211
1679677149,209
1679677150,207
1679677151,203
1679677152,209
1679677153,204
1679677154,215
1679677155,202
1679677156,206
1679677157,207
1679677158,209
1679677159,206
1679677160,198
1679677161,200
1679677162,204
1679677163,208
1679677164,222
1679677165,220
1679677166,213
1679677167,214
1679677168,212
1679677169,209
1679677170,210
1679677171,213
1679677172,213
1679677173,215
1679677174,214
1679677175,205
1679677176,211
1679677177,214
1679677178,214
1679677179,213
1679677180,215
1679677181,206
1679677182,206
1679677183,194
1679677184,209
1679677185,205
1679677186,207
1679677187,202
1679677188,202
1679677189,195
1679677190,202
1679677191,205
1679677192,205
1679677193,195
1679677194,199
1679677195,200
1679677196,199
1679677197,204
1679677198,204
1679677199,205
1679677200,209
1679677201,207
1679677202,199
1679677203,204
1679677204,201
1679677205,198
1679677206,193
1679677207,194
1679677208,185
1679677209,187
1679677210,184
1679677211,189
1679677212,193
1679677213,195
1679677214,196
1679677215,187
1679677216,193
1679677217,196
1679677218,196
1679677219,195
1679677220,196
1679677221,195
1679677222,36
