time,FPS
1679936183,19
1679936184,44
1679936185,42
1679936186,17
1679936187,48
1679936188,46
1679936189,44
1679936190,43
1679936191,45
1679936192,45
1679936193,48
1679936194,45
1679936195,46
1679936196,45
1679936197,45
1679936198,39
1679936199,41
1679936200,45
1679936201,43
1679936202,41
1679936203,42
1679936204,42
1679936205,40
1679936206,45
1679936207,53
1679936208,52
1679936209,49
1679936210,52
1679936211,51
1679936212,46
1679936213,49
1679936214,53
1679936215,49
1679936216,53
1679936217,46
1679936218,49
1679936219,53
1679936220,50
1679936221,51
1679936222,53
1679936223,52
1679936224,51
1679936225,49
1679936226,54
1679936227,56
1679936228,51
1679936229,51
1679936230,52
1679936231,52
1679936232,51
1679936233,51
1679936234,49
1679936235,44
1679936236,40
1679936237,42
1679936238,42
1679936239,43
1679936240,40
1679936241,44
1679936242,44
1679936243,44
1679936244,44
1679936245,41
1679936246,44
1679936247,45
1679936248,47
1679936249,48
1679936250,44
1679936251,46
1679936252,41
1679936253,42
1679936254,43
1679936255,45
1679936256,46
1679936257,45
1679936258,40
1679936259,44
1679936260,47
1679936261,46
1679936262,41
1679936263,44
1679936264,42
1679936265,43
1679936266,44
1679936267,45
1679936268,43
1679936269,44
1679936270,41
1679936271,43
1679936272,42
1679936273,45
1679936274,45
1679936275,42
1679936276,40
1679936277,44
1679936278,40
1679936279,42
1679936280,47
1679936281,41
1679936282,45
1679936283,235
1679936284,255
1679936285,253
1679936286,253
1679936287,185
1679936288,167
1679936289,170
1679936290,170
1679936291,170
1679936292,172
1679936293,172
1679936294,171
1679936295,175
1679936296,172
1679936297,173
1679936298,172
1679936299,174
1679936300,170
1679936301,174
1679936302,177
1679936303,176
1679936304,180
1679936305,180
1679936306,177
1679936307,179
1679936308,181
1679936309,180
1679936310,177
1679936311,180
1679936312,212
1679936313,255
1679936314,256
1679936315,254
1679936316,255
1679936317,156
1679936318,225
1679936319,223
1679936320,224
1679936321,220
1679936322,218
1679936323,218
1679936324,218
1679936325,217
1679936326,195
1679936327,220
1679936328,195
1679936329,212
1679936330,208
1679936331,200
1679936332,218
1679936333,218
1679936334,220
1679936335,221
1679936336,219
1679936337,198
1679936338,221
1679936339,221
1679936340,219
1679936341,197
1679936342,246
1679936343,255
1679936344,255
1679936345,255
1679936346,199
1679936347,181
1679936348,150
1679936349,150
1679936350,151
1679936351,150
1679936352,151
1679936353,153
1679936354,156
1679936355,164
1679936356,172
1679936357,182
1679936358,202
1679936359,215
1679936360,200
1679936361,219
1679936362,219
1679936363,209
1679936364,221
1679936365,221
1679936366,223
1679936367,221
1679936368,225
1679936369,222
1679936370,225
1679936371,239
1679936372,254
1679936373,256
1679936374,254
1679936375,254
1679936376,255
1679936377,255
1679936378,148
1679936379,153
1679936380,153
1679936381,151
1679936382,152
1679936383,148
1679936384,147
1679936385,142
1679936386,139
1679936387,138
1679936388,138
1679936389,142
1679936390,144
1679936391,147
1679936392,146
1679936393,147
1679936394,148
1679936395,148
1679936396,146
1679936397,145
1679936398,150
1679936399,152
1679936400,153
1679936401,157
1679936402,156
1679936403,218
1679936404,255
1679936405,255
1679936406,255
1679936407,255
1679936408,255
1679936409,254
1679936410,214
1679936411,216
1679936412,220
1679936413,219
1679936414,219
1679936415,223
1679936416,221
1679936417,225
1679936418,224
1679936419,221
1679936420,223
1679936421,224
1679936422,223
1679936423,222
1679936424,225
1679936425,226
1679936426,229
1679936427,226
1679936428,226
1679936429,214
1679936430,196
1679936431,194
1679936432,197
1679936433,192
1679936434,187
1679936435,189
1679936436,192
1679936437,193
1679936438,198
1679936439,200
1679936440,203
1679936441,206
1679936442,204
1679936443,206
1679936444,211
1679936445,216
1679936446,207
1679936447,216
1679936448,220
1679936449,221
1679936450,214
1679936451,223
1679936452,224
1679936453,225
1679936454,225
1679936455,227
1679936456,226
1679936457,219
1679936458,220
1679936459,213
1679936460,216
1679936461,218
1679936462,210
1679936463,215
1679936464,216
1679936465,219
1679936466,219
1679936467,218
1679936468,217
1679936469,219
1679936470,219
1679936471,224
1679936472,222
1679936473,220
1679936474,221
1679936475,212
1679936476,223
1679936477,220
1679936478,221
1679936479,223
1679936480,221
1679936481,225
1679936482,228
1679936483,225
1679936484,225
1679936485,226
1679936486,226
1679936487,228
1679936488,226
1679936489,226
1679936490,228
1679936491,228
1679936492,227
1679936493,225
1679936494,221
1679936495,217
1679936496,218
1679936497,220
1679936498,221
1679936499,219
1679936500,223
1679936501,224
1679936502,225
1679936503,225
1679936504,219
1679936505,219
1679936506,221
1679936507,224
1679936508,221
1679936509,230
1679936510,229
1679936511,229
1679936512,232
1679936513,231
1679936514,230
1679936515,227
1679936516,219
1679936517,213
1679936518,213
1679936519,217
1679936520,219
1679936521,215
1679936522,213
1679936523,212
1679936524,214
1679936525,209
1679936526,210
1679936527,209
1679936528,210
1679936529,213
1679936530,214
1679936531,206
1679936532,212
1679936533,208
1679936534,202
1679936535,198
1679936536,203
1679936537,191
1679936538,192
1679936539,193
1679936540,195
1679936541,202
1679936542,199
1679936543,205
1679936544,206
1679936545,198
1679936546,210
1679936547,39
