time,FPS
1675725205,26
1675725206,47
1675725207,38
1675725208,27
1675725209,53
1675725210,50
1675725211,50
1675725212,52
1675725213,51
1675725214,51
1675725215,53
1675725216,50
1675725217,52
1675725218,50
1675725219,39
1675725220,46
1675725221,42
1675725222,44
1675725223,44
1675725224,38
1675725225,45
1675725226,42
1675725227,44
1675725228,50
1675725229,53
1675725230,52
1675725231,52
1675725232,54
1675725233,53
1675725234,50
1675725235,52
1675725236,53
1675725237,54
1675725238,51
1675725239,52
1675725240,54
1675725241,52
1675725242,51
1675725243,51
1675725244,53
1675725245,48
1675725246,57
1675725247,57
1675725248,54
1675725249,54
1675725250,55
1675725251,56
1675725252,54
1675725253,54
1675725254,55
1675725255,43
1675725256,42
1675725257,42
1675725258,47
1675725259,47
1675725260,47
1675725261,49
1675725262,44
1675725263,44
1675725264,46
1675725265,51
1675725266,44
1675725267,53
1675725268,50
1675725269,57
1675725270,57
1675725271,57
1675725272,52
1675725273,47
1675725274,54
1675725275,56
1675725276,55
1675725277,57
1675725278,56
1675725279,56
1675725280,55
1675725281,58
1675725282,52
1675725283,56
1675725284,55
1675725285,55
1675725286,60
1675725287,56
1675725288,59
1675725289,57
1675725290,54
1675725291,56
1675725292,56
1675725293,56
1675725294,51
1675725295,56
1675725296,58
1675725297,54
1675725298,54
1675725299,56
1675725300,53
1675725301,56
1675725302,55
1675725303,178
1675725304,251
1675725305,256
1675725306,247
1675725307,245
1675725308,92
1675725309,111
1675725310,117
1675725311,115
1675725312,115
1675725313,117
1675725314,114
1675725315,118
1675725316,118
1675725317,117
1675725318,117
1675725319,116
1675725320,116
1675725321,118
1675725322,117
1675725323,119
1675725324,118
1675725325,120
1675725326,122
1675725327,121
1675725328,123
1675725329,123
1675725330,124
1675725331,124
1675725332,138
1675725333,255
1675725334,255
1675725335,249
1675725336,255
1675725337,106
1675725338,155
1675725339,150
1675725340,154
1675725341,153
1675725342,150
1675725343,149
1675725344,152
1675725345,150
1675725346,149
1675725347,151
1675725348,150
1675725349,153
1675725350,153
1675725351,150
1675725352,149
1675725353,148
1675725354,150
1675725355,153
1675725356,153
1675725357,154
1675725358,155
1675725359,155
1675725360,152
1675725361,153
1675725362,252
1675725363,254
1675725364,254
1675725365,254
1675725366,140
1675725367,129
1675725368,125
1675725369,125
1675725370,123
1675725371,124
1675725372,124
1675725373,125
1675725374,128
1675725375,134
1675725376,137
1675725377,141
1675725378,146
1675725379,151
1675725380,150
1675725381,152
1675725382,152
1675725383,152
1675725384,154
1675725385,155
1675725386,155
1675725387,156
1675725388,156
1675725389,157
1675725390,158
1675725391,234
1675725392,254
1675725393,255
1675725394,254
1675725395,253
1675725396,256
1675725397,251
1675725398,252
1675725399,161
1675725400,105
1675725401,112
1675725402,111
1675725403,110
1675725404,107
1675725405,108
1675725406,107
1675725407,102
1675725408,104
1675725409,106
1675725410,109
1675725411,107
1675725412,110
1675725413,109
1675725414,109
1675725415,110
1675725416,108
1675725417,108
1675725418,108
1675725419,108
1675725420,110
1675725421,112
1675725422,113
1675725423,114
1675725424,177
1675725425,255
1675725426,254
1675725427,255
1675725428,255
1675725429,255
1675725430,255
1675725431,253
1675725432,254
1675725433,245
1675725434,127
1675725435,158
1675725436,159
1675725437,157
1675725438,158
1675725439,161
1675725440,163
1675725441,162
1675725442,161
1675725443,162
1675725444,162
1675725445,161
1675725446,161
1675725447,160
1675725448,163
1675725449,167
1675725450,166
1675725451,166
1675725452,162
1675725453,148
1675725454,139
1675725455,140
1675725456,142
1675725457,139
1675725458,133
1675725459,134
1675725460,141
1675725461,145
1675725462,146
1675725463,143
1675725464,144
1675725465,147
1675725466,146
1675725467,149
1675725468,151
1675725469,149
1675725470,152
1675725471,158
1675725472,157
1675725473,152
1675725474,153
1675725475,158
1675725476,160
1675725477,161
1675725478,158
1675725479,164
1675725480,162
1675725481,156
1675725482,150
1675725483,147
1675725484,151
1675725485,152
1675725486,149
1675725487,147
1675725488,149
1675725489,151
1675725490,151
1675725491,151
1675725492,150
1675725493,150
1675725494,154
1675725495,160
1675725496,156
1675725497,150
1675725498,152
1675725499,148
1675725500,151
1675725501,152
1675725502,153
1675725503,152
1675725504,151
1675725505,157
1675725506,156
1675725507,158
1675725508,156
1675725509,157
1675725510,159
1675725511,155
1675725512,157
1675725513,164
1675725514,161
1675725515,153
1675725516,160
1675725517,160
1675725518,157
1675725519,154
1675725520,149
1675725521,147
1675725522,149
1675725523,150
1675725524,151
1675725525,152
1675725526,151
1675725527,145
1675725528,146
1675725529,147
1675725530,148
1675725531,149
1675725532,163
1675725533,158
1675725534,158
1675725535,151
1675725536,158
1675725537,154
1675725538,154
1675725539,145
1675725540,142
1675725541,142
1675725542,147
1675725543,148
1675725544,144
1675725545,143
1675725546,144
1675725547,144
1675725548,142
1675725549,142
1675725550,142
1675725551,144
1675725552,147
1675725553,146
1675725554,143
1675725555,143
1675725556,137
1675725557,134
1675725558,136
1675725559,130
1675725560,128
1675725561,130
1675725562,134
1675725563,138
1675725564,142
1675725565,143
1675725566,141
1675725567,138
1675725568,46
