time,FPS
1674782682,3
1674782683,43
1674782684,30
1674782685,45
1674782686,47
1674782687,49
1674782688,47
1674782689,44
1674782690,45
1674782691,52
1674782692,47
1674782693,47
1674782694,45
1674782695,46
1674782696,47
1674782697,41
1674782698,46
1674782699,43
1674782700,43
1674782701,43
1674782702,42
1674782703,45
1674782704,49
1674782705,56
1674782706,56
1674782707,52
1674782708,52
1674782709,54
1674782710,52
1674782711,54
1674782712,52
1674782713,52
1674782714,53
1674782715,55
1674782716,54
1674782717,50
1674782718,51
1674782719,54
1674782720,54
1674782721,53
1674782722,55
1674782723,54
1674782724,54
1674782725,50
1674782726,50
1674782727,59
1674782728,59
1674782729,56
1674782730,58
1674782731,57
1674782732,58
1674782733,57
1674782734,56
1674782735,57
1674782736,37
1674782737,40
1674782738,42
1674782739,46
1674782740,40
1674782741,44
1674782742,40
1674782743,44
1674782744,42
1674782745,50
1674782746,45
1674782747,45
1674782748,46
1674782749,50
1674782750,46
1674782751,42
1674782752,46
1674782753,45
1674782754,43
1674782755,51
1674782756,47
1674782757,48
1674782758,46
1674782759,48
1674782760,47
1674782761,49
1674782762,50
1674782763,47
1674782764,48
1674782765,48
1674782766,48
1674782767,48
1674782768,48
1674782769,53
1674782770,52
1674782771,49
1674782772,48
1674782773,45
1674782774,51
1674782775,49
1674782776,51
1674782777,47
1674782778,51
1674782779,47
1674782780,48
1674782781,47
1674782782,47
1674782783,50
1674782784,180
1674782785,249
1674782786,252
1674782787,254
1674782788,147
1674782789,123
1674782790,127
1674782791,127
1674782792,130
1674782793,131
1674782794,127
1674782795,128
1674782796,133
1674782797,132
1674782798,130
1674782799,131
1674782800,129
1674782801,129
1674782802,130
1674782803,126
1674782804,130
1674782805,127
1674782806,129
1674782807,132
1674782808,132
1674782809,133
1674782810,131
1674782811,134
1674782812,132
1674782813,214
1674782814,256
1674782815,250
1674782816,255
1674782817,124
1674782818,153
1674782819,152
1674782820,153
1674782821,154
1674782822,154
1674782823,154
1674782824,154
1674782825,153
1674782826,154
1674782827,153
1674782828,151
1674782829,153
1674782830,152
1674782831,150
1674782832,149
1674782833,148
1674782834,148
1674782835,153
1674782836,154
1674782837,153
1674782838,154
1674782839,154
1674782840,155
1674782841,155
1674782842,240
1674782843,255
1674782844,256
1674782845,221
1674782846,128
1674782847,135
1674782848,132
1674782849,135
1674782850,133
1674782851,134
1674782852,131
1674782853,132
1674782854,135
1674782855,136
1674782856,140
1674782857,143
1674782858,147
1674782859,150
1674782860,151
1674782861,152
1674782862,152
1674782863,153
1674782864,153
1674782865,155
1674782866,155
1674782867,156
1674782868,156
1674782869,156
1674782870,176
1674782871,256
1674782872,255
1674782873,254
1674782874,255
1674782875,255
1674782876,255
1674782877,110
1674782878,131
1674782879,132
1674782880,132
1674782881,129
1674782882,129
1674782883,127
1674782884,125
1674782885,123
1674782886,125
1674782887,126
1674782888,127
1674782889,128
1674782890,129
1674782891,127
1674782892,128
1674782893,128
1674782894,129
1674782895,129
1674782896,127
1674782897,130
1674782898,130
1674782899,128
1674782900,131
1674782901,129
1674782902,246
1674782903,255
1674782904,251
1674782905,255
1674782906,255
1674782907,256
1674782908,253
1674782909,144
1674782910,159
1674782911,160
1674782912,160
1674782913,160
1674782914,157
1674782915,163
1674782916,164
1674782917,162
1674782918,159
1674782919,165
1674782920,166
1674782921,162
1674782922,162
1674782923,162
1674782924,166
1674782925,168
1674782926,174
1674782927,175
1674782928,168
1674782929,153
1674782930,158
1674782931,161
1674782932,150
1674782933,144
1674782934,150
1674782935,155
1674782936,158
1674782937,150
1674782938,147
1674782939,147
1674782940,143
1674782941,151
1674782942,150
1674782943,153
1674782944,149
1674782945,157
1674782946,160
1674782947,155
1674782948,152
1674782949,154
1674782950,161
1674782951,164
1674782952,164
1674782953,163
1674782954,163
1674782955,158
1674782956,155
1674782957,152
1674782958,148
1674782959,152
1674782960,153
1674782961,155
1674782962,154
1674782963,153
1674782964,159
1674782965,152
1674782966,158
1674782967,155
1674782968,157
1674782969,162
1674782970,159
1674782971,154
1674782972,149
1674782973,149
1674782974,146
1674782975,148
1674782976,152
1674782977,153
1674782978,151
1674782979,150
1674782980,158
1674782981,156
1674782982,158
1674782983,157
1674782984,159
1674782985,159
1674782986,157
1674782987,158
1674782988,156
1674782989,168
1674782990,162
1674782991,157
1674782992,153
1674782993,148
1674782994,146
1674782995,147
1674782996,149
1674782997,150
1674782998,150
1674782999,151
1674783000,150
1674783001,146
1674783002,147
1674783003,148
1674783004,148
1674783005,149
1674783006,159
1674783007,165
1674783008,154
1674783009,159
1674783010,160
1674783011,158
1674783012,146
1674783013,144
1674783014,144
1674783015,147
1674783016,149
1674783017,148
1674783018,145
1674783019,145
1674783020,143
1674783021,142
1674783022,142
1674783023,142
1674783024,143
1674783025,146
1674783026,148
1674783027,142
1674783028,144
1674783029,139
1674783030,135
1674783031,136
1674783032,136
1674783033,132
1674783034,134
1674783035,134
1674783036,138
1674783037,140
1674783038,143
1674783039,144
1674783040,143
1674783041,140
1674783042,142
1674783043,141
1674783044,142
1674783045,142
1674783046,142
1674783047,142
1674783048,142
